Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,14/09/2020,Brighton,Chelsea,0,1,A,1,3,A,4,3,7
2021,26/09/2020,Brighton,Man United,1,1,D,2,3,A,7,1,8
2021,26/10/2020,Brighton,West Brom,1,0,H,1,1,D,6,2,8
2021,06/11/2020,Brighton,Burnley,0,0,D,0,0,D,5,3,8
2021,28/11/2020,Brighton,Liverpool,0,0,D,1,1,D,4,3,7
2021,07/12/2020,Brighton,Southampton,1,1,D,1,2,A,4,3,7
2021,20/12/2020,Brighton,Sheffield United,0,0,D,1,1,D,14,2,16
2021,29/12/2020,Brighton,Arsenal,0,0,D,0,1,A,5,4,9
2021,02/01/2021,Brighton,Wolves,1,3,A,3,3,D,5,8,13
2021,27/01/2021,Brighton,Fulham,0,0,D,0,0,D,10,0,10
2021,31/01/2021,Brighton,Tottenham,1,0,H,1,0,H,9,2,11
2021,13/02/2021,Brighton,Aston Villa,0,0,D,0,0,D,9,2,11
2021,22/02/2021,Brighton,Crystal Palace,0,1,A,1,2,A,13,0,13
2021,06/03/2021,Brighton,Leicester,1,0,H,1,2,A,6,6,12
2021,20/03/2021,Brighton,Newcastle,1,0,H,3,0,H,3,1,4
2021,12/04/2021,Brighton,Everton,0,0,D,0,0,D,10,3,13
2021,01/05/2021,Brighton,Leeds,1,0,H,2,0,H,2,9,11
2021,15/05/2021,Brighton,West Ham,0,0,D,1,1,D,3,3,6
2021,18/05/2021,Brighton,Man City,0,1,A,3,2,H,5,3,8
2122,21/08/2021,Brighton,Watford,2,0,H,2,0,H,7,2,9
2122,28/08/2021,Brighton,Everton,0,1,A,0,2,A,4,5,9
2122,19/09/2021,Brighton,Leicester,1,0,H,2,1,H,4,9,13
2122,02/10/2021,Brighton,Arsenal,0,0,D,0,0,D,8,5,13
2122,23/10/2021,Brighton,Man City,0,3,A,1,4,A,7,6,13
2122,06/11/2021,Brighton,Newcastle,1,0,H,1,1,D,2,5,7
2122,27/11/2021,Brighton,Leeds,0,0,D,0,0,D,6,1,7
2122,15/12/2021,Brighton,Wolves,0,1,A,0,1,A,7,4,11
2122,26/12/2021,Brighton,Brentford,2,0,H,2,0,H,6,9,15
2122,14/01/2022,Brighton,Crystal Palace,0,0,D,1,1,D,9,0,9
2122,18/01/2022,Brighton,Chelsea,0,1,A,1,1,D,5,7,12
2122,19/02/2022,Brighton,Burnley,0,2,A,0,3,A,4,4,8
2122,26/02/2022,Brighton,Aston Villa,0,1,A,0,2,A,7,2,9
