Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,12/09/2020,Crystal Palace,Southampton,1,0,H,1,0,H,7,3,10
2021,26/09/2020,Crystal Palace,Everton,1,2,A,1,2,A,7,6,13
2021,18/10/2020,Crystal Palace,Brighton,1,0,H,1,1,D,2,5,7
2021,07/11/2020,Crystal Palace,Leeds,3,1,H,4,1,H,3,6,9
2021,27/11/2020,Crystal Palace,Newcastle,0,0,D,0,2,A,7,3,10
2021,13/12/2020,Crystal Palace,Tottenham,0,1,A,1,1,D,4,7,11
2021,19/12/2020,Crystal Palace,Liverpool,0,3,A,0,7,A,5,4,9
2021,28/12/2020,Crystal Palace,Leicester,0,0,D,1,1,D,2,5,7
2021,02/01/2021,Crystal Palace,Sheffield United,2,0,H,2,0,H,3,6,9
2021,26/01/2021,Crystal Palace,West Ham,1,2,A,2,3,A,3,4,7
2021,30/01/2021,Crystal Palace,Wolves,0,0,D,1,0,H,1,6,7
2021,13/02/2021,Crystal Palace,Burnley,0,2,A,0,3,A,7,4,11
2021,28/02/2021,Crystal Palace,Fulham,0,0,D,0,0,D,1,3,4
2021,03/03/2021,Crystal Palace,Man United,0,0,D,0,0,D,4,6,10
2021,13/03/2021,Crystal Palace,West Brom,1,0,H,1,0,H,3,2,5
2021,10/04/2021,Crystal Palace,Chelsea,0,3,A,1,4,A,0,8,8
2021,01/05/2021,Crystal Palace,Man City,0,0,D,0,2,A,2,6,8
2021,16/05/2021,Crystal Palace,Aston Villa,1,2,A,3,2,H,7,7,14
2021,19/05/2021,Crystal Palace,Arsenal,0,1,A,1,3,A,6,7,13
2122,21/08/2021,Crystal Palace,Brentford,0,0,D,0,0,D,3,5,8
2122,11/09/2021,Crystal Palace,Tottenham,0,0,D,3,0,H,8,2,10
2122,27/09/2021,Crystal Palace,Brighton,1,0,H,1,1,D,6,5,11
2122,03/10/2021,Crystal Palace,Leicester,0,2,A,2,2,D,1,3,4
2122,23/10/2021,Crystal Palace,Newcastle,0,0,D,1,1,D,3,7,10
2122,06/11/2021,Crystal Palace,Wolves,0,0,D,2,0,H,4,6,10
2122,27/11/2021,Crystal Palace,Aston Villa,0,1,A,1,2,A,7,3,10
2122,12/12/2021,Crystal Palace,Everton,1,0,H,3,1,H,8,2,10
2122,15/12/2021,Crystal Palace,Southampton,1,2,A,2,2,D,4,6,10
2122,28/12/2021,Crystal Palace,Norwich,3,0,H,3,0,H,8,8,16
2122,01/01/2022,Crystal Palace,West Ham,0,3,A,2,3,A,9,1,10
2122,23/01/2022,Crystal Palace,Liverpool,0,2,A,1,3,A,2,5,7
