Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Leicester,Burnley,1,1,D,4,2,H,15,4,19
2021,04/10/2020,Leicester,West Ham,0,2,A,0,3,A,6,4,10
2021,18/10/2020,Leicester,Aston Villa,0,0,D,0,1,A,2,7,9
2021,08/11/2020,Leicester,Wolves,1,0,H,1,0,H,6,3,9
2021,30/11/2020,Leicester,Fulham,0,2,A,1,2,A,6,5,11
2021,13/12/2020,Leicester,Brighton,3,0,H,3,0,H,9,5,14
2021,16/12/2020,Leicester,Everton,0,1,A,0,2,A,4,6,10
2021,26/12/2020,Leicester,Man United,1,1,D,2,2,D,5,0,5
2021,16/01/2021,Leicester,Southampton,1,0,H,2,0,H,2,5,7
2021,19/01/2021,Leicester,Chelsea,2,0,H,2,0,H,6,3,9
2021,31/01/2021,Leicester,Leeds,1,1,D,1,3,A,6,4,10
2021,13/02/2021,Leicester,Liverpool,0,0,D,3,1,H,2,12,14
2021,28/02/2021,Leicester,Arsenal,1,2,A,1,3,A,2,7,9
2021,14/03/2021,Leicester,Sheffield United,1,0,H,5,0,H,9,1,10
2021,03/04/2021,Leicester,Man City,0,0,D,0,2,A,1,1,2
2021,22/04/2021,Leicester,West Brom,3,0,H,3,0,H,7,3,10
2021,26/04/2021,Leicester,Crystal Palace,0,1,A,2,1,H,7,2,9
2021,07/05/2021,Leicester,Newcastle,0,2,A,2,4,A,9,6,15
2021,23/05/2021,Leicester,Tottenham,1,1,D,2,4,A,8,7,15
2122,14/08/2021,Leicester,Wolves,1,0,H,1,0,H,5,4,9
2122,11/09/2021,Leicester,Man City,0,0,D,0,1,A,5,8,13
2122,25/09/2021,Leicester,Burnley,1,2,A,2,2,D,8,4,12
2122,16/10/2021,Leicester,Man United,1,1,D,4,2,H,4,3,7
2122,30/10/2021,Leicester,Arsenal,0,2,A,0,2,A,7,6,13
2122,20/11/2021,Leicester,Chelsea,0,2,A,0,3,A,3,5,8
2122,28/11/2021,Leicester,Watford,3,1,H,4,2,H,8,6,14
2122,12/12/2021,Leicester,Newcastle,1,0,H,4,0,H,4,6,10
2122,28/12/2021,Leicester,Liverpool,0,0,D,1,0,H,1,12,13
2122,19/01/2022,Leicester,Tottenham,1,1,D,2,3,A,3,8,11
2122,23/01/2022,Leicester,Brighton,0,0,D,1,1,D,4,5,9
2122,13/02/2022,Leicester,West Ham,1,1,D,2,2,D,5,4,9
2122,05/03/2022,Leicester,Leeds,0,0,D,1,0,H,5,10,15
2122,20/03/2022,Leicester,Brentford,2,0,H,2,1,H,2,5,7
2122,10/04/2022,Leicester,Crystal Palace,2,0,H,2,1,H,3,4,7
2122,23/04/2022,Leicester,Aston Villa,0,0,D,0,0,D,7,6,13
2122,08/05/2022,Leicester,Everton,1,2,A,1,2,A,6,1,7
2122,11/05/2022,Leicester,Norwich,0,0,D,3,0,H,10,2,12
2122,22/05/2022,Leicester,Southampton,0,0,D,4,1,H,3,3,6
2223,07/08/2022,Leicester,Brentford,1,0,H,2,2,D,5,6,11
2223,20/08/2022,Leicester,Southampton,0,0,D,1,2,A,2,5,7
2223,01/09/2022,Leicester,Man United,0,1,A,0,1,A,1,3,4
2223,03/10/2022,Leicester,Nott'm Forest,3,0,H,4,0,H,6,6,12
2223,15/10/2022,Leicester,Crystal Palace,0,0,D,0,0,D,9,2,11
2223,20/10/2022,Leicester,Leeds,2,0,H,2,0,H,2,9,11
2223,29/10/2022,Leicester,Man City,0,0,D,0,1,A,3,10,13
2223,26/12/2022,Leicester,Newcastle,0,3,A,0,3,A,5,5,10
2223,03/01/2023,Leicester,Fulham,0,1,A,0,1,A,6,3,9
2223,21/01/2023,Leicester,Brighton,1,1,D,2,2,D,5,6,11
2223,11/02/2023,Leicester,Tottenham,3,1,H,4,1,H,1,5,6
2223,25/02/2023,Leicester,Arsenal,0,0,D,0,1,A,0,8,8
2223,11/03/2023,Leicester,Chelsea,1,2,A,1,3,A,2,5,7
2223,04/04/2023,Leicester,Aston Villa,1,1,D,1,2,A,4,8,12
2223,08/04/2023,Leicester,Bournemouth,0,1,A,0,1,A,6,6,12
2223,22/04/2023,Leicester,Wolves,1,1,D,2,1,H,1,7,8
2223,01/05/2023,Leicester,Everton,2,1,H,2,2,D,2,9,11
2223,15/05/2023,Leicester,Liverpool,0,2,A,0,3,A,4,4,8
2223,28/05/2023,Leicester,West Ham,1,0,H,2,1,H,3,5,8
2425,19/08/2024,Leicester,Tottenham,0,1,A,1,1,D,2,13,15
2425,31/08/2024,Leicester,Aston Villa,0,1,A,1,2,A,1,4,5
2425,21/09/2024,Leicester,Everton,0,1,A,1,1,D,6,1,7
2425,05/10/2024,Leicester,Bournemouth,1,0,H,1,0,H,0,9,9
2425,25/10/2024,Leicester,Nott'm Forest,1,1,D,1,3,A,6,7,13
