Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,12/09/2020,Liverpool,Leeds,3,2,H,4,3,H,9,0,9
2021,28/09/2020,Liverpool,Arsenal,2,1,H,3,1,H,7,3,10
2021,24/10/2020,Liverpool,Sheffield United,1,1,D,2,1,H,7,3,10
2021,31/10/2020,Liverpool,West Ham,1,1,D,2,1,H,1,2,3
2021,22/11/2020,Liverpool,Leicester,2,0,H,3,0,H,10,3,13
2021,06/12/2020,Liverpool,Wolves,1,0,H,4,0,H,4,6,10
2021,16/12/2020,Liverpool,Tottenham,1,1,D,2,1,H,7,4,11
2021,27/12/2020,Liverpool,West Brom,1,0,H,1,1,D,8,3,11
2021,17/01/2021,Liverpool,Man United,0,0,D,0,0,D,7,3,10
2021,21/01/2021,Liverpool,Burnley,0,0,D,0,1,A,12,0,12
2021,03/02/2021,Liverpool,Brighton,0,0,D,0,1,A,6,3,9
2021,07/02/2021,Liverpool,Man City,0,0,D,1,4,A,6,1,7
2021,20/02/2021,Liverpool,Everton,0,1,A,0,2,A,7,2,9
2021,04/03/2021,Liverpool,Chelsea,0,1,A,0,1,A,5,2,7
2021,07/03/2021,Liverpool,Fulham,0,1,A,0,1,A,9,4,13
2021,10/04/2021,Liverpool,Aston Villa,0,1,A,2,1,H,7,0,7
2021,24/04/2021,Liverpool,Newcastle,1,0,H,1,1,D,6,3,9
2021,08/05/2021,Liverpool,Southampton,1,0,H,2,0,H,8,4,12
2021,23/05/2021,Liverpool,Crystal Palace,1,0,H,2,0,H,14,1,15
2122,21/08/2021,Liverpool,Burnley,1,0,H,2,0,H,8,4,12
2122,28/08/2021,Liverpool,Chelsea,1,1,D,1,1,D,12,3,15
2122,18/09/2021,Liverpool,Crystal Palace,1,0,H,3,0,H,10,5,15
2122,03/10/2021,Liverpool,Man City,0,0,D,2,2,D,3,4,7
2122,30/10/2021,Liverpool,Brighton,2,1,H,2,2,D,5,3,8
2122,20/11/2021,Liverpool,Arsenal,1,0,H,4,0,H,6,1,7
2122,27/11/2021,Liverpool,Southampton,3,0,H,4,0,H,5,7,12
2122,11/12/2021,Liverpool,Aston Villa,0,0,D,1,0,H,11,3,14
2122,16/12/2021,Liverpool,Newcastle,2,1,H,3,1,H,11,0,11
2122,16/01/2022,Liverpool,Brentford,1,0,H,3,0,H,9,0,9
