Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Man City,Leicester,1,1,D,2,5,A,3,4,7
2021,17/10/2020,Man City,Arsenal,1,0,H,1,0,H,6,6,12
2021,08/11/2020,Man City,Liverpool,1,1,D,1,1,D,1,2,3
2021,28/11/2020,Man City,Burnley,3,0,H,5,0,H,6,4,10
2021,05/12/2020,Man City,Fulham,2,0,H,2,0,H,9,3,12
2021,15/12/2020,Man City,West Brom,1,1,D,1,1,D,13,2,15
2021,26/12/2020,Man City,Newcastle,1,0,H,2,0,H,7,3,10
2021,13/01/2021,Man City,Brighton,1,0,H,1,0,H,8,4,12
2021,17/01/2021,Man City,Crystal Palace,1,0,H,4,0,H,11,1,12
2021,20/01/2021,Man City,Aston Villa,0,0,D,2,0,H,16,2,18
2021,30/01/2021,Man City,Sheffield United,1,0,H,1,0,H,10,0,10
2021,13/02/2021,Man City,Tottenham,1,0,H,3,0,H,4,2,6
2021,27/02/2021,Man City,West Ham,1,1,D,2,1,H,4,2,6
2021,02/03/2021,Man City,Wolves,1,0,H,4,1,H,10,2,12
2021,07/03/2021,Man City,Man United,0,1,A,0,2,A,6,2,8
2021,10/03/2021,Man City,Southampton,3,1,H,5,2,H,5,5,10
2021,10/04/2021,Man City,Leeds,0,1,A,1,2,A,9,3,12
2021,08/05/2021,Man City,Chelsea,1,0,H,1,2,A,6,2,8
2021,23/05/2021,Man City,Everton,2,0,H,5,0,H,7,5,12
2122,21/08/2021,Man City,Norwich,2,0,H,5,0,H,6,1,7
2122,28/08/2021,Man City,Arsenal,3,0,H,5,0,H,14,0,14
2122,18/09/2021,Man City,Southampton,0,0,D,0,0,D,8,5,13
2122,16/10/2021,Man City,Burnley,1,0,H,2,0,H,6,2,8
2122,30/10/2021,Man City,Crystal Palace,0,1,A,0,2,A,7,1,8
2122,21/11/2021,Man City,Everton,1,0,H,3,0,H,7,1,8
2122,28/11/2021,Man City,West Ham,1,0,H,2,1,H,8,4,12
2122,11/12/2021,Man City,Wolves,0,0,D,1,0,H,14,1,15
2122,14/12/2021,Man City,Leeds,3,0,H,7,0,H,6,2,8
2122,26/12/2021,Man City,Leicester,4,0,H,6,3,H,14,4,18
2122,15/01/2022,Man City,Chelsea,0,0,D,1,0,H,9,1,10
2122,09/02/2022,Man City,Brentford,1,0,H,2,0,H,9,3,12
2122,19/02/2022,Man City,Tottenham,1,1,D,2,3,A,10,0,10
2122,06/03/2022,Man City,Man United,2,1,H,4,1,H,9,3,12
2122,10/04/2022,Man City,Liverpool,2,1,H,2,2,D,4,1,5
2122,20/04/2022,Man City,Brighton,0,0,D,3,0,H,7,4,11
2122,23/04/2022,Man City,Watford,3,1,H,5,1,H,11,4,15
2122,08/05/2022,Man City,Newcastle,2,0,H,5,0,H,8,2,10
2122,22/05/2022,Man City,Aston Villa,0,1,A,3,2,H,13,1,14
2223,13/08/2022,Man City,Bournemouth,3,0,H,4,0,H,11,1,12
2223,27/08/2022,Man City,Crystal Palace,0,2,A,4,2,H,6,1,7
2223,31/08/2022,Man City,Nott'm Forest,3,0,H,6,0,H,10,1,11
2223,02/10/2022,Man City,Man United,4,0,H,6,3,H,5,1,6
2223,08/10/2022,Man City,Southampton,2,0,H,4,0,H,9,1,10
2223,22/10/2022,Man City,Brighton,2,0,H,3,1,H,7,3,10
2223,05/11/2022,Man City,Fulham,1,1,D,2,1,H,9,0,9
2223,12/11/2022,Man City,Brentford,1,1,D,1,2,A,10,2,12
2223,31/12/2022,Man City,Everton,1,0,H,1,1,D,7,1,8
2223,19/01/2023,Man City,Tottenham,0,2,A,4,2,H,8,3,11
2223,22/01/2023,Man City,Wolves,1,0,H,3,0,H,5,7,12
2223,12/02/2023,Man City,Aston Villa,3,0,H,3,1,H,8,4,12
2223,04/03/2023,Man City,Newcastle,1,0,H,2,0,H,8,4,12
2223,01/04/2023,Man City,Liverpool,1,1,D,4,1,H,7,1,8
2223,15/04/2023,Man City,Leicester,3,0,H,3,1,H,6,2,8
2223,26/04/2023,Man City,Arsenal,2,0,H,4,1,H,1,3,4
2223,03/05/2023,Man City,West Ham,0,0,D,3,0,H,6,3,9
2223,06/05/2023,Man City,Leeds,2,0,H,2,1,H,10,1,11
2223,21/05/2023,Man City,Chelsea,1,0,H,1,0,H,5,2,7
2324,19/08/2023,Man City,Newcastle,1,0,H,1,0,H,3,0,3
2324,02/09/2023,Man City,Fulham,2,1,H,5,1,H,4,5,9
2324,23/09/2023,Man City,Nott'm Forest,2,0,H,2,0,H,6,6,12
2324,21/10/2023,Man City,Brighton,2,0,H,2,1,H,2,2,4
2324,04/11/2023,Man City,Bournemouth,3,0,H,6,1,H,12,1,13
2324,25/11/2023,Man City,Liverpool,1,0,H,1,1,D,9,6,15
2324,03/12/2023,Man City,Tottenham,2,1,H,3,3,D,10,8,18
2324,16/12/2023,Man City,Crystal Palace,1,0,H,2,2,D,6,1,7
2324,30/12/2023,Man City,Sheffield United,1,0,H,2,0,H,12,2,14
2324,31/01/2024,Man City,Burnley,2,0,H,3,1,H,7,3,10
2324,10/02/2024,Man City,Everton,0,0,D,2,0,H,9,0,9
2324,17/02/2024,Man City,Chelsea,0,1,A,1,1,D,12,1,13
2324,20/02/2024,Man City,Brentford,0,0,D,1,0,H,10,1,11
2324,03/03/2024,Man City,Man United,0,1,A,3,1,H,15,2,17
2324,31/03/2024,Man City,Arsenal,0,0,D,0,0,D,7,4,11
2324,03/04/2024,Man City,Aston Villa,2,1,H,4,1,H,2,3,5
2324,13/04/2024,Man City,Luton,1,0,H,5,1,H,12,1,13
2324,04/05/2024,Man City,Wolves,3,0,H,5,1,H,6,0,6
2324,19/05/2024,Man City,West Ham,2,1,H,3,1,H,11,2,13
2425,24/08/2024,Man City,Ipswich,3,1,H,4,1,H,10,1,11
2425,14/09/2024,Man City,Brentford,2,1,H,2,1,H,12,3,15
2425,22/09/2024,Man City,Arsenal,1,2,A,2,2,D,8,2,10
2425,05/10/2024,Man City,Fulham,1,1,D,3,2,H,8,3,11
2425,26/10/2024,Man City,Southampton,1,0,H,1,0,H,12,1,13
