Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Man United,Crystal Palace,0,1,A,1,3,A,9,3,12
2021,04/10/2020,Man United,Tottenham,1,4,A,1,6,A,2,4,6
2021,24/10/2020,Man United,Chelsea,0,0,D,0,0,D,9,6,15
2021,01/11/2020,Man United,Arsenal,0,0,D,0,1,A,6,3,9
2021,21/11/2020,Man United,West Brom,0,0,D,1,0,H,8,2,10
2021,12/12/2020,Man United,Man City,0,0,D,0,0,D,4,3,7
2021,20/12/2020,Man United,Leeds,4,1,H,6,2,H,11,13,24
2021,29/12/2020,Man United,Wolves,0,0,D,1,0,H,2,2,4
2021,01/01/2021,Man United,Aston Villa,1,0,H,2,1,H,5,10,15
2021,27/01/2021,Man United,Sheffield United,0,1,A,1,2,A,7,2,9
2021,02/02/2021,Man United,Southampton,4,0,H,9,0,H,5,3,8
2021,06/02/2021,Man United,Everton,2,0,H,3,3,D,5,1,6
2021,21/02/2021,Man United,Newcastle,1,1,D,3,1,H,6,4,10
2021,14/03/2021,Man United,West Ham,0,0,D,1,0,H,6,3,9
2021,04/04/2021,Man United,Brighton,0,1,A,2,1,H,5,6,11
2021,18/04/2021,Man United,Burnley,0,0,D,3,1,H,8,3,11
2021,11/05/2021,Man United,Leicester,1,1,D,1,2,A,3,4,7
2021,13/05/2021,Man United,Liverpool,1,2,A,2,4,A,6,4,10
2021,18/05/2021,Man United,Fulham,1,0,H,1,1,D,6,1,7
2122,14/08/2021,Man United,Leeds,1,0,H,5,1,H,5,4,9
2122,11/09/2021,Man United,Newcastle,1,0,H,4,1,H,7,3,10
2122,25/09/2021,Man United,Aston Villa,0,0,D,0,1,A,5,5,10
2122,02/10/2021,Man United,Everton,1,0,H,1,1,D,10,1,11
2122,24/10/2021,Man United,Liverpool,0,4,A,0,5,A,6,3,9
2122,06/11/2021,Man United,Man City,0,2,A,0,2,A,1,9,10
2122,02/12/2021,Man United,Arsenal,1,1,D,3,2,H,3,8,11
2122,05/12/2021,Man United,Crystal Palace,0,0,D,1,0,H,9,6,15
2122,30/12/2021,Man United,Burnley,3,1,H,3,1,H,7,5,12
2122,03/01/2022,Man United,Wolves,0,0,D,0,1,A,3,8,11
2122,22/01/2022,Man United,West Ham,0,0,D,1,0,H,3,3,6
2122,12/02/2022,Man United,Southampton,1,0,H,1,1,D,1,4,5
2122,15/02/2022,Man United,Brighton,0,0,D,2,0,H,10,2,12
2122,26/02/2022,Man United,Watford,0,0,D,0,0,D,4,3,7
2122,12/03/2022,Man United,Tottenham,2,1,H,3,2,H,4,5,9
2122,02/04/2022,Man United,Leicester,0,0,D,1,1,D,6,5,11
2122,16/04/2022,Man United,Norwich,2,1,H,3,2,H,6,7,13
2122,28/04/2022,Man United,Chelsea,0,0,D,1,1,D,2,9,11
2122,02/05/2022,Man United,Brentford,1,0,H,3,0,H,3,8,11
2223,07/08/2022,Man United,Brighton,0,2,A,1,2,A,6,2,8
2223,22/08/2022,Man United,Liverpool,1,0,H,2,1,H,6,8,14
2223,04/09/2022,Man United,Arsenal,1,0,H,3,1,H,2,5,7
2223,16/10/2022,Man United,Newcastle,0,0,D,0,0,D,4,4,8
2223,19/10/2022,Man United,Tottenham,0,0,D,2,0,H,8,3,11
2223,30/10/2022,Man United,West Ham,1,0,H,1,0,H,5,10,15
2223,27/12/2022,Man United,Nott'm Forest,2,0,H,3,0,H,9,9,18
2223,03/01/2023,Man United,Bournemouth,1,0,H,3,0,H,6,5,11
2223,14/01/2023,Man United,Man City,0,0,D,2,1,H,1,2,3
2223,04/02/2023,Man United,Crystal Palace,1,0,H,2,1,H,5,5,10
2223,08/02/2023,Man United,Leeds,0,1,A,2,2,D,6,5,11
2223,19/02/2023,Man United,Leicester,1,0,H,3,0,H,6,6,12
2223,12/03/2023,Man United,Southampton,0,0,D,0,0,D,7,8,15
2223,05/04/2023,Man United,Brentford,1,0,H,1,0,H,12,3,15
2223,08/04/2023,Man United,Everton,1,0,H,2,0,H,10,4,14
2223,30/04/2023,Man United,Aston Villa,1,0,H,1,0,H,1,4,5
2223,13/05/2023,Man United,Wolves,1,0,H,2,0,H,11,7,18
2223,25/05/2023,Man United,Chelsea,2,0,H,4,1,H,3,4,7
2223,28/05/2023,Man United,Fulham,1,1,D,2,1,H,5,4,9
