Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Newcastle,Brighton,0,2,A,0,3,A,7,1,8
2021,03/10/2020,Newcastle,Burnley,1,0,H,3,1,H,3,4,7
2021,17/10/2020,Newcastle,Man United,1,1,D,1,4,A,0,7,7
2021,01/11/2020,Newcastle,Everton,0,0,D,2,1,H,5,4,9
2021,21/11/2020,Newcastle,Chelsea,0,1,A,0,2,A,7,4,11
2021,12/12/2020,Newcastle,West Brom,1,0,H,2,1,H,4,3,7
2021,19/12/2020,Newcastle,Fulham,0,1,A,1,1,D,2,9,11
2021,30/12/2020,Newcastle,Liverpool,0,0,D,0,0,D,5,12,17
2021,03/01/2021,Newcastle,Leicester,0,0,D,1,2,A,3,6,9
2021,26/01/2021,Newcastle,Leeds,0,1,A,1,2,A,9,5,14
2021,02/02/2021,Newcastle,Crystal Palace,1,2,A,1,2,A,9,1,10
2021,06/02/2021,Newcastle,Southampton,3,1,H,3,2,H,0,7,7
2021,27/02/2021,Newcastle,Wolves,0,0,D,1,1,D,3,5,8
2021,12/03/2021,Newcastle,Aston Villa,0,0,D,1,1,D,2,2,4
2021,04/04/2021,Newcastle,Tottenham,1,2,A,2,2,D,7,3,10
2021,17/04/2021,Newcastle,West Ham,2,0,H,3,2,H,3,8,11
2021,02/05/2021,Newcastle,Arsenal,0,1,A,0,2,A,3,7,10
2021,14/05/2021,Newcastle,Man City,2,2,D,3,4,A,4,5,9
2021,19/05/2021,Newcastle,Sheffield United,1,0,H,1,0,H,5,2,7
2122,15/08/2021,Newcastle,West Ham,2,1,H,2,4,A,7,6,13
2122,28/08/2021,Newcastle,Southampton,0,0,D,2,2,D,4,4,8
2122,17/09/2021,Newcastle,Leeds,1,1,D,1,1,D,4,5,9
2122,17/10/2021,Newcastle,Tottenham,1,3,A,2,3,A,2,9,11
2122,30/10/2021,Newcastle,Chelsea,0,0,D,0,3,A,0,2,2
2122,20/11/2021,Newcastle,Brentford,2,2,D,3,3,D,8,2,10
2122,30/11/2021,Newcastle,Norwich,0,0,D,1,1,D,2,5,7
2122,04/12/2021,Newcastle,Burnley,1,0,H,1,0,H,10,3,13
