Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,14/09/2020,Sheffield United,Wolves,0,2,A,0,2,A,12,5,17
2021,27/09/2020,Sheffield United,Leeds,0,0,D,0,1,A,5,7,12
2021,18/10/2020,Sheffield United,Fulham,0,0,D,1,1,D,2,5,7
2021,31/10/2020,Sheffield United,Man City,0,1,A,0,1,A,2,5,7
2021,22/11/2020,Sheffield United,West Ham,0,0,D,0,1,A,2,6,8
2021,06/12/2020,Sheffield United,Leicester,1,1,D,1,2,A,6,5,11
2021,17/12/2020,Sheffield United,Man United,1,2,A,2,3,A,6,3,9
2021,26/12/2020,Sheffield United,Everton,0,0,D,0,1,A,6,3,9
2021,12/01/2021,Sheffield United,Newcastle,0,0,D,1,0,H,5,2,7
2021,17/01/2021,Sheffield United,Tottenham,0,2,A,1,3,A,5,7,12
2021,02/02/2021,Sheffield United,West Brom,0,1,A,2,1,H,9,2,11
2021,07/02/2021,Sheffield United,Chelsea,0,1,A,1,2,A,1,8,9
2021,28/02/2021,Sheffield United,Liverpool,0,0,D,0,2,A,4,3,7
2021,03/03/2021,Sheffield United,Aston Villa,1,0,H,1,0,H,2,7,9
2021,06/03/2021,Sheffield United,Southampton,0,1,A,0,2,A,7,3,10
2021,11/04/2021,Sheffield United,Arsenal,0,1,A,0,3,A,2,4,6
2021,24/04/2021,Sheffield United,Brighton,1,0,H,1,0,H,2,12,14
2021,08/05/2021,Sheffield United,Crystal Palace,0,1,A,0,2,A,5,11,16
2021,23/05/2021,Sheffield United,Burnley,1,0,H,1,0,H,8,9,17
2324,12/08/2023,Sheffield United,Crystal Palace,0,0,D,0,1,A,5,5,10
2324,27/08/2023,Sheffield United,Man City,0,0,D,1,2,A,1,12,13
2324,02/09/2023,Sheffield United,Everton,2,1,H,2,2,D,4,6,10
2324,24/09/2023,Sheffield United,Newcastle,0,3,A,0,8,A,2,6,8
2324,21/10/2023,Sheffield United,Man United,1,1,D,1,2,A,5,4,9
2324,04/11/2023,Sheffield United,Wolves,0,0,D,2,1,H,4,4,8
2324,25/11/2023,Sheffield United,Bournemouth,0,2,A,1,3,A,4,7,11
2324,06/12/2023,Sheffield United,Liverpool,0,1,A,0,2,A,2,12,14
2324,09/12/2023,Sheffield United,Brentford,1,0,H,1,0,H,3,4,7
2324,26/12/2023,Sheffield United,Luton,0,1,A,2,3,A,9,4,13
2324,21/01/2024,Sheffield United,West Ham,1,1,D,2,2,D,4,1,5
2324,03/02/2024,Sheffield United,Aston Villa,0,4,A,0,5,A,3,4,7
2324,18/02/2024,Sheffield United,Brighton,0,2,A,0,5,A,5,10,15
2324,04/03/2024,Sheffield United,Arsenal,0,5,A,0,6,A,0,7,7
2324,30/03/2024,Sheffield United,Fulham,0,0,D,3,3,D,2,15,17
2324,07/04/2024,Sheffield United,Chelsea,1,1,D,2,2,D,7,6,13
2324,20/04/2024,Sheffield United,Burnley,0,2,A,1,4,A,11,2,13
2324,04/05/2024,Sheffield United,Nott'm Forest,1,1,D,1,3,A,5,3,8
2324,19/05/2024,Sheffield United,Tottenham,0,1,A,0,3,A,2,6,8
