Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,14/08/2021,Watford,Aston Villa,2,0,H,3,2,H,2,4,6
2122,11/09/2021,Watford,Wolves,0,0,D,0,2,A,6,8,14
2122,25/09/2021,Watford,Newcastle,0,1,A,1,1,D,5,6,11
2122,16/10/2021,Watford,Liverpool,0,2,A,0,5,A,1,9,10
2122,30/10/2021,Watford,Southampton,0,1,A,0,1,A,5,8,13
2122,20/11/2021,Watford,Man United,2,0,H,4,1,H,9,3,12
2122,01/12/2021,Watford,Chelsea,1,1,D,1,2,A,6,0,6
2122,04/12/2021,Watford,Man City,0,2,A,1,3,A,5,11,16
2122,28/12/2021,Watford,West Ham,1,2,A,1,4,A,4,5,9
2122,01/01/2022,Watford,Tottenham,0,0,D,0,1,A,3,7,10
2122,21/01/2022,Watford,Norwich,0,0,D,0,3,A,5,1,6
2122,12/02/2022,Watford,Brighton,0,1,A,0,2,A,4,5,9
2122,23/02/2022,Watford,Crystal Palace,1,2,A,1,4,A,6,4,10
2122,06/03/2022,Watford,Arsenal,1,2,A,2,3,A,1,5,6
2122,09/04/2022,Watford,Leeds,0,1,A,0,3,A,3,8,11
2122,16/04/2022,Watford,Brentford,0,1,A,1,2,A,6,5,11
2122,30/04/2022,Watford,Burnley,1,0,H,1,2,A,5,6,11
2122,11/05/2022,Watford,Everton,0,0,D,0,0,D,1,13,14
2122,15/05/2022,Watford,Leicester,1,2,A,1,5,A,7,3,10
