Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,21/09/2020,Wolves,Man City,0,2,A,1,3,A,4,6,10
2021,04/10/2020,Wolves,Fulham,0,0,D,1,0,H,6,2,8
2021,25/10/2020,Wolves,Newcastle,0,0,D,1,1,D,2,3,5
2021,30/10/2020,Wolves,Crystal Palace,2,0,H,2,0,H,7,6,13
2021,23/11/2020,Wolves,Southampton,0,0,D,1,1,D,7,4,11
2021,12/12/2020,Wolves,Aston Villa,0,0,D,0,1,A,5,8,13
2021,15/12/2020,Wolves,Chelsea,0,0,D,2,1,H,5,6,11
2021,27/12/2020,Wolves,Tottenham,0,1,A,1,1,D,9,2,11
2021,12/01/2021,Wolves,Everton,1,1,D,1,2,A,6,5,11
2021,16/01/2021,Wolves,West Brom,2,1,H,2,3,A,11,0,11
2021,02/02/2021,Wolves,Arsenal,1,1,D,2,1,H,9,6,15
2021,07/02/2021,Wolves,Leicester,0,0,D,0,0,D,8,2,10
2021,19/02/2021,Wolves,Leeds,0,0,D,1,0,H,7,9,16
2021,15/03/2021,Wolves,Liverpool,0,1,A,0,1,A,3,2,5
2021,05/04/2021,Wolves,West Ham,1,3,A,2,3,A,4,2,6
2021,17/04/2021,Wolves,Sheffield United,0,0,D,1,0,H,3,3,6
2021,25/04/2021,Wolves,Burnley,0,3,A,0,4,A,8,5,13
2021,09/05/2021,Wolves,Brighton,0,1,A,2,1,H,10,5,15
2021,23/05/2021,Wolves,Man United,1,2,A,1,2,A,6,2,8
2122,22/08/2021,Wolves,Tottenham,0,1,A,0,1,A,5,4,9
2122,29/08/2021,Wolves,Man United,0,0,D,0,1,A,5,7,12
2122,18/09/2021,Wolves,Brentford,0,2,A,0,2,A,4,2,6
2122,02/10/2021,Wolves,Newcastle,1,1,D,2,1,H,0,4,4
2122,01/11/2021,Wolves,Everton,2,0,H,2,1,H,4,3,7
2122,20/11/2021,Wolves,West Ham,0,0,D,1,0,H,7,3,10
2122,01/12/2021,Wolves,Burnley,0,0,D,0,0,D,5,5,10
2122,04/12/2021,Wolves,Liverpool,0,0,D,0,1,A,2,8,10
2122,19/12/2021,Wolves,Chelsea,0,0,D,0,0,D,4,9,13
2122,15/01/2022,Wolves,Southampton,1,0,H,3,1,H,2,10,12
2122,10/02/2022,Wolves,Arsenal,0,1,A,0,1,A,7,4,11
2122,20/02/2022,Wolves,Leicester,1,1,D,2,1,H,7,10,17
2122,05/03/2022,Wolves,Crystal Palace,0,2,A,0,2,A,7,7,14
2122,10/03/2022,Wolves,Watford,2,0,H,4,0,H,5,2,7
2122,18/03/2022,Wolves,Leeds,2,0,H,2,3,A,2,5,7
2122,02/04/2022,Wolves,Aston Villa,2,0,H,2,1,H,4,9,13
2122,30/04/2022,Wolves,Brighton,0,1,A,0,3,A,7,3,10
2122,11/05/2022,Wolves,Man City,1,3,A,1,5,A,6,2,8
2122,15/05/2022,Wolves,Norwich,0,1,A,1,1,D,5,3,8
2223,13/08/2022,Wolves,Fulham,0,0,D,0,0,D,5,3,8
2223,28/08/2022,Wolves,Newcastle,1,0,H,1,1,D,4,13,17
2223,03/09/2022,Wolves,Southampton,1,0,H,1,0,H,5,6,11
2223,17/09/2022,Wolves,Man City,0,2,A,0,3,A,5,7,12
2223,15/10/2022,Wolves,Nott'm Forest,0,0,D,1,0,H,4,5,9
2223,23/10/2022,Wolves,Leicester,0,2,A,0,4,A,9,2,11
2223,05/11/2022,Wolves,Brighton,2,2,D,2,3,A,4,9,13
2223,12/11/2022,Wolves,Arsenal,0,0,D,0,2,A,6,4,10
2223,31/12/2022,Wolves,Man United,0,0,D,0,1,A,7,5,12
2223,14/01/2023,Wolves,West Ham,0,0,D,1,0,H,4,3,7
2223,04/02/2023,Wolves,Liverpool,2,0,H,3,0,H,2,7,9
2223,18/02/2023,Wolves,Bournemouth,0,0,D,0,1,A,12,2,14
2223,04/03/2023,Wolves,Tottenham,0,0,D,1,0,H,4,8,12
2223,18/03/2023,Wolves,Leeds,0,1,A,2,4,A,5,4,9
2223,08/04/2023,Wolves,Chelsea,1,0,H,1,0,H,8,8,16
2223,15/04/2023,Wolves,Brentford,1,0,H,2,0,H,5,2,7
2223,25/04/2023,Wolves,Crystal Palace,1,0,H,2,0,H,6,11,17
2223,06/05/2023,Wolves,Aston Villa,1,0,H,1,0,H,5,6,11
2223,20/05/2023,Wolves,Everton,1,0,H,1,1,D,1,7,8
2324,19/08/2023,Wolves,Brighton,0,1,A,1,4,A,5,3,8
2324,16/09/2023,Wolves,Liverpool,1,0,H,1,3,A,4,4,8
2324,30/09/2023,Wolves,Man City,1,0,H,2,1,H,0,6,6
2324,08/10/2023,Wolves,Aston Villa,0,0,D,1,1,D,2,10,12
2324,28/10/2023,Wolves,Newcastle,1,2,A,2,2,D,8,7,15
2324,11/11/2023,Wolves,Tottenham,0,1,A,2,1,H,11,3,14
2324,05/12/2023,Wolves,Burnley,1,0,H,1,0,H,6,8,14
2324,09/12/2023,Wolves,Nott'm Forest,1,1,D,1,1,D,4,3,7
2324,24/12/2023,Wolves,Chelsea,0,0,D,2,1,H,10,6,16
2324,30/12/2023,Wolves,Everton,1,0,H,3,0,H,5,2,7
2324,01/02/2024,Wolves,Man United,0,2,A,3,4,A,4,5,9
2324,10/02/2024,Wolves,Brentford,0,1,A,0,2,A,7,4,11
2324,25/02/2024,Wolves,Sheffield United,1,0,H,1,0,H,5,6,11
2324,09/03/2024,Wolves,Fulham,0,0,D,2,1,H,3,4,7
2324,06/04/2024,Wolves,West Ham,1,0,H,1,2,A,4,4,8
2324,20/04/2024,Wolves,Arsenal,0,1,A,0,2,A,1,2,3
2324,24/04/2024,Wolves,Bournemouth,0,1,A,0,1,A,8,12,20
2324,27/04/2024,Wolves,Luton,1,0,H,2,1,H,4,4,8
2324,11/05/2024,Wolves,Crystal Palace,0,2,A,1,3,A,8,3,11
2425,25/08/2024,Wolves,Chelsea,2,2,D,2,6,A,5,5,10
2425,15/09/2024,Wolves,Newcastle,1,0,H,1,2,A,4,7,11
2425,28/09/2024,Wolves,Liverpool,0,1,A,1,2,A,2,10,12
2425,20/10/2024,Wolves,Man City,1,1,D,1,2,A,1,18,19
2425,02/11/2024,Wolves,Crystal Palace,0,0,D,2,2,D,3,6,9
