Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,04/10/2020,Atalanta,Cagliari,4,1,H,5,2,H,3,9,12
2021,24/10/2020,Atalanta,Sampdoria,0,1,A,1,3,A,3,1,4
2021,08/11/2020,Atalanta,Inter,0,0,D,1,1,D,2,5,7
2021,28/11/2020,Atalanta,Verona,0,0,D,0,2,A,4,1,5
2021,13/12/2020,Atalanta,Fiorentina,1,0,H,3,0,H,11,2,13
2021,20/12/2020,Atalanta,Roma,0,1,A,4,1,H,2,2,4
2021,03/01/2021,Atalanta,Sassuolo,2,0,H,5,1,H,8,3,11
2021,06/01/2021,Atalanta,Parma,1,0,H,3,0,H,12,3,15
2021,17/01/2021,Atalanta,Genoa,0,0,D,0,0,D,9,1,10
2021,31/01/2021,Atalanta,Lazio,0,1,A,1,3,A,2,2,4
2021,06/02/2021,Atalanta,Torino,3,2,H,3,3,D,4,3,7
2021,21/02/2021,Atalanta,Napoli,0,0,D,4,2,H,6,2,8
2021,03/03/2021,Atalanta,Crotone,1,1,D,5,1,H,4,3,7
2021,12/03/2021,Atalanta,Spezia,0,0,D,3,1,H,3,5,8
2021,03/04/2021,Atalanta,Udinese,2,1,H,3,2,H,4,1,5
2021,18/04/2021,Atalanta,Juventus,0,0,D,1,0,H,3,8,11
2021,25/04/2021,Atalanta,Bologna,2,0,H,5,0,H,8,3,11
2021,12/05/2021,Atalanta,Benevento,1,0,H,2,0,H,7,5,12
2021,23/05/2021,Atalanta,Milan,0,1,A,0,2,A,3,0,3
2122,28/08/2021,Atalanta,Bologna,0,0,D,0,0,D,5,5,10
2122,11/09/2021,Atalanta,Fiorentina,0,1,A,1,2,A,10,3,13
2122,21/09/2021,Atalanta,Sassuolo,2,1,H,2,1,H,5,5,10
2122,03/10/2021,Atalanta,Milan,0,2,A,2,3,A,9,5,14
2122,24/10/2021,Atalanta,Udinese,0,0,D,1,1,D,6,3,9
2122,30/10/2021,Atalanta,Lazio,1,1,D,2,2,D,6,2,8
2122,20/11/2021,Atalanta,Spezia,3,1,H,5,2,H,0,6,6
2122,30/11/2021,Atalanta,Venezia,2,0,H,4,0,H,4,2,6
2122,18/12/2021,Atalanta,Roma,1,2,A,1,4,A,10,0,10
2122,16/01/2022,Atalanta,Inter,0,0,D,0,0,D,6,4,10
2122,06/02/2022,Atalanta,Cagliari,0,0,D,1,2,A,3,1,4
2122,13/02/2022,Atalanta,Juventus,0,0,D,1,1,D,8,8,16
2122,28/02/2022,Atalanta,Sampdoria,2,0,H,4,0,H,8,1,9
2122,13/03/2022,Atalanta,Genoa,0,0,D,0,0,D,4,3,7
2122,03/04/2022,Atalanta,Napoli,0,2,A,1,3,A,9,1,10
2122,18/04/2022,Atalanta,Verona,0,1,A,1,2,A,10,1,11
2122,27/04/2022,Atalanta,Torino,2,2,D,4,4,D,8,0,8
2122,02/05/2022,Atalanta,Salernitana,0,1,A,1,1,D,11,4,15
2122,21/05/2022,Atalanta,Empoli,0,0,D,0,1,A,15,2,17
2223,21/08/2022,Atalanta,Milan,1,0,H,1,1,D,4,6,10
2223,01/09/2022,Atalanta,Torino,1,0,H,3,1,H,7,2,9
2223,11/09/2022,Atalanta,Cremonese,0,0,D,1,1,D,3,3,6
2223,02/10/2022,Atalanta,Fiorentina,0,0,D,1,0,H,1,5,6
2223,15/10/2022,Atalanta,Sassuolo,1,1,D,2,1,H,3,3,6
2223,23/10/2022,Atalanta,Lazio,0,1,A,0,2,A,5,8,13
2223,05/11/2022,Atalanta,Napoli,1,2,A,1,2,A,5,2,7
2223,13/11/2022,Atalanta,Inter,1,1,D,2,3,A,5,4,9
2223,15/01/2023,Atalanta,Salernitana,5,1,H,8,2,H,5,2,7
2223,28/01/2023,Atalanta,Sampdoria,1,0,H,2,0,H,7,4,11
2223,19/02/2023,Atalanta,Lecce,0,1,A,1,2,A,6,1,7
2223,04/03/2023,Atalanta,Udinese,0,0,D,0,0,D,12,3,15
2223,17/03/2023,Atalanta,Empoli,0,1,A,2,1,H,13,2,15
2223,08/04/2023,Atalanta,Bologna,0,0,D,0,2,A,6,0,6
2223,24/04/2023,Atalanta,Roma,1,0,H,3,1,H,3,4,7
2223,03/05/2023,Atalanta,Spezia,1,1,D,3,2,H,12,3,15
2223,07/05/2023,Atalanta,Juventus,0,0,D,0,2,A,7,3,10
2223,20/05/2023,Atalanta,Verona,1,1,D,3,1,H,6,3,9
2223,04/06/2023,Atalanta,Monza,2,0,H,5,2,H,5,1,6
2324,02/09/2023,Atalanta,Monza,2,0,H,3,0,H,7,3,10
2324,24/09/2023,Atalanta,Cagliari,1,0,H,2,0,H,7,7,14
2324,01/10/2023,Atalanta,Juventus,0,0,D,0,0,D,5,2,7
2324,22/10/2023,Atalanta,Genoa,0,0,D,2,0,H,8,4,12
2324,04/11/2023,Atalanta,Inter,0,1,A,1,2,A,6,1,7
2324,25/11/2023,Atalanta,Napoli,0,1,A,1,2,A,5,4,9
2324,09/12/2023,Atalanta,Milan,1,1,D,3,2,H,6,4,10
2324,18/12/2023,Atalanta,Salernitana,0,1,A,4,1,H,10,7,17
2324,30/12/2023,Atalanta,Lecce,0,0,D,1,0,H,5,6,11
2324,15/01/2024,Atalanta,Frosinone,3,0,H,5,0,H,8,2,10
2324,27/01/2024,Atalanta,Udinese,2,0,H,2,0,H,4,4,8
2324,04/02/2024,Atalanta,Lazio,2,0,H,3,1,H,6,1,7
2324,17/02/2024,Atalanta,Sassuolo,1,0,H,3,0,H,11,5,16
2324,03/03/2024,Atalanta,Bologna,1,0,H,1,2,A,6,2,8
2324,15/04/2024,Atalanta,Verona,2,0,H,2,2,D,5,4,9
2324,28/04/2024,Atalanta,Empoli,1,0,H,2,0,H,8,1,9
2324,12/05/2024,Atalanta,Roma,2,0,H,2,1,H,6,1,7
2324,26/05/2024,Atalanta,Torino,2,0,H,3,0,H,2,5,7
2324,02/06/2024,Atalanta,Fiorentina,2,3,A,2,3,A,4,4,8
2425,15/09/2024,Atalanta,Fiorentina,3,2,H,3,2,H,4,2,6
2425,24/09/2024,Atalanta,Como,1,0,H,2,3,A,6,2,8
2425,05/10/2024,Atalanta,Genoa,1,0,H,5,1,H,4,2,6
2425,26/10/2024,Atalanta,Verona,5,1,H,6,1,H,4,2,6
2425,30/10/2024,Atalanta,Monza,0,0,D,2,0,H,5,1,6
2021,04/10/2020,Atalanta,Cagliari,4,1,H,5,2,H,3,9,12
2021,24/10/2020,Atalanta,Sampdoria,0,1,A,1,3,A,3,1,4
2021,08/11/2020,Atalanta,Inter,0,0,D,1,1,D,2,5,7
2021,28/11/2020,Atalanta,Verona,0,0,D,0,2,A,4,1,5
