Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,30/09/2020,Benevento,Inter,1,4,A,2,5,A,5,1,6
2021,04/10/2020,Benevento,Bologna,0,0,D,1,0,H,4,10,14
2021,25/10/2020,Benevento,Napoli,1,0,H,1,2,A,3,15,18
2021,07/11/2020,Benevento,Spezia,0,1,A,0,3,A,2,4,6
2021,28/11/2020,Benevento,Juventus,1,1,D,1,1,D,5,8,13
2021,15/12/2020,Benevento,Lazio,1,1,D,1,1,D,4,8,12
2021,20/12/2020,Benevento,Genoa,0,0,D,2,0,H,6,5,11
2021,03/01/2021,Benevento,Milan,0,1,A,0,2,A,12,4,16
2021,09/01/2021,Benevento,Atalanta,0,1,A,1,4,A,1,11,12
2021,22/01/2021,Benevento,Torino,1,0,H,2,2,D,6,4,10
2021,07/02/2021,Benevento,Sampdoria,0,0,D,1,1,D,2,10,12
2021,21/02/2021,Benevento,Roma,0,0,D,0,0,D,1,9,10
2021,03/03/2021,Benevento,Verona,0,2,A,0,3,A,2,7,9
2021,13/03/2021,Benevento,Fiorentina,0,3,A,1,4,A,8,3,11
2021,03/04/2021,Benevento,Parma,1,0,H,2,2,D,3,3,6
2021,12/04/2021,Benevento,Sassuolo,0,1,A,0,1,A,3,8,11
2021,25/04/2021,Benevento,Udinese,1,2,A,2,4,A,11,2,13
2021,09/05/2021,Benevento,Cagliari,1,1,D,1,3,A,4,5,9
2021,16/05/2021,Benevento,Crotone,1,0,H,1,1,D,8,4,12
2021,30/09/2020,Benevento,Inter,1,4,A,2,5,A,5,1,6
2021,04/10/2020,Benevento,Bologna,0,0,D,1,0,H,4,10,14
2021,25/10/2020,Benevento,Napoli,1,0,H,1,2,A,3,15,18
2021,07/11/2020,Benevento,Spezia,0,1,A,0,3,A,2,4,6
2021,28/11/2020,Benevento,Juventus,1,1,D,1,1,D,5,8,13
2021,15/12/2020,Benevento,Lazio,1,1,D,1,1,D,4,8,12
2021,20/12/2020,Benevento,Genoa,0,0,D,2,0,H,6,5,11
2021,03/01/2021,Benevento,Milan,0,1,A,0,2,A,12,4,16
2021,09/01/2021,Benevento,Atalanta,0,1,A,1,4,A,1,11,12
2021,22/01/2021,Benevento,Torino,1,0,H,2,2,D,6,4,10
2021,07/02/2021,Benevento,Sampdoria,0,0,D,1,1,D,2,10,12
2021,21/02/2021,Benevento,Roma,0,0,D,0,0,D,1,9,10
2021,03/03/2021,Benevento,Verona,0,2,A,0,3,A,2,7,9
2021,13/03/2021,Benevento,Fiorentina,0,3,A,1,4,A,8,3,11
2021,03/04/2021,Benevento,Parma,1,0,H,2,2,D,3,3,6
2021,12/04/2021,Benevento,Sassuolo,0,1,A,0,1,A,3,8,11
2021,25/04/2021,Benevento,Udinese,1,2,A,2,4,A,11,2,13
2021,09/05/2021,Benevento,Cagliari,1,1,D,1,3,A,4,5,9
2021,16/05/2021,Benevento,Crotone,1,0,H,1,1,D,8,4,12
