Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,28/09/2020,Bologna,Parma,2,0,H,4,1,H,8,9,17
2021,18/10/2020,Bologna,Sassuolo,2,1,H,3,4,A,7,11,18
2021,31/10/2020,Bologna,Cagliari,1,1,D,3,2,H,7,3,10
2021,08/11/2020,Bologna,Napoli,0,1,A,0,1,A,4,7,11
2021,29/11/2020,Bologna,Crotone,1,0,H,1,0,H,10,3,13
2021,13/12/2020,Bologna,Roma,1,5,A,1,5,A,1,5,6
2021,23/12/2020,Bologna,Atalanta,0,2,A,2,2,D,1,5,6
2021,06/01/2021,Bologna,Udinese,2,1,H,2,2,D,4,6,10
2021,16/01/2021,Bologna,Verona,1,0,H,1,0,H,7,3,10
2021,30/01/2021,Bologna,Milan,0,1,A,1,2,A,6,4,10
2021,12/02/2021,Bologna,Benevento,1,0,H,1,1,D,8,3,11
2021,27/02/2021,Bologna,Lazio,1,0,H,2,0,H,4,7,11
2021,14/03/2021,Bologna,Sampdoria,2,1,H,3,1,H,2,6,8
2021,03/04/2021,Bologna,Inter,0,1,A,0,1,A,4,4,8
2021,18/04/2021,Bologna,Spezia,2,1,H,4,1,H,4,8,12
2021,21/04/2021,Bologna,Torino,1,0,H,1,1,D,3,7,10
2021,02/05/2021,Bologna,Fiorentina,1,1,D,3,3,D,3,5,8
2021,12/05/2021,Bologna,Genoa,0,1,A,0,2,A,12,4,16
2021,23/05/2021,Bologna,Juventus,0,3,A,1,4,A,3,0,3
2122,22/08/2021,Bologna,Salernitana,0,0,D,3,2,H,9,4,13
2122,13/09/2021,Bologna,Verona,0,0,D,1,0,H,6,2,8
2122,21/09/2021,Bologna,Genoa,0,0,D,2,2,D,7,2,9
2122,03/10/2021,Bologna,Lazio,2,0,H,3,0,H,3,3,6
2122,23/10/2021,Bologna,Milan,0,2,A,2,4,A,4,1,5
2122,01/11/2021,Bologna,Cagliari,0,0,D,2,0,H,5,2,7
2122,21/11/2021,Bologna,Venezia,0,0,D,0,1,A,17,0,17
2122,01/12/2021,Bologna,Roma,1,0,H,1,0,H,3,3,6
2122,05/12/2021,Bologna,Fiorentina,1,1,D,2,3,A,0,2,2
2122,18/12/2021,Bologna,Juventus,0,1,A,0,2,A,8,4,12
2122,17/01/2022,Bologna,Napoli,0,1,A,0,2,A,1,4,5
2122,06/02/2022,Bologna,Empoli,0,0,D,0,0,D,3,5,8
2122,21/02/2022,Bologna,Spezia,1,1,D,2,1,H,11,0,11
2122,06/03/2022,Bologna,Torino,0,0,D,0,0,D,5,7,12
2122,20/03/2022,Bologna,Atalanta,0,0,D,0,1,A,6,3,9
2122,11/04/2022,Bologna,Sampdoria,0,0,D,2,0,H,6,0,6
2122,24/04/2022,Bologna,Udinese,1,1,D,2,2,D,2,4,6
2122,27/04/2022,Bologna,Inter,1,1,D,2,1,H,0,7,7
2122,15/05/2022,Bologna,Sassuolo,0,1,A,1,3,A,4,9,13
2223,21/08/2022,Bologna,Verona,1,1,D,1,1,D,9,8,17
2223,01/09/2022,Bologna,Salernitana,0,0,D,1,1,D,1,8,9
2223,11/09/2022,Bologna,Fiorentina,0,0,D,2,1,H,6,8,14
2223,17/09/2022,Bologna,Empoli,0,0,D,0,1,A,5,8,13
2223,08/10/2022,Bologna,Sampdoria,1,0,H,1,1,D,2,5,7
2223,23/10/2022,Bologna,Lecce,2,0,H,2,0,H,9,4,13
2223,06/11/2022,Bologna,Torino,0,1,A,2,1,H,3,1,4
2223,12/11/2022,Bologna,Sassuolo,1,0,H,3,0,H,4,6,10
2223,09/01/2023,Bologna,Atalanta,1,0,H,1,2,A,4,0,4
2223,23/01/2023,Bologna,Cremonese,0,0,D,1,1,D,4,1,5
2223,27/01/2023,Bologna,Spezia,1,0,H,2,0,H,5,5,10
2223,12/02/2023,Bologna,Monza,0,1,A,0,1,A,3,2,5
2223,26/02/2023,Bologna,Inter,0,0,D,1,0,H,1,6,7
2223,11/03/2023,Bologna,Lazio,0,0,D,0,0,D,5,2,7
2223,02/04/2023,Bologna,Udinese,2,0,H,3,0,H,2,7,9
2223,15/04/2023,Bologna,Milan,1,1,D,1,1,D,2,6,8
2223,30/04/2023,Bologna,Juventus,1,0,H,1,1,D,4,5,9
2223,14/05/2023,Bologna,Roma,0,0,D,0,0,D,3,6,9
2223,28/05/2023,Bologna,Napoli,0,1,A,2,2,D,4,4,8
2324,21/08/2023,Bologna,Milan,0,2,A,0,2,A,3,6,9
2324,02/09/2023,Bologna,Cagliari,0,1,A,2,1,H,5,2,7
2324,24/09/2023,Bologna,Napoli,0,0,D,0,0,D,5,5,10
2324,01/10/2023,Bologna,Empoli,1,0,H,3,0,H,2,6,8
2324,22/10/2023,Bologna,Frosinone,2,0,H,2,1,H,4,5,9
2324,03/11/2023,Bologna,Lazio,0,0,D,1,0,H,2,6,8
2324,27/11/2023,Bologna,Torino,0,0,D,2,0,H,3,2,5
2324,17/12/2023,Bologna,Roma,1,0,H,2,0,H,0,4,4
2324,23/12/2023,Bologna,Atalanta,0,0,D,1,0,H,2,3,5
2324,05/01/2024,Bologna,Genoa,0,1,A,1,1,D,11,2,13
2324,03/02/2024,Bologna,Sassuolo,1,2,A,4,2,H,7,4,11
2324,11/02/2024,Bologna,Lecce,2,0,H,4,0,H,4,3,7
