Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,26/09/2020,Cagliari,Lazio,0,1,A,0,2,A,3,6,9
2021,25/10/2020,Cagliari,Crotone,3,2,H,4,2,H,5,1,6
2021,07/11/2020,Cagliari,Sampdoria,0,0,D,2,0,H,2,6,8
2021,29/11/2020,Cagliari,Spezia,0,1,A,2,2,D,4,5,9
2021,13/12/2020,Cagliari,Inter,1,0,H,1,3,A,3,9,12
2021,20/12/2020,Cagliari,Udinese,1,0,H,1,1,D,5,7,12
2021,03/01/2021,Cagliari,Napoli,0,1,A,1,4,A,3,8,11
2021,06/01/2021,Cagliari,Benevento,1,2,A,1,2,A,7,6,13
2021,18/01/2021,Cagliari,Milan,0,1,A,0,2,A,7,4,11
2021,31/01/2021,Cagliari,Sassuolo,0,0,D,1,1,D,3,14,17
2021,14/02/2021,Cagliari,Atalanta,0,0,D,0,1,A,6,6,12
2021,19/02/2021,Cagliari,Torino,0,0,D,0,1,A,8,3,11
2021,03/03/2021,Cagliari,Bologna,1,0,H,1,0,H,10,4,14
2021,14/03/2021,Cagliari,Juventus,0,3,A,1,3,A,8,5,13
2021,03/04/2021,Cagliari,Verona,0,0,D,0,2,A,6,5,11
2021,17/04/2021,Cagliari,Parma,1,2,A,4,3,H,0,4,4
2021,25/04/2021,Cagliari,Roma,1,1,D,3,2,H,4,10,14
2021,12/05/2021,Cagliari,Fiorentina,0,0,D,0,0,D,3,1,4
2021,22/05/2021,Cagliari,Genoa,0,1,A,0,1,A,8,4,12
2122,23/08/2021,Cagliari,Spezia,0,1,A,2,2,D,11,4,15
2122,12/09/2021,Cagliari,Genoa,1,0,H,2,3,A,2,6,8
2122,22/09/2021,Cagliari,Empoli,0,1,A,0,2,A,7,4,11
2122,01/10/2021,Cagliari,Venezia,1,0,H,1,1,D,2,4,6
2122,17/10/2021,Cagliari,Sampdoria,1,0,H,3,1,H,5,9,14
2122,27/10/2021,Cagliari,Roma,0,0,D,1,2,A,2,10,12
2122,06/11/2021,Cagliari,Atalanta,1,2,A,1,2,A,2,7,9
2122,26/11/2021,Cagliari,Salernitana,0,0,D,1,1,D,7,6,13
2122,06/12/2021,Cagliari,Torino,0,1,A,1,1,D,5,2,7
2122,18/12/2021,Cagliari,Udinese,0,2,A,0,4,A,4,2,6
2122,11/01/2022,Cagliari,Bologna,0,0,D,2,1,H,5,5,10
2122,23/01/2022,Cagliari,Fiorentina,0,0,D,1,1,D,6,4,10
2122,21/02/2022,Cagliari,Napoli,0,0,D,1,1,D,3,6,9
2122,05/03/2022,Cagliari,Lazio,0,2,A,0,3,A,7,6,13
2122,19/03/2022,Cagliari,Milan,0,0,D,0,1,A,6,5,11
2122,09/04/2022,Cagliari,Juventus,1,1,D,1,2,A,1,4,5
2122,16/04/2022,Cagliari,Sassuolo,1,0,H,1,0,H,3,3,6
2122,30/04/2022,Cagliari,Verona,0,2,A,1,2,A,2,2,4
2122,15/05/2022,Cagliari,Inter,0,1,A,1,3,A,2,5,7
2324,28/08/2023,Cagliari,Inter,0,2,A,0,2,A,4,7,11
2324,17/09/2023,Cagliari,Udinese,0,0,D,0,0,D,4,6,10
2324,27/09/2023,Cagliari,Milan,1,2,A,1,3,A,3,5,8
2324,08/10/2023,Cagliari,Roma,0,2,A,1,4,A,4,3,7
2324,29/10/2023,Cagliari,Frosinone,0,2,A,4,3,H,5,7,12
2324,05/11/2023,Cagliari,Genoa,0,0,D,2,1,H,1,1,2
2324,26/11/2023,Cagliari,Monza,1,0,H,1,1,D,10,11,21
2324,11/12/2023,Cagliari,Sassuolo,0,1,A,2,1,H,10,4,14
2324,30/12/2023,Cagliari,Empoli,0,0,D,0,0,D,8,6,14
2324,14/01/2024,Cagliari,Bologna,1,1,D,2,1,H,2,5,7
2324,26/01/2024,Cagliari,Torino,0,2,A,1,2,A,8,2,10
2324,10/02/2024,Cagliari,Lazio,0,1,A,1,3,A,7,8,15
2324,25/02/2024,Cagliari,Napoli,0,0,D,1,1,D,4,3,7
2324,09/03/2024,Cagliari,Salernitana,2,0,H,4,2,H,5,4,9
2324,01/04/2024,Cagliari,Verona,0,1,A,1,1,D,7,2,9
2324,07/04/2024,Cagliari,Atalanta,1,1,D,2,1,H,4,4,8
