Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2223,27/08/2022,Cremonese,Torino,0,1,A,1,2,A,3,3,6
2223,04/09/2022,Cremonese,Sassuolo,0,0,D,0,0,D,2,3,5
2223,18/09/2022,Cremonese,Lazio,0,3,A,0,4,A,8,5,13
2223,09/10/2022,Cremonese,Napoli,0,1,A,1,4,A,5,2,7
2223,24/10/2022,Cremonese,Sampdoria,0,0,D,0,1,A,5,1,6
2223,30/10/2022,Cremonese,Udinese,0,0,D,0,0,D,7,4,11
2223,08/11/2022,Cremonese,Milan,0,0,D,0,0,D,2,4,6
2223,04/01/2023,Cremonese,Juventus,0,0,D,0,1,A,3,8,11
2223,14/01/2023,Cremonese,Monza,0,2,A,2,3,A,4,2,6
2223,28/01/2023,Cremonese,Inter,1,1,D,1,2,A,2,14,16
2223,04/02/2023,Cremonese,Lecce,0,0,D,0,2,A,4,8,12
2223,28/02/2023,Cremonese,Roma,1,0,H,2,1,H,3,3,6
2223,12/03/2023,Cremonese,Fiorentina,0,1,A,0,2,A,1,6,7
2223,01/04/2023,Cremonese,Atalanta,0,1,A,1,3,A,0,6,6
2223,14/04/2023,Cremonese,Empoli,1,0,H,1,0,H,3,8,11
2223,30/04/2023,Cremonese,Verona,1,0,H,1,1,D,3,5,8
2223,06/05/2023,Cremonese,Spezia,1,0,H,2,0,H,3,13,16
2223,20/05/2023,Cremonese,Bologna,0,3,A,1,5,A,3,9,12
2223,03/06/2023,Cremonese,Salernitana,1,0,H,2,0,H,4,6,10
2223,27/08/2022,Cremonese,Torino,0,1,A,1,2,A,3,3,6
2223,04/09/2022,Cremonese,Sassuolo,0,0,D,0,0,D,2,3,5
2223,18/09/2022,Cremonese,Lazio,0,3,A,0,4,A,8,5,13
2223,09/10/2022,Cremonese,Napoli,0,1,A,1,4,A,5,2,7
2223,24/10/2022,Cremonese,Sampdoria,0,0,D,0,1,A,5,1,6
2223,30/10/2022,Cremonese,Udinese,0,0,D,0,0,D,7,4,11
2223,08/11/2022,Cremonese,Milan,0,0,D,0,0,D,2,4,6
2223,04/01/2023,Cremonese,Juventus,0,0,D,0,1,A,3,8,11
2223,14/01/2023,Cremonese,Monza,0,2,A,2,3,A,4,2,6
2223,28/01/2023,Cremonese,Inter,1,1,D,1,2,A,2,14,16
2223,04/02/2023,Cremonese,Lecce,0,0,D,0,2,A,4,8,12
2223,28/02/2023,Cremonese,Roma,1,0,H,2,1,H,3,3,6
2223,12/03/2023,Cremonese,Fiorentina,0,1,A,0,2,A,1,6,7
2223,01/04/2023,Cremonese,Atalanta,0,1,A,1,3,A,0,6,6
2223,14/04/2023,Cremonese,Empoli,1,0,H,1,0,H,3,8,11
2223,30/04/2023,Cremonese,Verona,1,0,H,1,1,D,3,5,8
2223,06/05/2023,Cremonese,Spezia,1,0,H,2,0,H,3,13,16
2223,20/05/2023,Cremonese,Bologna,0,3,A,1,5,A,3,9,12
2223,03/06/2023,Cremonese,Salernitana,1,0,H,2,0,H,4,6,10
