Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Crotone,Milan,0,1,A,0,2,A,2,5,7
2021,17/10/2020,Crotone,Juventus,1,1,D,1,1,D,3,4,7
2021,31/10/2020,Crotone,Atalanta,1,2,A,1,2,A,1,3,4
2021,21/11/2020,Crotone,Lazio,0,1,A,0,2,A,2,6,8
2021,06/12/2020,Crotone,Napoli,0,1,A,0,4,A,4,1,5
2021,12/12/2020,Crotone,Spezia,1,1,D,4,1,H,1,4,5
2021,22/12/2020,Crotone,Parma,2,0,H,2,1,H,3,6,9
2021,06/01/2021,Crotone,Roma,0,3,A,1,3,A,3,4,7
2021,17/01/2021,Crotone,Benevento,2,0,H,4,1,H,4,13,17
2021,31/01/2021,Crotone,Genoa,0,2,A,0,3,A,3,11,14
2021,14/02/2021,Crotone,Sassuolo,1,1,D,1,2,A,7,8,15
2021,28/02/2021,Crotone,Cagliari,0,0,D,0,2,A,7,4,11
2021,07/03/2021,Crotone,Torino,1,1,D,4,2,H,8,8,16
2021,20/03/2021,Crotone,Bologna,2,0,H,2,3,A,10,3,13
2021,17/04/2021,Crotone,Udinese,0,1,A,1,2,A,5,7,12
2021,21/04/2021,Crotone,Sampdoria,0,0,D,0,1,A,2,6,8
2021,01/05/2021,Crotone,Inter,0,0,D,0,2,A,4,11,15
2021,13/05/2021,Crotone,Verona,1,0,H,2,1,H,0,9,9
2021,22/05/2021,Crotone,Fiorentina,0,0,D,0,0,D,6,5,11
2021,27/09/2020,Crotone,Milan,0,1,A,0,2,A,2,5,7
2021,17/10/2020,Crotone,Juventus,1,1,D,1,1,D,3,4,7
2021,31/10/2020,Crotone,Atalanta,1,2,A,1,2,A,1,3,4
2021,21/11/2020,Crotone,Lazio,0,1,A,0,2,A,2,6,8
2021,06/12/2020,Crotone,Napoli,0,1,A,0,4,A,4,1,5
2021,12/12/2020,Crotone,Spezia,1,1,D,4,1,H,1,4,5
2021,22/12/2020,Crotone,Parma,2,0,H,2,1,H,3,6,9
2021,06/01/2021,Crotone,Roma,0,3,A,1,3,A,3,4,7
2021,17/01/2021,Crotone,Benevento,2,0,H,4,1,H,4,13,17
2021,31/01/2021,Crotone,Genoa,0,2,A,0,3,A,3,11,14
2021,14/02/2021,Crotone,Sassuolo,1,1,D,1,2,A,7,8,15
2021,28/02/2021,Crotone,Cagliari,0,0,D,0,2,A,7,4,11
2021,07/03/2021,Crotone,Torino,1,1,D,4,2,H,8,8,16
2021,20/03/2021,Crotone,Bologna,2,0,H,2,3,A,10,3,13
2021,17/04/2021,Crotone,Udinese,0,1,A,1,2,A,5,7,12
2021,21/04/2021,Crotone,Sampdoria,0,0,D,0,1,A,2,6,8
2021,01/05/2021,Crotone,Inter,0,0,D,0,2,A,4,11,15
2021,13/05/2021,Crotone,Verona,1,0,H,2,1,H,0,9,9
2021,22/05/2021,Crotone,Fiorentina,0,0,D,0,0,D,6,5,11
