Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,21/08/2021,Empoli,Lazio,1,3,A,1,3,A,5,3,8
2122,11/09/2021,Empoli,Venezia,0,1,A,1,2,A,8,2,10
2122,19/09/2021,Empoli,Sampdoria,0,1,A,0,3,A,8,8,16
2122,26/09/2021,Empoli,Bologna,2,1,H,4,2,H,2,10,12
2122,17/10/2021,Empoli,Atalanta,1,2,A,1,4,A,5,4,9
2122,27/10/2021,Empoli,Inter,0,1,A,0,2,A,5,6,11
2122,05/11/2021,Empoli,Genoa,0,1,A,2,2,D,4,5,9
2122,27/11/2021,Empoli,Fiorentina,0,0,D,2,1,H,8,5,13
2122,06/12/2021,Empoli,Udinese,0,1,A,3,1,H,8,6,14
2122,22/12/2021,Empoli,Milan,1,2,A,2,4,A,7,3,10
2122,09/01/2022,Empoli,Sassuolo,1,2,A,1,5,A,5,5,10
2122,23/01/2022,Empoli,Roma,0,4,A,2,4,A,2,3,5
2122,13/02/2022,Empoli,Cagliari,1,0,H,1,1,D,6,4,10
2122,26/02/2022,Empoli,Juventus,1,2,A,2,3,A,7,3,10
2122,20/03/2022,Empoli,Verona,1,0,H,1,1,D,3,7,10
2122,09/04/2022,Empoli,Spezia,0,0,D,0,0,D,5,4,9
2122,24/04/2022,Empoli,Napoli,0,1,A,3,2,H,10,7,17
2122,01/05/2022,Empoli,Torino,0,0,D,1,3,A,5,4,9
2122,14/05/2022,Empoli,Salernitana,1,0,H,1,1,D,3,11,14
2223,21/08/2022,Empoli,Fiorentina,0,0,D,0,0,D,1,9,10
2223,31/08/2022,Empoli,Verona,1,0,H,1,1,D,7,10,17
2223,12/09/2022,Empoli,Roma,1,1,D,1,2,A,7,7,14
2223,01/10/2022,Empoli,Milan,0,0,D,1,3,A,3,7,10
2223,15/10/2022,Empoli,Monza,1,0,H,1,0,H,2,9,11
2223,30/10/2022,Empoli,Atalanta,0,1,A,0,2,A,7,2,9
2223,05/11/2022,Empoli,Sassuolo,0,0,D,1,0,H,3,6,9
2223,11/11/2022,Empoli,Cremonese,0,0,D,2,0,H,4,9,13
2223,16/01/2023,Empoli,Sampdoria,0,0,D,1,0,H,3,3,6
2223,28/01/2023,Empoli,Torino,1,0,H,2,2,D,5,5,10
2223,11/02/2023,Empoli,Spezia,0,2,A,2,2,D,7,3,10
2223,25/02/2023,Empoli,Napoli,0,2,A,0,2,A,4,13,17
2223,11/03/2023,Empoli,Udinese,0,0,D,0,1,A,11,5,16
2223,03/04/2023,Empoli,Lecce,0,0,D,1,0,H,3,4,7
2223,23/04/2023,Empoli,Inter,0,0,D,0,3,A,5,4,9
2223,04/05/2023,Empoli,Bologna,2,0,H,3,1,H,2,5,7
2223,08/05/2023,Empoli,Salernitana,1,0,H,2,1,H,8,7,15
2223,22/05/2023,Empoli,Juventus,2,0,H,4,1,H,3,7,10
2223,03/06/2023,Empoli,Lazio,0,0,D,0,2,A,6,7,13
2324,19/08/2023,Empoli,Verona,0,0,D,0,1,A,2,4,6
