Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Fiorentina,Torino,0,0,D,1,0,H,4,1,5
2021,02/10/2020,Fiorentina,Sampdoria,0,1,A,1,2,A,8,4,12
2021,25/10/2020,Fiorentina,Udinese,2,1,H,3,2,H,2,7,9
2021,22/11/2020,Fiorentina,Benevento,0,0,D,0,1,A,4,4,8
2021,07/12/2020,Fiorentina,Genoa,0,0,D,1,1,D,5,1,6
2021,16/12/2020,Fiorentina,Sassuolo,1,1,D,1,1,D,4,1,5
2021,19/12/2020,Fiorentina,Verona,1,1,D,1,1,D,4,1,5
2021,03/01/2021,Fiorentina,Bologna,0,0,D,0,0,D,8,5,13
2021,10/01/2021,Fiorentina,Cagliari,0,0,D,1,0,H,9,5,14
2021,23/01/2021,Fiorentina,Crotone,2,0,H,2,1,H,5,3,8
2021,05/02/2021,Fiorentina,Inter,0,1,A,0,2,A,7,7,14
2021,19/02/2021,Fiorentina,Spezia,0,0,D,3,0,H,0,6,6
2021,03/03/2021,Fiorentina,Roma,0,0,D,1,2,A,2,3,5
2021,07/03/2021,Fiorentina,Parma,2,1,H,3,3,D,3,3,6
2021,21/03/2021,Fiorentina,Milan,1,1,D,2,3,A,8,8,16
2021,11/04/2021,Fiorentina,Atalanta,0,2,A,2,3,A,0,6,6
2021,25/04/2021,Fiorentina,Juventus,1,0,H,1,1,D,7,2,9
2021,08/05/2021,Fiorentina,Lazio,1,0,H,2,0,H,5,7,12
2021,16/05/2021,Fiorentina,Napoli,0,0,D,0,2,A,3,6,9
2122,28/08/2021,Fiorentina,Torino,1,0,H,2,1,H,3,3,6
2122,21/09/2021,Fiorentina,Inter,1,0,H,1,3,A,4,8,12
2122,03/10/2021,Fiorentina,Napoli,1,1,D,1,2,A,8,2,10
2122,24/10/2021,Fiorentina,Cagliari,2,0,H,3,0,H,4,1,5
2122,31/10/2021,Fiorentina,Spezia,1,0,H,3,0,H,7,4,11
2122,20/11/2021,Fiorentina,Milan,2,0,H,4,3,H,5,6,11
