Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2324,19/08/2023,Frosinone,Napoli,1,2,A,1,3,A,4,6,10
2324,26/08/2023,Frosinone,Atalanta,2,0,H,2,1,H,3,7,10
2324,17/09/2023,Frosinone,Sassuolo,1,2,A,4,2,H,5,6,11
2324,28/09/2023,Frosinone,Fiorentina,0,1,A,1,1,D,8,10,18
2324,08/10/2023,Frosinone,Verona,1,0,H,2,1,H,2,4,6
2324,06/11/2023,Frosinone,Empoli,0,0,D,2,1,H,9,2,11
2324,26/11/2023,Frosinone,Genoa,1,1,D,2,1,H,4,2,6
2324,10/12/2023,Frosinone,Torino,0,0,D,0,0,D,3,8,11
2324,23/12/2023,Frosinone,Juventus,0,1,A,1,2,A,8,8,16
2324,06/01/2024,Frosinone,Monza,0,2,A,2,3,A,5,1,6
2324,21/01/2024,Frosinone,Cagliari,0,1,A,3,1,H,8,4,12
2324,03/02/2024,Frosinone,Milan,1,1,D,2,3,A,2,4,6
2324,18/02/2024,Frosinone,Roma,0,1,A,0,3,A,10,2,12
2324,03/03/2024,Frosinone,Lecce,1,0,H,1,1,D,12,8,20
2324,16/03/2024,Frosinone,Lazio,1,1,D,2,3,A,9,4,13
2324,07/04/2024,Frosinone,Bologna,0,0,D,0,0,D,5,2,7
2324,26/04/2024,Frosinone,Salernitana,2,0,H,3,0,H,7,3,10
2324,10/05/2024,Frosinone,Inter,0,1,A,0,5,A,8,4,12
2324,26/05/2024,Frosinone,Udinese,0,0,D,0,1,A,11,1,12
2324,19/08/2023,Frosinone,Napoli,1,2,A,1,3,A,4,6,10
2324,26/08/2023,Frosinone,Atalanta,2,0,H,2,1,H,3,7,10
2324,17/09/2023,Frosinone,Sassuolo,1,2,A,4,2,H,5,6,11
2324,28/09/2023,Frosinone,Fiorentina,0,1,A,1,1,D,8,10,18
2324,08/10/2023,Frosinone,Verona,1,0,H,2,1,H,2,4,6
2324,06/11/2023,Frosinone,Empoli,0,0,D,2,1,H,9,2,11
2324,26/11/2023,Frosinone,Genoa,1,1,D,2,1,H,4,2,6
2324,10/12/2023,Frosinone,Torino,0,0,D,0,0,D,3,8,11
2324,23/12/2023,Frosinone,Juventus,0,1,A,1,2,A,8,8,16
2324,06/01/2024,Frosinone,Monza,0,2,A,2,3,A,5,1,6
2324,21/01/2024,Frosinone,Cagliari,0,1,A,3,1,H,8,4,12
2324,03/02/2024,Frosinone,Milan,1,1,D,2,3,A,2,4,6
2324,18/02/2024,Frosinone,Roma,0,1,A,0,3,A,10,2,12
2324,03/03/2024,Frosinone,Lecce,1,0,H,1,1,D,12,8,20
2324,16/03/2024,Frosinone,Lazio,1,1,D,2,3,A,9,4,13
2324,07/04/2024,Frosinone,Bologna,0,0,D,0,0,D,5,2,7
2324,26/04/2024,Frosinone,Salernitana,2,0,H,3,0,H,7,3,10
2324,10/05/2024,Frosinone,Inter,0,1,A,0,5,A,8,4,12
2324,26/05/2024,Frosinone,Udinese,0,0,D,0,1,A,11,1,12
