Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Genoa,Crotone,3,1,H,4,1,H,6,4,10
2021,24/10/2020,Genoa,Inter,0,0,D,0,2,A,1,9,10
2021,04/11/2020,Genoa,Torino,0,2,A,1,2,A,5,2,7
2021,08/11/2020,Genoa,Roma,0,1,A,1,3,A,1,8,9
2021,30/11/2020,Genoa,Parma,0,1,A,1,2,A,2,2,4
2021,13/12/2020,Genoa,Juventus,0,0,D,1,3,A,0,10,10
2021,16/12/2020,Genoa,Milan,0,0,D,2,2,D,4,10,14
2021,03/01/2021,Genoa,Lazio,0,1,A,1,1,D,4,9,13
2021,09/01/2021,Genoa,Bologna,1,0,H,2,0,H,1,4,5
2021,24/01/2021,Genoa,Cagliari,1,0,H,1,0,H,4,7,11
2021,06/02/2021,Genoa,Napoli,2,0,H,2,1,H,1,6,7
2021,20/02/2021,Genoa,Verona,0,1,A,2,2,D,5,1,6
2021,03/03/2021,Genoa,Sampdoria,0,0,D,1,1,D,2,4,6
2021,13/03/2021,Genoa,Udinese,1,1,D,1,1,D,6,3,9
2021,03/04/2021,Genoa,Fiorentina,1,1,D,1,1,D,4,2,6
2021,21/04/2021,Genoa,Benevento,2,2,D,2,2,D,3,0,3
2021,24/04/2021,Genoa,Spezia,0,0,D,2,0,H,0,3,3
2021,09/05/2021,Genoa,Sassuolo,0,1,A,1,2,A,8,2,10
2021,15/05/2021,Genoa,Atalanta,0,3,A,3,4,A,2,4,6
2122,29/08/2021,Genoa,Napoli,0,1,A,1,2,A,4,5,9
2122,18/09/2021,Genoa,Fiorentina,0,0,D,1,2,A,1,11,12
2122,25/09/2021,Genoa,Verona,0,1,A,3,3,D,3,2,5
2122,17/10/2021,Genoa,Sassuolo,1,2,A,2,2,D,6,1,7
2122,31/10/2021,Genoa,Venezia,0,0,D,0,0,D,12,4,16
2122,21/11/2021,Genoa,Roma,0,0,D,0,2,A,1,2,3
2122,01/12/2021,Genoa,Milan,0,2,A,0,3,A,2,6,8
2122,10/12/2021,Genoa,Sampdoria,0,1,A,1,3,A,8,3,11
2122,21/12/2021,Genoa,Atalanta,0,0,D,0,0,D,3,8,11
2122,09/01/2022,Genoa,Spezia,0,1,A,0,1,A,7,4,11
2122,22/01/2022,Genoa,Udinese,0,0,D,0,0,D,10,4,14
2122,13/02/2022,Genoa,Salernitana,1,1,D,1,1,D,5,4,9
2122,25/02/2022,Genoa,Inter,0,0,D,0,0,D,0,14,14
2122,06/03/2022,Genoa,Empoli,0,0,D,0,0,D,7,2,9
2122,18/03/2022,Genoa,Torino,1,0,H,1,0,H,2,3,5
2122,10/04/2022,Genoa,Lazio,0,2,A,1,4,A,3,6,9
2122,24/04/2022,Genoa,Cagliari,0,0,D,1,0,H,2,3,5
2122,06/05/2022,Genoa,Juventus,0,0,D,2,1,H,9,2,11
2122,21/05/2022,Genoa,Bologna,0,0,D,0,1,A,9,9,18
2324,19/08/2023,Genoa,Fiorentina,0,3,A,1,4,A,3,4,7
2324,16/09/2023,Genoa,Napoli,1,0,H,2,2,D,3,1,4
2324,28/09/2023,Genoa,Roma,2,1,H,4,1,H,1,7,8
2324,07/10/2023,Genoa,Milan,0,0,D,0,1,A,3,2,5
2324,27/10/2023,Genoa,Salernitana,1,0,H,1,0,H,7,0,7
2324,10/11/2023,Genoa,Verona,1,0,H,1,0,H,6,7,13
2324,02/12/2023,Genoa,Empoli,1,0,H,1,1,D,5,3,8
2324,15/12/2023,Genoa,Juventus,0,1,A,1,1,D,6,8,14
2324,29/12/2023,Genoa,Inter,1,1,D,1,1,D,8,2,10
2324,13/01/2024,Genoa,Torino,0,0,D,0,0,D,8,4,12
2324,28/01/2024,Genoa,Lecce,0,1,A,2,1,H,3,8,11
2324,11/02/2024,Genoa,Atalanta,0,1,A,1,4,A,7,4,11
2324,24/02/2024,Genoa,Udinese,2,0,H,2,0,H,8,3,11
2324,09/03/2024,Genoa,Monza,0,2,A,2,3,A,10,1,11
2324,30/03/2024,Genoa,Frosinone,1,1,D,1,1,D,3,8,11
2324,19/04/2024,Genoa,Lazio,0,0,D,0,1,A,2,9,11
2324,29/04/2024,Genoa,Cagliari,2,0,H,3,0,H,2,4,6
2324,12/05/2024,Genoa,Sassuolo,0,1,A,2,1,H,3,7,10
2324,24/05/2024,Genoa,Bologna,1,0,H,2,0,H,3,6,9
2425,17/08/2024,Genoa,Inter,1,1,D,2,2,D,1,4,5
2425,01/09/2024,Genoa,Verona,0,0,D,0,2,A,3,1,4
2425,15/09/2024,Genoa,Roma,0,1,A,1,1,D,4,5,9
2425,28/09/2024,Genoa,Juventus,0,0,D,0,3,A,5,3,8
2425,19/10/2024,Genoa,Bologna,0,1,A,2,2,D,1,7,8
2425,31/10/2024,Genoa,Fiorentina,0,0,D,0,1,A,4,4,8
2021,20/09/2020,Genoa,Crotone,3,1,H,4,1,H,6,4,10
2021,24/10/2020,Genoa,Inter,0,0,D,0,2,A,1,9,10
2021,04/11/2020,Genoa,Torino,0,2,A,1,2,A,5,2,7
2021,08/11/2020,Genoa,Roma,0,1,A,1,3,A,1,8,9
2021,30/11/2020,Genoa,Parma,0,1,A,1,2,A,2,2,4
2021,13/12/2020,Genoa,Juventus,0,0,D,1,3,A,0,10,10
2021,16/12/2020,Genoa,Milan,0,0,D,2,2,D,4,10,14
2021,03/01/2021,Genoa,Lazio,0,1,A,1,1,D,4,9,13
2021,09/01/2021,Genoa,Bologna,1,0,H,2,0,H,1,4,5
2021,24/01/2021,Genoa,Cagliari,1,0,H,1,0,H,4,7,11
2021,06/02/2021,Genoa,Napoli,2,0,H,2,1,H,1,6,7
2021,20/02/2021,Genoa,Verona,0,1,A,2,2,D,5,1,6
2021,03/03/2021,Genoa,Sampdoria,0,0,D,1,1,D,2,4,6
2021,13/03/2021,Genoa,Udinese,1,1,D,1,1,D,6,3,9
2021,03/04/2021,Genoa,Fiorentina,1,1,D,1,1,D,4,2,6
