Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,26/09/2020,Inter,Fiorentina,1,1,D,4,3,H,5,1,6
2021,17/10/2020,Inter,Milan,1,2,A,1,2,A,3,5,8
2021,31/10/2020,Inter,Parma,0,0,D,2,2,D,15,2,17
2021,22/11/2020,Inter,Torino,0,1,A,4,2,H,1,1,2
2021,05/12/2020,Inter,Bologna,2,0,H,3,1,H,7,3,10
2021,16/12/2020,Inter,Napoli,0,0,D,1,0,H,4,3,7
2021,20/12/2020,Inter,Spezia,0,0,D,2,1,H,3,2,5
2021,03/01/2021,Inter,Crotone,2,2,D,6,2,H,3,3,6
2021,17/01/2021,Inter,Juventus,1,0,H,2,0,H,3,4,7
2021,30/01/2021,Inter,Benevento,1,0,H,4,0,H,7,3,10
2021,14/02/2021,Inter,Lazio,2,0,H,3,1,H,4,0,4
2021,28/02/2021,Inter,Genoa,1,0,H,3,0,H,9,1,10
2021,08/03/2021,Inter,Atalanta,0,0,D,1,0,H,7,7,14
2021,07/04/2021,Inter,Sassuolo,1,0,H,2,1,H,1,8,9
2021,11/04/2021,Inter,Cagliari,0,0,D,1,0,H,5,0,5
2021,25/04/2021,Inter,Verona,0,0,D,1,0,H,3,8,11
2021,08/05/2021,Inter,Sampdoria,3,1,H,5,1,H,2,8,10
2021,12/05/2021,Inter,Roma,2,1,H,3,1,H,5,8,13
2021,23/05/2021,Inter,Udinese,2,0,H,5,1,H,3,2,5
2122,21/08/2021,Inter,Genoa,2,0,H,4,0,H,8,2,10
2122,18/09/2021,Inter,Bologna,3,0,H,6,1,H,5,1,6
2122,25/09/2021,Inter,Atalanta,1,2,A,2,2,D,4,11,15
2122,24/10/2021,Inter,Juventus,1,0,H,1,1,D,5,2,7
2122,31/10/2021,Inter,Udinese,0,0,D,2,0,H,6,4,10
2122,21/11/2021,Inter,Napoli,2,1,H,3,2,H,4,1,5
