Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Juventus,Sampdoria,1,0,H,3,0,H,6,4,10
2021,25/10/2020,Juventus,Verona,0,0,D,1,1,D,6,3,9
2021,21/11/2020,Juventus,Cagliari,2,0,H,2,0,H,9,1,10
2021,05/12/2020,Juventus,Torino,0,1,A,2,1,H,13,1,14
2021,16/12/2020,Juventus,Atalanta,1,0,H,1,1,D,2,6,8
2021,22/12/2020,Juventus,Fiorentina,0,1,A,0,3,A,5,5,10
2021,03/01/2021,Juventus,Udinese,1,0,H,4,1,H,7,1,8
2021,10/01/2021,Juventus,Sassuolo,0,0,D,3,1,H,6,3,9
2021,24/01/2021,Juventus,Bologna,1,0,H,2,0,H,7,6,13
2021,06/02/2021,Juventus,Roma,1,0,H,2,0,H,2,9,11
2021,22/02/2021,Juventus,Crotone,2,0,H,3,0,H,7,3,10
2021,02/03/2021,Juventus,Spezia,0,0,D,3,0,H,5,10,15
2021,06/03/2021,Juventus,Lazio,1,1,D,3,1,H,4,4,8
2021,21/03/2021,Juventus,Benevento,0,0,D,0,1,A,9,1,10
2021,07/04/2021,Juventus,Napoli,1,0,H,2,1,H,2,6,8
2021,11/04/2021,Juventus,Genoa,2,0,H,3,1,H,8,6,14
2021,21/04/2021,Juventus,Parma,1,1,D,3,1,H,6,6,12
2021,09/05/2021,Juventus,Milan,0,1,A,0,3,A,8,2,10
2021,15/05/2021,Juventus,Inter,2,1,H,3,2,H,4,3,7
2122,28/08/2021,Juventus,Empoli,0,1,A,0,1,A,8,9,17
2122,19/09/2021,Juventus,Milan,1,0,H,1,1,D,4,4,8
2122,26/09/2021,Juventus,Sampdoria,2,1,H,3,2,H,4,2,6
2122,17/10/2021,Juventus,Roma,1,0,H,1,0,H,0,6,6
2122,27/10/2021,Juventus,Sassuolo,0,1,A,1,2,A,4,4,8
2122,06/11/2021,Juventus,Fiorentina,0,0,D,1,0,H,5,5,10
2122,27/11/2021,Juventus,Atalanta,0,1,A,0,1,A,6,4,10
2122,05/12/2021,Juventus,Genoa,1,0,H,2,0,H,5,1,6
2122,21/12/2021,Juventus,Cagliari,1,0,H,2,0,H,7,1,8
2122,06/01/2022,Juventus,Napoli,0,1,A,1,1,D,4,3,7
2122,15/01/2022,Juventus,Udinese,1,0,H,2,0,H,7,6,13
2122,06/02/2022,Juventus,Verona,1,0,H,2,0,H,6,5,11
2122,18/02/2022,Juventus,Torino,1,0,H,1,1,D,7,9,16
2122,06/03/2022,Juventus,Spezia,1,0,H,1,0,H,4,4,8
2122,20/03/2022,Juventus,Salernitana,2,0,H,2,0,H,5,5,10
2122,03/04/2022,Juventus,Inter,0,1,A,0,1,A,8,1,9
2122,16/04/2022,Juventus,Bologna,0,0,D,1,1,D,4,5,9
2122,01/05/2022,Juventus,Venezia,1,0,H,2,1,H,8,4,12
2122,16/05/2022,Juventus,Lazio,2,0,H,2,2,D,0,9,9
2223,15/08/2022,Juventus,Sassuolo,2,0,H,3,0,H,3,2,5
2223,27/08/2022,Juventus,Roma,1,0,H,1,1,D,4,5,9
2223,31/08/2022,Juventus,Spezia,1,0,H,2,0,H,7,3,10
2223,11/09/2022,Juventus,Salernitana,0,2,A,2,2,D,8,2,10
2223,02/10/2022,Juventus,Bologna,1,0,H,3,0,H,2,4,6
2223,21/10/2022,Juventus,Empoli,1,0,H,4,0,H,6,4,10
2223,06/11/2022,Juventus,Inter,0,0,D,2,0,H,2,8,10
2223,13/11/2022,Juventus,Lazio,1,0,H,3,0,H,2,6,8
2223,07/01/2023,Juventus,Udinese,0,0,D,1,0,H,6,4,10
2223,22/01/2023,Juventus,Atalanta,2,1,H,3,3,D,6,4,10
2223,29/01/2023,Juventus,Monza,0,2,A,0,2,A,12,1,13
2223,12/02/2023,Juventus,Fiorentina,1,0,H,1,0,H,5,6,11
2223,28/02/2023,Juventus,Torino,2,2,D,4,2,H,3,7,10
2223,12/03/2023,Juventus,Sampdoria,2,2,D,4,2,H,11,3,14
2223,01/04/2023,Juventus,Verona,0,0,D,1,0,H,3,5,8
2223,23/04/2023,Juventus,Napoli,0,0,D,0,1,A,3,6,9
2223,03/05/2023,Juventus,Lecce,2,1,H,2,1,H,6,7,13
2223,14/05/2023,Juventus,Cremonese,0,0,D,2,0,H,7,0,7
2223,28/05/2023,Juventus,Milan,0,1,A,0,1,A,4,5,9
2324,27/08/2023,Juventus,Bologna,0,1,A,1,1,D,5,1,6
2324,16/09/2023,Juventus,Lazio,2,0,H,3,1,H,7,9,16
2324,26/09/2023,Juventus,Lecce,0,0,D,1,0,H,5,1,6
2324,07/10/2023,Juventus,Torino,0,0,D,2,0,H,7,3,10
2324,28/10/2023,Juventus,Verona,0,0,D,1,0,H,5,1,6
2324,11/11/2023,Juventus,Cagliari,0,0,D,2,1,H,12,4,16
2324,26/11/2023,Juventus,Inter,1,1,D,1,1,D,1,0,1
2324,08/12/2023,Juventus,Napoli,0,0,D,1,0,H,3,6,9
2324,30/12/2023,Juventus,Roma,0,0,D,1,0,H,2,2,4
2324,16/01/2024,Juventus,Sassuolo,2,0,H,3,0,H,5,2,7
2324,27/01/2024,Juventus,Empoli,0,0,D,1,1,D,6,7,13
2324,12/02/2024,Juventus,Udinese,0,1,A,0,1,A,8,4,12
2324,25/02/2024,Juventus,Frosinone,2,2,D,3,2,H,8,3,11
2324,10/03/2024,Juventus,Atalanta,0,1,A,2,2,D,4,3,7
2324,17/03/2024,Juventus,Genoa,0,0,D,0,0,D,12,2,14
2324,07/04/2024,Juventus,Fiorentina,1,0,H,1,0,H,5,6,11
2324,27/04/2024,Juventus,Milan,0,0,D,0,0,D,9,4,13
2324,12/05/2024,Juventus,Salernitana,0,1,A,1,1,D,9,4,13
2324,25/05/2024,Juventus,Monza,2,0,H,2,0,H,3,4,7
2425,19/08/2024,Juventus,Como,2,0,H,3,0,H,3,0,3
2425,01/09/2024,Juventus,Roma,0,0,D,0,0,D,6,4,10
2425,21/09/2024,Juventus,Napoli,0,0,D,0,0,D,4,3,7
2425,06/10/2024,Juventus,Cagliari,1,0,H,1,1,D,8,3,11
2425,19/10/2024,Juventus,Lazio,0,0,D,1,0,H,7,1,8
2425,30/10/2024,Juventus,Parma,1,2,A,2,2,D,10,6,16
2021,20/09/2020,Juventus,Sampdoria,1,0,H,3,0,H,6,4,10
2021,25/10/2020,Juventus,Verona,0,0,D,1,1,D,6,3,9
2021,21/11/2020,Juventus,Cagliari,2,0,H,2,0,H,9,1,10
2021,05/12/2020,Juventus,Torino,0,1,A,2,1,H,13,1,14
2021,16/12/2020,Juventus,Atalanta,1,0,H,1,1,D,2,6,8
2021,22/12/2020,Juventus,Fiorentina,0,1,A,0,3,A,5,5,10
2021,03/01/2021,Juventus,Udinese,1,0,H,4,1,H,7,1,8
2021,10/01/2021,Juventus,Sassuolo,0,0,D,3,1,H,6,3,9
2021,24/01/2021,Juventus,Bologna,1,0,H,2,0,H,7,6,13
2021,06/02/2021,Juventus,Roma,1,0,H,2,0,H,2,9,11
2021,22/02/2021,Juventus,Crotone,2,0,H,3,0,H,7,3,10
2021,02/03/2021,Juventus,Spezia,0,0,D,3,0,H,5,10,15
2021,06/03/2021,Juventus,Lazio,1,1,D,3,1,H,4,4,8
2021,21/03/2021,Juventus,Benevento,0,0,D,0,1,A,9,1,10
2021,07/04/2021,Juventus,Napoli,1,0,H,2,1,H,2,6,8
2021,11/04/2021,Juventus,Genoa,2,0,H,3,1,H,8,6,14
2021,21/04/2021,Juventus,Parma,1,1,D,3,1,H,6,6,12
2021,09/05/2021,Juventus,Milan,0,1,A,0,3,A,8,2,10
2021,15/05/2021,Juventus,Inter,2,1,H,3,2,H,4,3,7
2122,28/08/2021,Juventus,Empoli,0,1,A,0,1,A,8,9,17
2122,19/09/2021,Juventus,Milan,1,0,H,1,1,D,4,4,8
2122,26/09/2021,Juventus,Sampdoria,2,1,H,3,2,H,4,2,6
2122,17/10/2021,Juventus,Roma,1,0,H,1,0,H,0,6,6
2122,27/10/2021,Juventus,Sassuolo,0,1,A,1,2,A,4,4,8
2122,06/11/2021,Juventus,Fiorentina,0,0,D,1,0,H,5,5,10
2122,27/11/2021,Juventus,Atalanta,0,1,A,0,1,A,6,4,10
2122,05/12/2021,Juventus,Genoa,1,0,H,2,0,H,5,1,6
2122,21/12/2021,Juventus,Cagliari,1,0,H,2,0,H,7,1,8
2122,06/01/2022,Juventus,Napoli,0,1,A,1,1,D,4,3,7
2122,15/01/2022,Juventus,Udinese,1,0,H,2,0,H,7,6,13
2122,06/02/2022,Juventus,Verona,1,0,H,2,0,H,6,5,11
2122,18/02/2022,Juventus,Torino,1,0,H,1,1,D,7,9,16
2122,06/03/2022,Juventus,Spezia,1,0,H,1,0,H,4,4,8
2122,20/03/2022,Juventus,Salernitana,2,0,H,2,0,H,5,5,10
2122,03/04/2022,Juventus,Inter,0,1,A,0,1,A,8,1,9
2122,16/04/2022,Juventus,Bologna,0,0,D,1,1,D,4,5,9
2122,01/05/2022,Juventus,Venezia,1,0,H,2,1,H,8,4,12
2122,16/05/2022,Juventus,Lazio,2,0,H,2,2,D,0,9,9
2223,15/08/2022,Juventus,Sassuolo,2,0,H,3,0,H,3,2,5
2223,27/08/2022,Juventus,Roma,1,0,H,1,1,D,4,5,9
2223,31/08/2022,Juventus,Spezia,1,0,H,2,0,H,7,3,10
2223,11/09/2022,Juventus,Salernitana,0,2,A,2,2,D,8,2,10
2223,02/10/2022,Juventus,Bologna,1,0,H,3,0,H,2,4,6
2223,21/10/2022,Juventus,Empoli,1,0,H,4,0,H,6,4,10
2223,06/11/2022,Juventus,Inter,0,0,D,2,0,H,2,8,10
2223,13/11/2022,Juventus,Lazio,1,0,H,3,0,H,2,6,8
2223,07/01/2023,Juventus,Udinese,0,0,D,1,0,H,6,4,10
2223,22/01/2023,Juventus,Atalanta,2,1,H,3,3,D,6,4,10
2223,29/01/2023,Juventus,Monza,0,2,A,0,2,A,12,1,13
2223,12/02/2023,Juventus,Fiorentina,1,0,H,1,0,H,5,6,11
2223,28/02/2023,Juventus,Torino,2,2,D,4,2,H,3,7,10
2223,12/03/2023,Juventus,Sampdoria,2,2,D,4,2,H,11,3,14
2223,01/04/2023,Juventus,Verona,0,0,D,1,0,H,3,5,8
2223,23/04/2023,Juventus,Napoli,0,0,D,0,1,A,3,6,9
2223,03/05/2023,Juventus,Lecce,2,1,H,2,1,H,6,7,13
2223,14/05/2023,Juventus,Cremonese,0,0,D,2,0,H,7,0,7
