Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,30/09/2020,Lazio,Atalanta,0,3,A,1,4,A,7,3,10
2021,04/10/2020,Lazio,Inter,0,1,A,1,1,D,7,8,15
2021,24/10/2020,Lazio,Bologna,0,0,D,2,1,H,8,9,17
2021,08/11/2020,Lazio,Juventus,0,1,A,1,1,D,4,2,6
2021,29/11/2020,Lazio,Udinese,0,2,A,1,3,A,4,4,8
2021,12/12/2020,Lazio,Verona,0,1,A,1,2,A,5,3,8
2021,20/12/2020,Lazio,Napoli,1,0,H,2,0,H,4,9,13
2021,06/01/2021,Lazio,Fiorentina,1,0,H,2,1,H,2,9,11
2021,15/01/2021,Lazio,Roma,2,0,H,3,0,H,1,7,8
2021,24/01/2021,Lazio,Sassuolo,1,1,D,2,1,H,9,6,15
2021,07/02/2021,Lazio,Cagliari,0,0,D,1,0,H,12,2,14
2021,20/02/2021,Lazio,Sampdoria,1,0,H,1,0,H,4,5,9
2021,12/03/2021,Lazio,Crotone,2,1,H,3,2,H,5,1,6
2021,03/04/2021,Lazio,Spezia,0,0,D,2,1,H,3,4,7
2021,18/04/2021,Lazio,Benevento,3,1,H,5,3,H,5,4,9
2021,26/04/2021,Lazio,Milan,1,0,H,3,0,H,1,9,10
2021,02/05/2021,Lazio,Genoa,2,0,H,4,3,H,7,4,11
2021,12/05/2021,Lazio,Parma,0,0,D,1,0,H,7,2,9
2021,18/05/2021,Lazio,Torino,0,0,D,0,0,D,4,0,4
2122,28/08/2021,Lazio,Spezia,3,1,H,6,1,H,4,2,6
2122,19/09/2021,Lazio,Cagliari,1,0,H,2,2,D,10,1,11
2122,26/09/2021,Lazio,Roma,2,1,H,3,2,H,1,9,10
2122,16/10/2021,Lazio,Inter,0,1,A,3,1,H,7,3,10
2122,27/10/2021,Lazio,Fiorentina,0,0,D,1,0,H,3,6,9
2122,07/11/2021,Lazio,Salernitana,2,0,H,3,0,H,5,1,6
2122,20/11/2021,Lazio,Juventus,0,1,A,0,2,A,3,2,5
2122,02/12/2021,Lazio,Udinese,1,3,A,4,4,D,5,4,9
2122,17/12/2021,Lazio,Genoa,1,0,H,3,1,H,5,2,7
2122,06/01/2022,Lazio,Empoli,1,2,A,3,3,D,9,2,11
2122,22/01/2022,Lazio,Atalanta,0,0,D,0,0,D,4,1,5
2122,12/02/2022,Lazio,Bologna,1,0,H,3,0,H,5,3,8
2122,27/02/2022,Lazio,Napoli,0,0,D,1,2,A,1,5,6
2122,14/03/2022,Lazio,Venezia,0,0,D,1,0,H,8,4,12
2122,02/04/2022,Lazio,Sassuolo,1,0,H,2,1,H,4,3,7
2122,16/04/2022,Lazio,Torino,0,0,D,1,1,D,9,7,16
2122,24/04/2022,Lazio,Milan,1,0,H,1,2,A,2,8,10
2122,07/05/2022,Lazio,Sampdoria,1,0,H,2,0,H,6,0,6
2122,21/05/2022,Lazio,Verona,2,2,D,3,3,D,6,4,10
2223,14/08/2022,Lazio,Bologna,0,1,A,2,1,H,3,2,5
2223,26/08/2022,Lazio,Inter,1,0,H,3,1,H,2,4,6
2223,03/09/2022,Lazio,Napoli,1,1,D,1,2,A,6,8,14
2223,11/09/2022,Lazio,Verona,0,0,D,2,0,H,3,5,8
2223,02/10/2022,Lazio,Spezia,2,0,H,4,0,H,3,6,9
2223,16/10/2022,Lazio,Udinese,0,0,D,0,0,D,7,3,10
2223,30/10/2022,Lazio,Salernitana,1,0,H,1,3,A,4,5,9
2223,10/11/2022,Lazio,Monza,0,0,D,1,0,H,4,3,7
2223,08/01/2023,Lazio,Empoli,1,0,H,2,2,D,10,3,13
2223,24/01/2023,Lazio,Milan,2,0,H,4,0,H,3,4,7
2223,29/01/2023,Lazio,Fiorentina,1,0,H,1,1,D,3,4,7
2223,11/02/2023,Lazio,Atalanta,0,1,A,0,2,A,5,7,12
2223,27/02/2023,Lazio,Sampdoria,0,0,D,1,0,H,8,3,11
2223,19/03/2023,Lazio,Roma,0,0,D,1,0,H,5,2,7
2223,08/04/2023,Lazio,Juventus,1,1,D,2,1,H,6,6,12
2223,22/04/2023,Lazio,Torino,0,1,A,0,1,A,3,4,7
2223,03/05/2023,Lazio,Sassuolo,1,0,H,2,0,H,1,2,3
2223,12/05/2023,Lazio,Lecce,1,1,D,2,2,D,2,3,5
