Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2223,13/08/2022,Lecce,Inter,0,1,A,1,2,A,6,8,14
2223,28/08/2022,Lecce,Empoli,1,1,D,1,1,D,3,5,8
2223,11/09/2022,Lecce,Monza,0,1,A,1,1,D,8,5,13
2223,02/10/2022,Lecce,Cremonese,1,1,D,1,1,D,1,8,9
2223,17/10/2022,Lecce,Fiorentina,1,0,H,1,1,D,2,8,10
2223,29/10/2022,Lecce,Juventus,0,0,D,0,1,A,7,7,14
2223,09/11/2022,Lecce,Atalanta,2,1,H,2,1,H,4,3,7
2223,04/01/2023,Lecce,Lazio,0,1,A,2,1,H,4,3,7
2223,14/01/2023,Lecce,Milan,2,0,H,2,2,D,8,4,12
2223,27/01/2023,Lecce,Salernitana,1,2,A,1,2,A,4,4,8
2223,11/02/2023,Lecce,Roma,1,1,D,1,1,D,3,7,10
2223,25/02/2023,Lecce,Sassuolo,0,0,D,0,1,A,4,7,11
2223,12/03/2023,Lecce,Torino,0,2,A,0,2,A,9,1,10
2223,07/04/2023,Lecce,Napoli,0,1,A,1,2,A,5,4,9
2223,16/04/2023,Lecce,Sampdoria,1,0,H,1,1,D,11,8,19
2223,28/04/2023,Lecce,Udinese,0,0,D,1,0,H,7,4,11
2223,07/05/2023,Lecce,Verona,0,0,D,0,1,A,4,4,8
2223,21/05/2023,Lecce,Spezia,0,0,D,0,0,D,2,5,7
2223,04/06/2023,Lecce,Bologna,1,0,H,2,3,A,7,2,9
2324,20/08/2023,Lecce,Lazio,0,1,A,2,1,H,5,2,7
2324,03/09/2023,Lecce,Salernitana,1,0,H,2,0,H,6,5,11
2324,22/09/2023,Lecce,Genoa,0,0,D,1,0,H,4,3,7
2324,30/09/2023,Lecce,Napoli,0,1,A,0,4,A,3,7,10
2324,06/10/2023,Lecce,Sassuolo,0,1,A,1,1,D,5,3,8
2324,28/10/2023,Lecce,Torino,0,1,A,0,1,A,3,0,3
2324,11/11/2023,Lecce,Milan,0,2,A,2,2,D,3,1,4
2324,03/12/2023,Lecce,Bologna,0,0,D,1,1,D,6,3,9
2324,16/12/2023,Lecce,Frosinone,1,1,D,2,1,H,5,4,9
2324,06/01/2024,Lecce,Cagliari,1,0,H,1,1,D,7,6,13
2324,21/01/2024,Lecce,Juventus,0,0,D,0,3,A,5,5,10
2324,02/02/2024,Lecce,Fiorentina,1,0,H,3,2,H,1,3,4
2324,25/02/2024,Lecce,Inter,0,1,A,0,4,A,7,10,17
2324,10/03/2024,Lecce,Verona,0,1,A,0,1,A,11,6,17
2324,01/04/2024,Lecce,Roma,0,0,D,0,0,D,8,4,12
2324,13/04/2024,Lecce,Empoli,0,0,D,1,0,H,10,3,13
2324,27/04/2024,Lecce,Monza,0,0,D,1,1,D,0,5,5
2324,13/05/2024,Lecce,Udinese,0,1,A,0,2,A,8,2,10
2324,18/05/2024,Lecce,Atalanta,0,0,D,0,2,A,2,5,7
2425,19/08/2024,Lecce,Atalanta,0,2,A,0,4,A,5,3,8
2425,31/08/2024,Lecce,Cagliari,1,0,H,1,0,H,7,10,17
2425,21/09/2024,Lecce,Parma,1,0,H,2,2,D,2,12,14
2425,20/10/2024,Lecce,Fiorentina,0,3,A,0,6,A,1,3,4
2425,29/10/2024,Lecce,Verona,0,0,D,1,0,H,3,4,7
2223,13/08/2022,Lecce,Inter,0,1,A,1,2,A,6,8,14
2223,28/08/2022,Lecce,Empoli,1,1,D,1,1,D,3,5,8
2223,11/09/2022,Lecce,Monza,0,1,A,1,1,D,8,5,13
2223,02/10/2022,Lecce,Cremonese,1,1,D,1,1,D,1,8,9
2223,17/10/2022,Lecce,Fiorentina,1,0,H,1,1,D,2,8,10
2223,29/10/2022,Lecce,Juventus,0,0,D,0,1,A,7,7,14
2223,09/11/2022,Lecce,Atalanta,2,1,H,2,1,H,4,3,7
2223,04/01/2023,Lecce,Lazio,0,1,A,2,1,H,4,3,7
2223,14/01/2023,Lecce,Milan,2,0,H,2,2,D,8,4,12
2223,27/01/2023,Lecce,Salernitana,1,2,A,1,2,A,4,4,8
2223,11/02/2023,Lecce,Roma,1,1,D,1,1,D,3,7,10
2223,25/02/2023,Lecce,Sassuolo,0,0,D,0,1,A,4,7,11
2223,12/03/2023,Lecce,Torino,0,2,A,0,2,A,9,1,10
2223,07/04/2023,Lecce,Napoli,0,1,A,1,2,A,5,4,9
2223,16/04/2023,Lecce,Sampdoria,1,0,H,1,1,D,11,8,19
2223,28/04/2023,Lecce,Udinese,0,0,D,1,0,H,7,4,11
2223,07/05/2023,Lecce,Verona,0,0,D,0,1,A,4,4,8
2223,21/05/2023,Lecce,Spezia,0,0,D,0,0,D,2,5,7
2223,04/06/2023,Lecce,Bologna,1,0,H,2,3,A,7,2,9
2324,20/08/2023,Lecce,Lazio,0,1,A,2,1,H,5,2,7
2324,03/09/2023,Lecce,Salernitana,1,0,H,2,0,H,6,5,11
2324,22/09/2023,Lecce,Genoa,0,0,D,1,0,H,4,3,7
2324,30/09/2023,Lecce,Napoli,0,1,A,0,4,A,3,7,10
2324,06/10/2023,Lecce,Sassuolo,0,1,A,1,1,D,5,3,8
2324,28/10/2023,Lecce,Torino,0,1,A,0,1,A,3,0,3
2324,11/11/2023,Lecce,Milan,0,2,A,2,2,D,3,1,4
2324,03/12/2023,Lecce,Bologna,0,0,D,1,1,D,6,3,9
2324,16/12/2023,Lecce,Frosinone,1,1,D,2,1,H,5,4,9
2324,06/01/2024,Lecce,Cagliari,1,0,H,1,1,D,7,6,13
2324,21/01/2024,Lecce,Juventus,0,0,D,0,3,A,5,5,10
2324,02/02/2024,Lecce,Fiorentina,1,0,H,3,2,H,1,3,4
2324,25/02/2024,Lecce,Inter,0,1,A,0,4,A,7,10,17
2324,10/03/2024,Lecce,Verona,0,1,A,0,1,A,11,6,17
2324,01/04/2024,Lecce,Roma,0,0,D,0,0,D,8,4,12
2324,13/04/2024,Lecce,Empoli,0,0,D,1,0,H,10,3,13
2324,27/04/2024,Lecce,Monza,0,0,D,1,1,D,0,5,5
2324,13/05/2024,Lecce,Udinese,0,1,A,0,2,A,8,2,10
2324,18/05/2024,Lecce,Atalanta,0,0,D,0,2,A,2,5,7
2425,19/08/2024,Lecce,Atalanta,0,2,A,0,4,A,5,3,8
2425,31/08/2024,Lecce,Cagliari,1,0,H,1,0,H,7,10,17
2425,21/09/2024,Lecce,Parma,1,0,H,2,2,D,2,12,14
2425,20/10/2024,Lecce,Fiorentina,0,3,A,0,6,A,1,3,4
2425,29/10/2024,Lecce,Verona,0,0,D,1,0,H,3,4,7
