Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,21/09/2020,Milan,Bologna,1,0,H,2,0,H,7,4,11
2021,04/10/2020,Milan,Spezia,0,0,D,3,0,H,4,6,10
2021,26/10/2020,Milan,Roma,1,1,D,3,3,D,7,7,14
2021,08/11/2020,Milan,Verona,1,2,A,2,2,D,14,1,15
2021,29/11/2020,Milan,Fiorentina,2,0,H,2,0,H,3,6,9
2021,13/12/2020,Milan,Parma,0,1,A,2,2,D,13,1,14
2021,23/12/2020,Milan,Lazio,2,1,H,3,2,H,4,6,10
2021,06/01/2021,Milan,Juventus,1,1,D,1,3,A,7,4,11
2021,09/01/2021,Milan,Torino,2,0,H,2,0,H,7,5,12
2021,23/01/2021,Milan,Atalanta,0,1,A,0,3,A,5,7,12
2021,07/02/2021,Milan,Crotone,1,0,H,4,0,H,8,6,14
2021,21/02/2021,Milan,Inter,0,1,A,0,3,A,7,7,14
2021,03/03/2021,Milan,Udinese,0,0,D,1,1,D,7,2,9
2021,14/03/2021,Milan,Napoli,0,0,D,0,1,A,5,4,9
2021,03/04/2021,Milan,Sampdoria,0,0,D,1,1,D,5,5,10
2021,18/04/2021,Milan,Genoa,1,1,D,2,1,H,5,4,9
2021,21/04/2021,Milan,Sassuolo,1,0,H,1,2,A,3,7,10
2021,01/05/2021,Milan,Benevento,1,0,H,2,0,H,6,7,13
2021,16/05/2021,Milan,Cagliari,0,0,D,0,0,D,9,7,16
2122,29/08/2021,Milan,Cagliari,4,1,H,4,1,H,8,3,11
2122,12/09/2021,Milan,Lazio,1,0,H,2,0,H,5,1,6
2122,22/09/2021,Milan,Venezia,0,0,D,2,0,H,4,4,8
2122,16/10/2021,Milan,Verona,0,2,A,3,2,H,5,4,9
2122,26/10/2021,Milan,Torino,1,0,H,1,0,H,2,5,7
2122,07/11/2021,Milan,Inter,1,1,D,1,1,D,4,8,12
2122,28/11/2021,Milan,Sassuolo,1,2,A,1,3,A,7,6,13
2122,04/12/2021,Milan,Salernitana,2,0,H,2,0,H,9,5,14
2122,19/12/2021,Milan,Napoli,0,1,A,0,1,A,5,5,10
2122,06/01/2022,Milan,Roma,2,1,H,3,1,H,3,9,12
2122,17/01/2022,Milan,Spezia,1,0,H,1,2,A,10,1,11
2122,23/01/2022,Milan,Juventus,0,0,D,0,0,D,4,1,5
2122,13/02/2022,Milan,Sampdoria,1,0,H,1,0,H,4,0,4
2122,25/02/2022,Milan,Udinese,1,0,H,1,1,D,5,4,9
2122,12/03/2022,Milan,Empoli,1,0,H,1,0,H,5,4,9
2122,04/04/2022,Milan,Bologna,0,0,D,0,0,D,9,2,11
