Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2223,13/08/2022,Monza,Torino,0,1,A,1,2,A,2,7,9
2223,26/08/2022,Monza,Udinese,1,1,D,1,2,A,3,5,8
2223,05/09/2022,Monza,Atalanta,0,0,D,0,2,A,4,9,13
2223,18/09/2022,Monza,Juventus,0,0,D,1,0,H,5,3,8
2223,09/10/2022,Monza,Spezia,1,0,H,2,0,H,3,6,9
2223,31/10/2022,Monza,Bologna,0,0,D,1,2,A,4,5,9
2223,06/11/2022,Monza,Verona,0,0,D,2,0,H,5,2,7
2223,13/11/2022,Monza,Salernitana,2,0,H,3,0,H,6,1,7
2223,07/01/2023,Monza,Inter,1,2,A,2,2,D,3,5,8
2223,22/01/2023,Monza,Sassuolo,0,1,A,1,1,D,10,4,14
2223,06/02/2023,Monza,Sampdoria,1,1,D,2,2,D,9,3,12
2223,18/02/2023,Monza,Milan,0,1,A,0,1,A,10,3,13
2223,04/03/2023,Monza,Empoli,1,0,H,2,1,H,1,8,9
2223,18/03/2023,Monza,Cremonese,0,0,D,1,1,D,8,4,12
2223,02/04/2023,Monza,Lazio,0,1,A,0,2,A,8,3,11
2223,23/04/2023,Monza,Fiorentina,2,2,D,3,2,H,5,3,8
2223,03/05/2023,Monza,Roma,1,1,D,1,1,D,4,3,7
2223,14/05/2023,Monza,Napoli,1,0,H,2,0,H,6,10,16
2223,28/05/2023,Monza,Lecce,0,0,D,0,1,A,1,3,4
2324,26/08/2023,Monza,Empoli,1,0,H,2,0,H,6,5,11
2324,17/09/2023,Monza,Lecce,1,1,D,1,1,D,10,1,11
2324,28/09/2023,Monza,Bologna,0,0,D,0,0,D,7,5,12
2324,08/10/2023,Monza,Salernitana,2,0,H,3,0,H,7,7,14
2324,29/10/2023,Monza,Udinese,1,0,H,1,1,D,10,3,13
2324,11/11/2023,Monza,Torino,0,0,D,1,1,D,3,1,4
2324,01/12/2023,Monza,Juventus,0,1,A,1,2,A,7,3,10
2324,10/12/2023,Monza,Genoa,0,0,D,1,0,H,2,3,5
2324,22/12/2023,Monza,Fiorentina,0,1,A,0,1,A,1,4,5
2324,13/01/2024,Monza,Inter,0,2,A,1,5,A,4,5,9
2324,28/01/2024,Monza,Sassuolo,1,0,H,1,0,H,4,5,9
2324,11/02/2024,Monza,Verona,0,0,D,0,0,D,5,2,7
2324,18/02/2024,Monza,Milan,2,0,H,4,2,H,7,3,10
2324,02/03/2024,Monza,Roma,0,2,A,1,4,A,6,3,9
2324,16/03/2024,Monza,Cagliari,1,0,H,1,0,H,3,7,10
2324,07/04/2024,Monza,Napoli,1,0,H,2,4,A,1,6,7
2324,21/04/2024,Monza,Atalanta,0,1,A,1,2,A,2,8,10
2324,04/05/2024,Monza,Lazio,0,1,A,2,2,D,5,4,9
2324,19/05/2024,Monza,Frosinone,0,1,A,0,1,A,3,4,7
2425,24/08/2024,Monza,Genoa,0,1,A,0,1,A,8,3,11
2425,15/09/2024,Monza,Inter,0,0,D,1,1,D,1,8,9
2425,22/09/2024,Monza,Bologna,1,1,D,1,2,A,2,2,4
