Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Napoli,Genoa,1,0,H,6,0,H,4,2,6
2021,17/10/2020,Napoli,Atalanta,4,0,H,4,1,H,6,2,8
2021,01/11/2020,Napoli,Sassuolo,0,0,D,0,2,A,12,3,15
2021,22/11/2020,Napoli,Milan,0,1,A,1,3,A,8,5,13
2021,29/11/2020,Napoli,Roma,1,0,H,4,0,H,11,4,15
2021,13/12/2020,Napoli,Sampdoria,0,1,A,2,1,H,7,5,12
2021,23/12/2020,Napoli,Torino,0,0,D,1,1,D,4,3,7
2021,06/01/2021,Napoli,Spezia,0,0,D,1,2,A,10,2,12
2021,17/01/2021,Napoli,Fiorentina,4,0,H,6,0,H,1,4,5
2021,31/01/2021,Napoli,Parma,1,0,H,2,0,H,7,6,13
2021,13/02/2021,Napoli,Juventus,1,0,H,1,0,H,3,9,12
2021,28/02/2021,Napoli,Benevento,1,0,H,2,0,H,8,2,10
2021,07/03/2021,Napoli,Bologna,1,0,H,3,1,H,6,3,9
2021,03/04/2021,Napoli,Crotone,3,1,H,4,3,H,4,6,10
2021,18/04/2021,Napoli,Inter,1,0,H,1,1,D,3,3,6
2021,22/04/2021,Napoli,Lazio,2,0,H,5,2,H,2,3,5
2021,02/05/2021,Napoli,Cagliari,1,0,H,1,1,D,3,1,4
2021,11/05/2021,Napoli,Udinese,2,1,H,5,1,H,8,3,11
2021,23/05/2021,Napoli,Verona,0,0,D,1,1,D,5,3,8
2122,22/08/2021,Napoli,Venezia,0,0,D,2,0,H,2,2,4
2122,11/09/2021,Napoli,Juventus,0,1,A,2,1,H,13,1,14
2122,26/09/2021,Napoli,Cagliari,1,0,H,2,0,H,6,4,10
2122,17/10/2021,Napoli,Torino,0,0,D,1,0,H,3,4,7
2122,28/10/2021,Napoli,Bologna,2,0,H,3,0,H,4,2,6
2122,07/11/2021,Napoli,Verona,1,1,D,1,1,D,3,2,5
2122,28/11/2021,Napoli,Lazio,3,0,H,4,0,H,1,3,4
2122,04/12/2021,Napoli,Atalanta,1,1,D,2,3,A,6,7,13
2122,12/12/2021,Napoli,Empoli,0,0,D,0,1,A,10,3,13
2122,22/12/2021,Napoli,Spezia,0,1,A,0,1,A,10,5,15
2122,09/01/2022,Napoli,Sampdoria,1,0,H,1,0,H,13,0,13
2122,23/01/2022,Napoli,Salernitana,2,1,H,4,1,H,10,0,10
2122,12/02/2022,Napoli,Inter,1,0,H,1,1,D,4,2,6
2122,06/03/2022,Napoli,Milan,0,0,D,0,1,A,6,7,13
2122,19/03/2022,Napoli,Udinese,0,1,A,2,1,H,7,4,11
2122,10/04/2022,Napoli,Fiorentina,0,1,A,2,3,A,3,2,5
2122,18/04/2022,Napoli,Roma,1,0,H,1,1,D,5,5,10
2122,30/04/2022,Napoli,Sassuolo,4,0,H,6,1,H,4,3,7
2122,15/05/2022,Napoli,Genoa,1,0,H,3,0,H,9,2,11
2223,21/08/2022,Napoli,Monza,2,0,H,4,0,H,10,4,14
2223,31/08/2022,Napoli,Lecce,1,1,D,1,1,D,6,4,10
2223,10/09/2022,Napoli,Spezia,0,0,D,1,0,H,10,5,15
2223,01/10/2022,Napoli,Torino,3,1,H,3,1,H,4,4,8
2223,16/10/2022,Napoli,Bologna,1,1,D,3,2,H,6,4,10
2223,29/10/2022,Napoli,Sassuolo,3,0,H,4,0,H,11,5,16
2223,08/11/2022,Napoli,Empoli,0,0,D,2,0,H,5,0,5
2223,12/11/2022,Napoli,Udinese,2,0,H,3,2,H,5,3,8
2223,13/01/2023,Napoli,Juventus,2,1,H,5,1,H,2,5,7
2223,29/01/2023,Napoli,Roma,1,0,H,2,1,H,3,8,11
2223,12/02/2023,Napoli,Cremonese,1,0,H,3,0,H,9,7,16
2223,03/03/2023,Napoli,Lazio,0,0,D,0,1,A,8,3,11
2223,11/03/2023,Napoli,Atalanta,0,0,D,2,0,H,10,4,14
2223,02/04/2023,Napoli,Milan,0,2,A,0,4,A,10,4,14
2223,15/04/2023,Napoli,Verona,0,0,D,0,0,D,4,0,4
2223,30/04/2023,Napoli,Salernitana,0,0,D,1,1,D,10,0,10
2223,07/05/2023,Napoli,Fiorentina,0,0,D,1,0,H,0,5,5
2223,21/05/2023,Napoli,Inter,0,0,D,3,1,H,4,1,5
2223,04/06/2023,Napoli,Sampdoria,0,0,D,2,0,H,11,0,11
2324,27/08/2023,Napoli,Sassuolo,1,0,H,2,0,H,12,4,16
2324,02/09/2023,Napoli,Lazio,1,1,D,1,2,A,7,2,9
2324,27/09/2023,Napoli,Udinese,2,0,H,4,1,H,8,4,12
2324,08/10/2023,Napoli,Fiorentina,1,1,D,1,3,A,6,4,10
2324,29/10/2023,Napoli,Milan,0,2,A,2,2,D,6,4,10
2324,12/11/2023,Napoli,Empoli,0,0,D,0,1,A,8,3,11
2324,03/12/2023,Napoli,Inter,0,1,A,0,3,A,6,4,10
2324,16/12/2023,Napoli,Cagliari,0,0,D,2,1,H,5,3,8
2324,29/12/2023,Napoli,Monza,0,0,D,0,0,D,10,1,11
2324,13/01/2024,Napoli,Salernitana,1,1,D,2,1,H,8,3,11
2324,04/02/2024,Napoli,Verona,0,0,D,2,1,H,9,2,11
2324,17/02/2024,Napoli,Genoa,0,0,D,1,1,D,7,2,9
2324,03/03/2024,Napoli,Juventus,1,0,H,2,1,H,2,1,3
2324,08/03/2024,Napoli,Torino,0,0,D,1,1,D,13,7,20
2324,30/03/2024,Napoli,Atalanta,0,2,A,0,3,A,7,5,12
2324,14/04/2024,Napoli,Frosinone,1,0,H,2,2,D,6,2,8
2324,28/04/2024,Napoli,Roma,0,0,D,2,2,D,9,2,11
2324,11/05/2024,Napoli,Bologna,0,2,A,0,2,A,9,3,12
2324,26/05/2024,Napoli,Lecce,0,0,D,0,0,D,4,1,5
2425,25/08/2024,Napoli,Bologna,1,0,H,3,0,H,7,5,12
2425,31/08/2024,Napoli,Parma,0,1,A,2,1,H,6,4,10
2425,29/09/2024,Napoli,Monza,2,0,H,2,0,H,1,3,4
2425,04/10/2024,Napoli,Como,1,1,D,3,1,H,4,1,5
2425,26/10/2024,Napoli,Lecce,0,0,D,1,0,H,16,5,21
2425,03/11/2024,Napoli,Atalanta,0,2,A,0,3,A,4,3,7
2021,27/09/2020,Napoli,Genoa,1,0,H,6,0,H,4,2,6
2021,17/10/2020,Napoli,Atalanta,4,0,H,4,1,H,6,2,8
2021,01/11/2020,Napoli,Sassuolo,0,0,D,0,2,A,12,3,15
2021,22/11/2020,Napoli,Milan,0,1,A,1,3,A,8,5,13
2021,29/11/2020,Napoli,Roma,1,0,H,4,0,H,11,4,15
2021,13/12/2020,Napoli,Sampdoria,0,1,A,2,1,H,7,5,12
2021,23/12/2020,Napoli,Torino,0,0,D,1,1,D,4,3,7
2021,06/01/2021,Napoli,Spezia,0,0,D,1,2,A,10,2,12
2021,17/01/2021,Napoli,Fiorentina,4,0,H,6,0,H,1,4,5
2021,31/01/2021,Napoli,Parma,1,0,H,2,0,H,7,6,13
2021,13/02/2021,Napoli,Juventus,1,0,H,1,0,H,3,9,12
2021,28/02/2021,Napoli,Benevento,1,0,H,2,0,H,8,2,10
2021,07/03/2021,Napoli,Bologna,1,0,H,3,1,H,6,3,9
2021,03/04/2021,Napoli,Crotone,3,1,H,4,3,H,4,6,10
2021,18/04/2021,Napoli,Inter,1,0,H,1,1,D,3,3,6
2021,22/04/2021,Napoli,Lazio,2,0,H,5,2,H,2,3,5
2021,02/05/2021,Napoli,Cagliari,1,0,H,1,1,D,3,1,4
2021,11/05/2021,Napoli,Udinese,2,1,H,5,1,H,8,3,11
2021,23/05/2021,Napoli,Verona,0,0,D,1,1,D,5,3,8
2122,22/08/2021,Napoli,Venezia,0,0,D,2,0,H,2,2,4
2122,11/09/2021,Napoli,Juventus,0,1,A,2,1,H,13,1,14
2122,26/09/2021,Napoli,Cagliari,1,0,H,2,0,H,6,4,10
2122,17/10/2021,Napoli,Torino,0,0,D,1,0,H,3,4,7
2122,28/10/2021,Napoli,Bologna,2,0,H,3,0,H,4,2,6
2122,07/11/2021,Napoli,Verona,1,1,D,1,1,D,3,2,5
2122,28/11/2021,Napoli,Lazio,3,0,H,4,0,H,1,3,4
2122,04/12/2021,Napoli,Atalanta,1,1,D,2,3,A,6,7,13
2122,12/12/2021,Napoli,Empoli,0,0,D,0,1,A,10,3,13
2122,22/12/2021,Napoli,Spezia,0,1,A,0,1,A,10,5,15
2122,09/01/2022,Napoli,Sampdoria,1,0,H,1,0,H,13,0,13
2122,23/01/2022,Napoli,Salernitana,2,1,H,4,1,H,10,0,10
2122,12/02/2022,Napoli,Inter,1,0,H,1,1,D,4,2,6
2122,06/03/2022,Napoli,Milan,0,0,D,0,1,A,6,7,13
2122,19/03/2022,Napoli,Udinese,0,1,A,2,1,H,7,4,11
2122,10/04/2022,Napoli,Fiorentina,0,1,A,2,3,A,3,2,5
