Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Parma,Napoli,0,0,D,0,2,A,4,2,6
2021,04/10/2020,Parma,Verona,1,0,H,1,0,H,7,6,13
2021,25/10/2020,Parma,Spezia,1,2,A,2,2,D,12,3,15
2021,07/11/2020,Parma,Fiorentina,0,0,D,0,0,D,2,3,5
2021,06/12/2020,Parma,Benevento,0,0,D,0,0,D,6,3,9
2021,16/12/2020,Parma,Cagliari,0,0,D,0,0,D,8,5,13
2021,19/12/2020,Parma,Juventus,0,2,A,0,4,A,4,9,13
2021,03/01/2021,Parma,Torino,0,1,A,0,3,A,9,3,12
2021,10/01/2021,Parma,Lazio,0,0,D,0,2,A,5,6,11
2021,24/01/2021,Parma,Sampdoria,0,2,A,0,2,A,5,5,10
2021,07/02/2021,Parma,Bologna,0,2,A,0,3,A,5,1,6
2021,21/02/2021,Parma,Udinese,2,0,H,2,2,D,3,2,5
2021,04/03/2021,Parma,Inter,0,0,D,1,2,A,2,2,4
2021,14/03/2021,Parma,Roma,1,0,H,2,0,H,0,12,12
2021,19/03/2021,Parma,Genoa,1,0,H,1,2,A,1,3,4
2021,10/04/2021,Parma,Milan,0,2,A,1,3,A,7,3,10
2021,24/04/2021,Parma,Crotone,1,3,A,3,4,A,7,5,12
2021,09/05/2021,Parma,Atalanta,0,1,A,2,5,A,1,3,4
2021,16/05/2021,Parma,Sassuolo,1,1,D,1,3,A,2,12,14
2425,17/08/2024,Parma,Fiorentina,1,0,H,1,1,D,4,9,13
2425,24/08/2024,Parma,Milan,1,0,H,2,1,H,3,9,12
2425,16/09/2024,Parma,Udinese,2,0,H,2,3,A,5,6,11
2425,30/09/2024,Parma,Cagliari,0,1,A,2,3,A,5,3,8
2425,27/10/2024,Parma,Empoli,0,1,A,1,1,D,9,3,12
2425,04/11/2024,Parma,Genoa,0,0,D,0,1,A,3,7,10
2021,20/09/2020,Parma,Napoli,0,0,D,0,2,A,4,2,6
2021,04/10/2020,Parma,Verona,1,0,H,1,0,H,7,6,13
2021,25/10/2020,Parma,Spezia,1,2,A,2,2,D,12,3,15
2021,07/11/2020,Parma,Fiorentina,0,0,D,0,0,D,2,3,5
2021,06/12/2020,Parma,Benevento,0,0,D,0,0,D,6,3,9
2021,16/12/2020,Parma,Cagliari,0,0,D,0,0,D,8,5,13
2021,19/12/2020,Parma,Juventus,0,2,A,0,4,A,4,9,13
2021,03/01/2021,Parma,Torino,0,1,A,0,3,A,9,3,12
2021,10/01/2021,Parma,Lazio,0,0,D,0,2,A,5,6,11
2021,24/01/2021,Parma,Sampdoria,0,2,A,0,2,A,5,5,10
2021,07/02/2021,Parma,Bologna,0,2,A,0,3,A,5,1,6
2021,21/02/2021,Parma,Udinese,2,0,H,2,2,D,3,2,5
2021,04/03/2021,Parma,Inter,0,0,D,1,2,A,2,2,4
2021,14/03/2021,Parma,Roma,1,0,H,2,0,H,0,12,12
2021,19/03/2021,Parma,Genoa,1,0,H,1,2,A,1,3,4
2021,10/04/2021,Parma,Milan,0,2,A,1,3,A,7,3,10
2021,24/04/2021,Parma,Crotone,1,3,A,3,4,A,7,5,12
2021,09/05/2021,Parma,Atalanta,0,1,A,2,5,A,1,3,4
2021,16/05/2021,Parma,Sassuolo,1,1,D,1,3,A,2,12,14
2425,17/08/2024,Parma,Fiorentina,1,0,H,1,1,D,4,9,13
2425,24/08/2024,Parma,Milan,1,0,H,2,1,H,3,9,12
2425,16/09/2024,Parma,Udinese,2,0,H,2,3,A,5,6,11
2425,30/09/2024,Parma,Cagliari,0,1,A,2,3,A,5,3,8
2425,27/10/2024,Parma,Empoli,0,1,A,1,1,D,9,3,12
2425,04/11/2024,Parma,Genoa,0,0,D,0,1,A,3,7,10
