Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Roma,Juventus,2,1,H,2,2,D,5,7,12
2021,18/10/2020,Roma,Benevento,2,1,H,5,2,H,6,4,10
2021,01/11/2020,Roma,Fiorentina,1,0,H,2,0,H,7,4,11
2021,22/11/2020,Roma,Parma,3,0,H,3,0,H,4,1,5
2021,06/12/2020,Roma,Sassuolo,0,0,D,0,0,D,12,5,17
2021,17/12/2020,Roma,Torino,2,0,H,3,1,H,4,2,6
2021,23/12/2020,Roma,Cagliari,1,0,H,3,2,H,6,0,6
2021,03/01/2021,Roma,Sampdoria,0,0,D,1,0,H,8,2,10
2021,10/01/2021,Roma,Inter,1,0,H,2,2,D,3,7,10
2021,23/01/2021,Roma,Spezia,1,1,D,4,3,H,3,1,4
2021,31/01/2021,Roma,Verona,3,0,H,3,1,H,4,5,9
2021,14/02/2021,Roma,Udinese,2,0,H,3,0,H,7,2,9
2021,28/02/2021,Roma,Milan,0,1,A,1,2,A,5,8,13
2021,07/03/2021,Roma,Genoa,1,0,H,1,0,H,7,1,8
2021,21/03/2021,Roma,Napoli,0,2,A,0,2,A,6,4,10
2021,11/04/2021,Roma,Bologna,1,0,H,1,0,H,4,6,10
2021,22/04/2021,Roma,Atalanta,0,1,A,1,1,D,4,8,12
2021,09/05/2021,Roma,Crotone,0,0,D,5,0,H,8,4,12
2021,15/05/2021,Roma,Lazio,1,0,H,2,0,H,4,4,8
2122,22/08/2021,Roma,Fiorentina,1,0,H,3,1,H,4,4,8
2122,12/09/2021,Roma,Sassuolo,1,0,H,2,1,H,4,6,10
2122,23/09/2021,Roma,Udinese,1,0,H,1,0,H,6,6,12
2122,03/10/2021,Roma,Empoli,1,0,H,2,0,H,5,5,10
2122,24/10/2021,Roma,Napoli,0,0,D,0,0,D,7,4,11
2122,31/10/2021,Roma,Milan,0,1,A,1,2,A,6,2,8
2122,28/11/2021,Roma,Torino,1,0,H,1,0,H,2,9,11
2122,04/12/2021,Roma,Inter,0,3,A,0,3,A,4,4,8
2122,13/12/2021,Roma,Spezia,1,0,H,2,0,H,9,4,13
