Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,29/08/2021,Salernitana,Roma,0,0,D,0,4,A,1,10,11
2122,18/09/2021,Salernitana,Atalanta,0,0,D,0,1,A,6,4,10
2122,22/09/2021,Salernitana,Verona,1,2,A,2,2,D,4,5,9
2122,02/10/2021,Salernitana,Genoa,0,0,D,1,0,H,10,8,18
2122,23/10/2021,Salernitana,Empoli,0,4,A,2,4,A,7,1,8
2122,31/10/2021,Salernitana,Napoli,0,0,D,0,1,A,4,4,8
2122,21/11/2021,Salernitana,Sampdoria,0,2,A,0,2,A,13,3,16
2122,30/11/2021,Salernitana,Juventus,0,1,A,0,2,A,4,4,8
2122,17/12/2021,Salernitana,Inter,0,2,A,0,5,A,3,10,13
2122,15/01/2022,Salernitana,Lazio,0,2,A,0,3,A,3,7,10
2122,07/02/2022,Salernitana,Spezia,2,2,D,2,2,D,5,6,11
2122,19/02/2022,Salernitana,Milan,1,1,D,2,2,D,4,7,11
2122,26/02/2022,Salernitana,Bologna,0,1,A,1,1,D,6,1,7
2122,12/03/2022,Salernitana,Sassuolo,1,2,A,2,2,D,5,5,10
2122,02/04/2022,Salernitana,Torino,0,1,A,0,1,A,9,2,11
2122,24/04/2022,Salernitana,Fiorentina,1,0,H,2,1,H,6,4,10
2122,05/05/2022,Salernitana,Venezia,1,0,H,2,1,H,6,4,10
2122,08/05/2022,Salernitana,Cagliari,0,0,D,1,1,D,7,6,13
2122,22/05/2022,Salernitana,Udinese,0,3,A,0,4,A,7,1,8
2223,14/08/2022,Salernitana,Roma,0,1,A,0,1,A,4,2,6
2223,28/08/2022,Salernitana,Sampdoria,2,0,H,4,0,H,6,3,9
2223,05/09/2022,Salernitana,Empoli,1,1,D,2,2,D,6,7,13
2223,16/09/2022,Salernitana,Lecce,0,1,A,1,2,A,4,5,9
2223,09/10/2022,Salernitana,Verona,1,0,H,2,1,H,1,6,7
2223,22/10/2022,Salernitana,Spezia,0,0,D,1,0,H,4,7,11
2223,05/11/2022,Salernitana,Cremonese,2,1,H,2,2,D,2,2,4
2223,04/01/2023,Salernitana,Milan,0,2,A,1,2,A,6,2,8
2223,08/01/2023,Salernitana,Torino,0,1,A,1,1,D,6,7,13
2223,21/01/2023,Salernitana,Napoli,0,1,A,0,2,A,3,4,7
2223,07/02/2023,Salernitana,Juventus,0,2,A,0,3,A,6,3,9
2223,19/02/2023,Salernitana,Lazio,0,0,D,0,2,A,2,9,11
2223,26/02/2023,Salernitana,Monza,0,0,D,3,0,H,1,3,4
2223,18/03/2023,Salernitana,Bologna,1,1,D,2,2,D,5,4,9
2223,07/04/2023,Salernitana,Inter,0,1,A,1,1,D,2,8,10
2223,22/04/2023,Salernitana,Sassuolo,2,0,H,3,0,H,4,8,12
2223,03/05/2023,Salernitana,Fiorentina,1,1,D,3,3,D,2,3,5
2223,13/05/2023,Salernitana,Atalanta,0,0,D,1,0,H,5,3,8
2223,27/05/2023,Salernitana,Udinese,1,2,A,3,2,H,2,1,3
2324,28/08/2023,Salernitana,Udinese,0,0,D,1,1,D,7,5,12
2324,18/09/2023,Salernitana,Torino,0,2,A,0,3,A,1,2,3
2324,22/09/2023,Salernitana,Frosinone,0,1,A,1,1,D,8,6,14
2324,30/09/2023,Salernitana,Inter,0,0,D,0,4,A,3,3,6
2324,22/10/2023,Salernitana,Cagliari,0,0,D,2,2,D,8,5,13
2324,04/11/2023,Salernitana,Napoli,0,1,A,0,2,A,8,9,17
2324,25/11/2023,Salernitana,Lazio,0,1,A,2,1,H,4,9,13
2324,10/12/2023,Salernitana,Bologna,0,2,A,1,2,A,5,1,6
2324,22/12/2023,Salernitana,Milan,1,1,D,2,2,D,6,6,12
2324,07/01/2024,Salernitana,Juventus,1,0,H,1,2,A,2,8,10
2324,21/01/2024,Salernitana,Genoa,1,1,D,1,2,A,5,5,10
2324,29/01/2024,Salernitana,Roma,0,0,D,1,2,A,5,1,6
2324,09/02/2024,Salernitana,Empoli,0,1,A,1,3,A,4,8,12
2324,24/02/2024,Salernitana,Monza,0,0,D,0,2,A,7,11,18
2324,16/03/2024,Salernitana,Lecce,0,1,A,0,1,A,7,1,8
2324,05/04/2024,Salernitana,Sassuolo,0,2,A,2,2,D,4,9,13
2324,21/04/2024,Salernitana,Fiorentina,0,0,D,0,2,A,2,5,7
2324,06/05/2024,Salernitana,Atalanta,1,0,H,1,2,A,1,7,8
2324,20/05/2024,Salernitana,Verona,0,2,A,1,2,A,4,6,10
2122,29/08/2021,Salernitana,Roma,0,0,D,0,4,A,1,10,11
2122,18/09/2021,Salernitana,Atalanta,0,0,D,0,1,A,6,4,10
2122,22/09/2021,Salernitana,Verona,1,2,A,2,2,D,4,5,9
2122,02/10/2021,Salernitana,Genoa,0,0,D,1,0,H,10,8,18
2122,23/10/2021,Salernitana,Empoli,0,4,A,2,4,A,7,1,8
2122,31/10/2021,Salernitana,Napoli,0,0,D,0,1,A,4,4,8
2122,21/11/2021,Salernitana,Sampdoria,0,2,A,0,2,A,13,3,16
2122,30/11/2021,Salernitana,Juventus,0,1,A,0,2,A,4,4,8
2122,17/12/2021,Salernitana,Inter,0,2,A,0,5,A,3,10,13
2122,15/01/2022,Salernitana,Lazio,0,2,A,0,3,A,3,7,10
2122,07/02/2022,Salernitana,Spezia,2,2,D,2,2,D,5,6,11
2122,19/02/2022,Salernitana,Milan,1,1,D,2,2,D,4,7,11
2122,26/02/2022,Salernitana,Bologna,0,1,A,1,1,D,6,1,7
2122,12/03/2022,Salernitana,Sassuolo,1,2,A,2,2,D,5,5,10
2122,02/04/2022,Salernitana,Torino,0,1,A,0,1,A,9,2,11
2122,24/04/2022,Salernitana,Fiorentina,1,0,H,2,1,H,6,4,10
2122,05/05/2022,Salernitana,Venezia,1,0,H,2,1,H,6,4,10
2122,08/05/2022,Salernitana,Cagliari,0,0,D,1,1,D,7,6,13
2122,22/05/2022,Salernitana,Udinese,0,3,A,0,4,A,7,1,8
2223,14/08/2022,Salernitana,Roma,0,1,A,0,1,A,4,2,6
2223,28/08/2022,Salernitana,Sampdoria,2,0,H,4,0,H,6,3,9
2223,05/09/2022,Salernitana,Empoli,1,1,D,2,2,D,6,7,13
2223,16/09/2022,Salernitana,Lecce,0,1,A,1,2,A,4,5,9
2223,09/10/2022,Salernitana,Verona,1,0,H,2,1,H,1,6,7
2223,22/10/2022,Salernitana,Spezia,0,0,D,1,0,H,4,7,11
2223,05/11/2022,Salernitana,Cremonese,2,1,H,2,2,D,2,2,4
2223,04/01/2023,Salernitana,Milan,0,2,A,1,2,A,6,2,8
2223,08/01/2023,Salernitana,Torino,0,1,A,1,1,D,6,7,13
2223,21/01/2023,Salernitana,Napoli,0,1,A,0,2,A,3,4,7
2223,07/02/2023,Salernitana,Juventus,0,2,A,0,3,A,6,3,9
2223,19/02/2023,Salernitana,Lazio,0,0,D,0,2,A,2,9,11
2223,26/02/2023,Salernitana,Monza,0,0,D,3,0,H,1,3,4
2223,18/03/2023,Salernitana,Bologna,1,1,D,2,2,D,5,4,9
2223,07/04/2023,Salernitana,Inter,0,1,A,1,1,D,2,8,10
2223,22/04/2023,Salernitana,Sassuolo,2,0,H,3,0,H,4,8,12
2223,03/05/2023,Salernitana,Fiorentina,1,1,D,3,3,D,2,3,5
2223,13/05/2023,Salernitana,Atalanta,0,0,D,1,0,H,5,3,8
2223,27/05/2023,Salernitana,Udinese,1,2,A,3,2,H,2,1,3
2324,28/08/2023,Salernitana,Udinese,0,0,D,1,1,D,7,5,12
2324,18/09/2023,Salernitana,Torino,0,2,A,0,3,A,1,2,3
2324,22/09/2023,Salernitana,Frosinone,0,1,A,1,1,D,8,6,14
2324,30/09/2023,Salernitana,Inter,0,0,D,0,4,A,3,3,6
2324,22/10/2023,Salernitana,Cagliari,0,0,D,2,2,D,8,5,13
2324,04/11/2023,Salernitana,Napoli,0,1,A,0,2,A,8,9,17
2324,25/11/2023,Salernitana,Lazio,0,1,A,2,1,H,4,9,13
2324,10/12/2023,Salernitana,Bologna,0,2,A,1,2,A,5,1,6
2324,22/12/2023,Salernitana,Milan,1,1,D,2,2,D,6,6,12
2324,07/01/2024,Salernitana,Juventus,1,0,H,1,2,A,2,8,10
2324,21/01/2024,Salernitana,Genoa,1,1,D,1,2,A,5,5,10
2324,29/01/2024,Salernitana,Roma,0,0,D,1,2,A,5,1,6
2324,09/02/2024,Salernitana,Empoli,0,1,A,1,3,A,4,8,12
2324,24/02/2024,Salernitana,Monza,0,0,D,0,2,A,7,11,18
2324,16/03/2024,Salernitana,Lecce,0,1,A,0,1,A,7,1,8
2324,05/04/2024,Salernitana,Sassuolo,0,2,A,2,2,D,4,9,13
2324,21/04/2024,Salernitana,Fiorentina,0,0,D,0,2,A,2,5,7
2324,06/05/2024,Salernitana,Atalanta,1,0,H,1,2,A,1,7,8
2324,20/05/2024,Salernitana,Verona,0,2,A,1,2,A,4,6,10
