Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,26/09/2020,Sampdoria,Benevento,2,1,H,2,3,A,6,4,10
2021,17/10/2020,Sampdoria,Lazio,2,0,H,3,0,H,3,3,6
2021,01/11/2020,Sampdoria,Genoa,1,1,D,1,1,D,7,4,11
2021,22/11/2020,Sampdoria,Bologna,1,1,D,1,2,A,9,10,19
2021,06/12/2020,Sampdoria,Milan,0,1,A,1,2,A,9,6,15
2021,19/12/2020,Sampdoria,Crotone,2,1,H,3,1,H,3,1,4
2021,23/12/2020,Sampdoria,Sassuolo,0,1,A,2,3,A,14,6,20
2021,06/01/2021,Sampdoria,Inter,2,0,H,2,1,H,4,10,14
2021,16/01/2021,Sampdoria,Udinese,0,0,D,2,1,H,11,5,16
2021,30/01/2021,Sampdoria,Juventus,0,1,A,0,2,A,5,7,12
2021,14/02/2021,Sampdoria,Fiorentina,1,1,D,2,1,H,6,7,13
2021,28/02/2021,Sampdoria,Atalanta,0,1,A,0,2,A,5,6,11
2021,07/03/2021,Sampdoria,Cagliari,0,1,A,2,2,D,3,5,8
2021,21/03/2021,Sampdoria,Torino,1,0,H,1,0,H,1,7,8
2021,11/04/2021,Sampdoria,Napoli,0,1,A,0,2,A,8,7,15
2021,17/04/2021,Sampdoria,Verona,0,1,A,3,1,H,5,7,12
2021,02/05/2021,Sampdoria,Roma,1,0,H,2,0,H,8,8,16
2021,12/05/2021,Sampdoria,Spezia,1,1,D,2,2,D,5,5,10
2021,22/05/2021,Sampdoria,Parma,2,0,H,3,0,H,2,4,6
2122,23/08/2021,Sampdoria,Milan,0,1,A,0,1,A,8,3,11
2122,12/09/2021,Sampdoria,Inter,1,2,A,2,2,D,4,4,8
2122,23/09/2021,Sampdoria,Napoli,0,2,A,0,4,A,5,5,10
2122,03/10/2021,Sampdoria,Udinese,1,2,A,3,3,D,6,8,14
2122,22/10/2021,Sampdoria,Spezia,2,0,H,2,1,H,0,8,8
2122,27/10/2021,Sampdoria,Atalanta,1,2,A,1,3,A,3,3,6
2122,07/11/2021,Sampdoria,Bologna,0,0,D,1,2,A,6,5,11
2122,27/11/2021,Sampdoria,Verona,0,1,A,3,1,H,4,5,9
2122,05/12/2021,Sampdoria,Lazio,0,3,A,1,3,A,7,0,7
2122,19/12/2021,Sampdoria,Venezia,1,0,H,1,1,D,4,3,7
2122,06/01/2022,Sampdoria,Cagliari,1,0,H,1,2,A,0,5,5
2122,15/01/2022,Sampdoria,Torino,1,1,D,1,2,A,3,10,13
2122,06/02/2022,Sampdoria,Sassuolo,2,0,H,4,0,H,3,9,12
2122,19/02/2022,Sampdoria,Empoli,2,0,H,2,0,H,3,6,9
2122,12/03/2022,Sampdoria,Juventus,0,2,A,1,3,A,9,0,9
2122,03/04/2022,Sampdoria,Roma,0,1,A,0,1,A,4,4,8
2122,16/04/2022,Sampdoria,Salernitana,1,2,A,1,2,A,5,2,7
2122,30/04/2022,Sampdoria,Genoa,1,0,H,1,0,H,1,2,3
2122,16/05/2022,Sampdoria,Fiorentina,2,0,H,4,1,H,4,5,9
2223,13/08/2022,Sampdoria,Atalanta,0,1,A,0,2,A,3,2,5
2223,22/08/2022,Sampdoria,Juventus,0,0,D,0,0,D,3,4,7
2223,31/08/2022,Sampdoria,Lazio,0,1,A,1,1,D,5,7,12
2223,10/09/2022,Sampdoria,Milan,0,1,A,1,2,A,2,4,6
2223,02/10/2022,Sampdoria,Monza,0,1,A,0,3,A,2,4,6
2223,17/10/2022,Sampdoria,Roma,0,1,A,0,1,A,4,3,7
2223,06/11/2022,Sampdoria,Fiorentina,0,1,A,0,2,A,4,4,8
2223,12/11/2022,Sampdoria,Lecce,0,1,A,0,2,A,9,0,9
2223,08/01/2023,Sampdoria,Napoli,0,1,A,0,2,A,2,5,7
2223,22/01/2023,Sampdoria,Udinese,0,0,D,0,1,A,6,6,12
2223,13/02/2023,Sampdoria,Inter,0,0,D,0,0,D,3,7,10
2223,18/02/2023,Sampdoria,Bologna,0,1,A,1,2,A,1,8,9
2223,05/03/2023,Sampdoria,Salernitana,0,0,D,0,0,D,2,6,8
2223,19/03/2023,Sampdoria,Verona,2,0,H,3,1,H,5,8,13
2223,08/04/2023,Sampdoria,Cremonese,1,1,D,2,3,A,3,3,6
2223,22/04/2023,Sampdoria,Spezia,1,0,H,1,1,D,9,9,18
2223,03/05/2023,Sampdoria,Torino,0,1,A,0,2,A,2,3,5
2223,15/05/2023,Sampdoria,Empoli,1,0,H,1,1,D,1,2,3
2223,26/05/2023,Sampdoria,Sassuolo,1,2,A,2,2,D,8,4,12
2021,26/09/2020,Sampdoria,Benevento,2,1,H,2,3,A,6,4,10
2021,17/10/2020,Sampdoria,Lazio,2,0,H,3,0,H,3,3,6
2021,01/11/2020,Sampdoria,Genoa,1,1,D,1,1,D,7,4,11
2021,22/11/2020,Sampdoria,Bologna,1,1,D,1,2,A,9,10,19
2021,06/12/2020,Sampdoria,Milan,0,1,A,1,2,A,9,6,15
2021,19/12/2020,Sampdoria,Crotone,2,1,H,3,1,H,3,1,4
2021,23/12/2020,Sampdoria,Sassuolo,0,1,A,2,3,A,14,6,20
2021,06/01/2021,Sampdoria,Inter,2,0,H,2,1,H,4,10,14
2021,16/01/2021,Sampdoria,Udinese,0,0,D,2,1,H,11,5,16
2021,30/01/2021,Sampdoria,Juventus,0,1,A,0,2,A,5,7,12
2021,14/02/2021,Sampdoria,Fiorentina,1,1,D,2,1,H,6,7,13
2021,28/02/2021,Sampdoria,Atalanta,0,1,A,0,2,A,5,6,11
2021,07/03/2021,Sampdoria,Cagliari,0,1,A,2,2,D,3,5,8
2021,21/03/2021,Sampdoria,Torino,1,0,H,1,0,H,1,7,8
2021,11/04/2021,Sampdoria,Napoli,0,1,A,0,2,A,8,7,15
2021,17/04/2021,Sampdoria,Verona,0,1,A,3,1,H,5,7,12
2021,02/05/2021,Sampdoria,Roma,1,0,H,2,0,H,8,8,16
2021,12/05/2021,Sampdoria,Spezia,1,1,D,2,2,D,5,5,10
2021,22/05/2021,Sampdoria,Parma,2,0,H,3,0,H,2,4,6
2122,23/08/2021,Sampdoria,Milan,0,1,A,0,1,A,8,3,11
2122,12/09/2021,Sampdoria,Inter,1,2,A,2,2,D,4,4,8
2122,23/09/2021,Sampdoria,Napoli,0,2,A,0,4,A,5,5,10
2122,03/10/2021,Sampdoria,Udinese,1,2,A,3,3,D,6,8,14
2122,22/10/2021,Sampdoria,Spezia,2,0,H,2,1,H,0,8,8
2122,27/10/2021,Sampdoria,Atalanta,1,2,A,1,3,A,3,3,6
2122,07/11/2021,Sampdoria,Bologna,0,0,D,1,2,A,6,5,11
2122,27/11/2021,Sampdoria,Verona,0,1,A,3,1,H,4,5,9
2122,05/12/2021,Sampdoria,Lazio,0,3,A,1,3,A,7,0,7
2122,19/12/2021,Sampdoria,Venezia,1,0,H,1,1,D,4,3,7
2122,06/01/2022,Sampdoria,Cagliari,1,0,H,1,2,A,0,5,5
2122,15/01/2022,Sampdoria,Torino,1,1,D,1,2,A,3,10,13
2122,06/02/2022,Sampdoria,Sassuolo,2,0,H,4,0,H,3,9,12
2122,19/02/2022,Sampdoria,Empoli,2,0,H,2,0,H,3,6,9
2122,12/03/2022,Sampdoria,Juventus,0,2,A,1,3,A,9,0,9
2122,03/04/2022,Sampdoria,Roma,0,1,A,0,1,A,4,4,8
2122,16/04/2022,Sampdoria,Salernitana,1,2,A,1,2,A,5,2,7
2122,30/04/2022,Sampdoria,Genoa,1,0,H,1,0,H,1,2,3
2122,16/05/2022,Sampdoria,Fiorentina,2,0,H,4,1,H,4,5,9
2223,13/08/2022,Sampdoria,Atalanta,0,1,A,0,2,A,3,2,5
2223,22/08/2022,Sampdoria,Juventus,0,0,D,0,0,D,3,4,7
2223,31/08/2022,Sampdoria,Lazio,0,1,A,1,1,D,5,7,12
2223,10/09/2022,Sampdoria,Milan,0,1,A,1,2,A,2,4,6
2223,02/10/2022,Sampdoria,Monza,0,1,A,0,3,A,2,4,6
2223,17/10/2022,Sampdoria,Roma,0,1,A,0,1,A,4,3,7
2223,06/11/2022,Sampdoria,Fiorentina,0,1,A,0,2,A,4,4,8
2223,12/11/2022,Sampdoria,Lecce,0,1,A,0,2,A,9,0,9
2223,08/01/2023,Sampdoria,Napoli,0,1,A,0,2,A,2,5,7
2223,22/01/2023,Sampdoria,Udinese,0,0,D,0,1,A,6,6,12
2223,13/02/2023,Sampdoria,Inter,0,0,D,0,0,D,3,7,10
2223,18/02/2023,Sampdoria,Bologna,0,1,A,1,2,A,1,8,9
2223,05/03/2023,Sampdoria,Salernitana,0,0,D,0,0,D,2,6,8
2223,19/03/2023,Sampdoria,Verona,2,0,H,3,1,H,5,8,13
2223,08/04/2023,Sampdoria,Cremonese,1,1,D,2,3,A,3,3,6
2223,22/04/2023,Sampdoria,Spezia,1,0,H,1,1,D,9,9,18
2223,03/05/2023,Sampdoria,Torino,0,1,A,0,2,A,2,3,5
2223,15/05/2023,Sampdoria,Empoli,1,0,H,1,1,D,1,2,3
2223,26/05/2023,Sampdoria,Sassuolo,1,2,A,2,2,D,8,4,12
