Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Sassuolo,Cagliari,0,0,D,1,1,D,7,3,10
2021,03/10/2020,Sassuolo,Crotone,1,0,H,4,1,H,3,4,7
2021,23/10/2020,Sassuolo,Torino,0,1,A,3,3,D,6,8,14
2021,06/11/2020,Sassuolo,Udinese,0,0,D,0,0,D,3,6,9
2021,28/11/2020,Sassuolo,Inter,0,2,A,0,3,A,6,2,8
2021,11/12/2020,Sassuolo,Benevento,1,0,H,1,0,H,1,10,11
2021,20/12/2020,Sassuolo,Milan,0,2,A,1,2,A,6,4,10
2021,06/01/2021,Sassuolo,Genoa,0,0,D,2,1,H,8,2,10
2021,17/01/2021,Sassuolo,Parma,0,1,A,1,1,D,5,2,7
2021,06/02/2021,Sassuolo,Spezia,1,1,D,1,2,A,5,5,10
2021,20/02/2021,Sassuolo,Bologna,0,1,A,1,1,D,10,6,16
2021,03/03/2021,Sassuolo,Napoli,2,1,H,3,3,D,6,4,10
2021,13/03/2021,Sassuolo,Verona,1,1,D,3,2,H,6,5,11
2021,03/04/2021,Sassuolo,Roma,0,1,A,2,2,D,3,4,7
2021,17/04/2021,Sassuolo,Fiorentina,0,1,A,3,1,H,3,4,7
2021,24/04/2021,Sassuolo,Sampdoria,0,0,D,1,0,H,8,3,11
2021,02/05/2021,Sassuolo,Atalanta,0,1,A,1,1,D,4,4,8
2021,12/05/2021,Sassuolo,Juventus,0,2,A,1,3,A,3,5,8
2021,23/05/2021,Sassuolo,Lazio,1,0,H,2,0,H,3,3,6
2122,29/08/2021,Sassuolo,Sampdoria,0,0,D,0,0,D,8,6,14
2122,17/09/2021,Sassuolo,Torino,0,0,D,0,1,A,6,3,9
2122,26/09/2021,Sassuolo,Salernitana,0,0,D,1,0,H,4,8,12
2122,02/10/2021,Sassuolo,Inter,1,0,H,1,2,A,6,8,14
2122,23/10/2021,Sassuolo,Venezia,1,1,D,3,1,H,5,4,9
2122,31/10/2021,Sassuolo,Empoli,1,0,H,1,2,A,4,6,10
2122,21/11/2021,Sassuolo,Cagliari,1,1,D,2,2,D,6,5,11
2122,01/12/2021,Sassuolo,Napoli,0,0,D,2,2,D,5,4,9
2122,12/12/2021,Sassuolo,Lazio,0,1,A,2,1,H,6,0,6
2122,22/12/2021,Sassuolo,Bologna,0,2,A,0,3,A,5,5,10
2122,06/01/2022,Sassuolo,Genoa,0,1,A,1,1,D,7,4,11
2122,16/01/2022,Sassuolo,Verona,0,2,A,2,4,A,9,7,16
2122,13/02/2022,Sassuolo,Roma,0,1,A,2,2,D,4,3,7
2122,26/02/2022,Sassuolo,Fiorentina,1,0,H,2,1,H,6,10,16
2122,18/03/2022,Sassuolo,Spezia,1,1,D,4,1,H,6,2,8
2122,10/04/2022,Sassuolo,Atalanta,1,0,H,2,1,H,8,8,16
2122,25/04/2022,Sassuolo,Juventus,1,1,D,1,2,A,6,4,10
2122,07/05/2022,Sassuolo,Udinese,1,0,H,1,1,D,6,9,15
2122,22/05/2022,Sassuolo,Milan,0,3,A,0,3,A,3,7,10
2223,20/08/2022,Sassuolo,Lecce,1,0,H,1,0,H,5,4,9
2223,30/08/2022,Sassuolo,Milan,0,0,D,0,0,D,3,8,11
2223,11/09/2022,Sassuolo,Udinese,1,0,H,1,3,A,5,6,11
2223,02/10/2022,Sassuolo,Salernitana,2,0,H,5,0,H,1,2,3
2223,08/10/2022,Sassuolo,Inter,0,1,A,1,2,A,6,5,11
2223,24/10/2022,Sassuolo,Verona,1,1,D,2,1,H,4,5,9
2223,09/11/2022,Sassuolo,Roma,0,0,D,1,1,D,3,2,5
2223,04/01/2023,Sassuolo,Sampdoria,0,2,A,1,2,A,9,1,10
2223,15/01/2023,Sassuolo,Lazio,0,1,A,0,2,A,7,3,10
2223,04/02/2023,Sassuolo,Atalanta,0,0,D,1,0,H,2,7,9
2223,17/02/2023,Sassuolo,Napoli,0,2,A,0,2,A,1,3,4
2223,06/03/2023,Sassuolo,Cremonese,2,0,H,3,2,H,4,3,7
2223,17/03/2023,Sassuolo,Spezia,0,0,D,1,0,H,3,3,6
2223,03/04/2023,Sassuolo,Torino,1,0,H,1,1,D,6,7,13
2223,16/04/2023,Sassuolo,Juventus,0,0,D,1,0,H,10,13,23
2223,30/04/2023,Sassuolo,Empoli,0,1,A,2,1,H,7,5,12
2223,08/05/2023,Sassuolo,Bologna,1,1,D,1,1,D,4,4,8
2223,19/05/2023,Sassuolo,Monza,1,0,H,1,2,A,6,3,9
2223,02/06/2023,Sassuolo,Fiorentina,0,0,D,1,3,A,2,4,6
2324,20/08/2023,Sassuolo,Atalanta,0,0,D,0,2,A,7,7,14
2324,01/09/2023,Sassuolo,Verona,1,0,H,3,1,H,10,1,11
2324,23/09/2023,Sassuolo,Juventus,2,1,H,4,2,H,6,3,9
2324,02/10/2023,Sassuolo,Monza,0,0,D,0,1,A,7,4,11
2324,21/10/2023,Sassuolo,Lazio,0,2,A,0,2,A,5,7,12
2324,28/10/2023,Sassuolo,Bologna,1,1,D,1,1,D,6,2,8
2324,10/11/2023,Sassuolo,Salernitana,1,2,A,2,2,D,11,0,11
2324,03/12/2023,Sassuolo,Roma,1,0,H,1,2,A,1,11,12
2324,22/12/2023,Sassuolo,Genoa,1,0,H,1,2,A,3,6,9
2324,06/01/2024,Sassuolo,Fiorentina,1,0,H,1,0,H,1,8,9
2324,10/02/2024,Sassuolo,Torino,1,1,D,1,1,D,5,4,9
2324,24/02/2024,Sassuolo,Empoli,0,1,A,2,3,A,4,1,5
2324,28/02/2024,Sassuolo,Napoli,1,3,A,1,6,A,5,10,15
2324,09/03/2024,Sassuolo,Frosinone,0,0,D,1,0,H,1,2,3
2324,01/04/2024,Sassuolo,Udinese,1,1,D,1,1,D,10,1,11
2324,14/04/2024,Sassuolo,Milan,2,1,H,3,3,D,2,6,8
2324,21/04/2024,Sassuolo,Lecce,0,2,A,0,3,A,9,4,13
2324,04/05/2024,Sassuolo,Inter,1,0,H,1,0,H,2,5,7
2324,19/05/2024,Sassuolo,Cagliari,0,0,D,0,2,A,5,6,11
2021,20/09/2020,Sassuolo,Cagliari,0,0,D,1,1,D,7,3,10
2021,03/10/2020,Sassuolo,Crotone,1,0,H,4,1,H,3,4,7
2021,23/10/2020,Sassuolo,Torino,0,1,A,3,3,D,6,8,14
2021,06/11/2020,Sassuolo,Udinese,0,0,D,0,0,D,3,6,9
2021,28/11/2020,Sassuolo,Inter,0,2,A,0,3,A,6,2,8
2021,11/12/2020,Sassuolo,Benevento,1,0,H,1,0,H,1,10,11
2021,20/12/2020,Sassuolo,Milan,0,2,A,1,2,A,6,4,10
2021,06/01/2021,Sassuolo,Genoa,0,0,D,2,1,H,8,2,10
2021,17/01/2021,Sassuolo,Parma,0,1,A,1,1,D,5,2,7
2021,06/02/2021,Sassuolo,Spezia,1,1,D,1,2,A,5,5,10
2021,20/02/2021,Sassuolo,Bologna,0,1,A,1,1,D,10,6,16
2021,03/03/2021,Sassuolo,Napoli,2,1,H,3,3,D,6,4,10
2021,13/03/2021,Sassuolo,Verona,1,1,D,3,2,H,6,5,11
2021,03/04/2021,Sassuolo,Roma,0,1,A,2,2,D,3,4,7
2021,17/04/2021,Sassuolo,Fiorentina,0,1,A,3,1,H,3,4,7
2021,24/04/2021,Sassuolo,Sampdoria,0,0,D,1,0,H,8,3,11
2021,02/05/2021,Sassuolo,Atalanta,0,1,A,1,1,D,4,4,8
2021,12/05/2021,Sassuolo,Juventus,0,2,A,1,3,A,3,5,8
2021,23/05/2021,Sassuolo,Lazio,1,0,H,2,0,H,3,3,6
2122,29/08/2021,Sassuolo,Sampdoria,0,0,D,0,0,D,8,6,14
2122,17/09/2021,Sassuolo,Torino,0,0,D,0,1,A,6,3,9
2122,26/09/2021,Sassuolo,Salernitana,0,0,D,1,0,H,4,8,12
2122,02/10/2021,Sassuolo,Inter,1,0,H,1,2,A,6,8,14
2122,23/10/2021,Sassuolo,Venezia,1,1,D,3,1,H,5,4,9
2122,31/10/2021,Sassuolo,Empoli,1,0,H,1,2,A,4,6,10
2122,21/11/2021,Sassuolo,Cagliari,1,1,D,2,2,D,6,5,11
2122,01/12/2021,Sassuolo,Napoli,0,0,D,2,2,D,5,4,9
2122,12/12/2021,Sassuolo,Lazio,0,1,A,2,1,H,6,0,6
2122,22/12/2021,Sassuolo,Bologna,0,2,A,0,3,A,5,5,10
2122,06/01/2022,Sassuolo,Genoa,0,1,A,1,1,D,7,4,11
2122,16/01/2022,Sassuolo,Verona,0,2,A,2,4,A,9,7,16
2122,13/02/2022,Sassuolo,Roma,0,1,A,2,2,D,4,3,7
2122,26/02/2022,Sassuolo,Fiorentina,1,0,H,2,1,H,6,10,16
2122,18/03/2022,Sassuolo,Spezia,1,1,D,4,1,H,6,2,8
2122,10/04/2022,Sassuolo,Atalanta,1,0,H,2,1,H,8,8,16
2122,25/04/2022,Sassuolo,Juventus,1,1,D,1,2,A,6,4,10
2122,07/05/2022,Sassuolo,Udinese,1,0,H,1,1,D,6,9,15
2122,22/05/2022,Sassuolo,Milan,0,3,A,0,3,A,3,7,10
2223,20/08/2022,Sassuolo,Lecce,1,0,H,1,0,H,5,4,9
2223,30/08/2022,Sassuolo,Milan,0,0,D,0,0,D,3,8,11
2223,11/09/2022,Sassuolo,Udinese,1,0,H,1,3,A,5,6,11
2223,02/10/2022,Sassuolo,Salernitana,2,0,H,5,0,H,1,2,3
2223,08/10/2022,Sassuolo,Inter,0,1,A,1,2,A,6,5,11
2223,24/10/2022,Sassuolo,Verona,1,1,D,2,1,H,4,5,9
2223,09/11/2022,Sassuolo,Roma,0,0,D,1,1,D,3,2,5
2223,04/01/2023,Sassuolo,Sampdoria,0,2,A,1,2,A,9,1,10
2223,15/01/2023,Sassuolo,Lazio,0,1,A,0,2,A,7,3,10
2223,04/02/2023,Sassuolo,Atalanta,0,0,D,1,0,H,2,7,9
2223,17/02/2023,Sassuolo,Napoli,0,2,A,0,2,A,1,3,4
2223,06/03/2023,Sassuolo,Cremonese,2,0,H,3,2,H,4,3,7
2223,17/03/2023,Sassuolo,Spezia,0,0,D,1,0,H,3,3,6
2223,03/04/2023,Sassuolo,Torino,1,0,H,1,1,D,6,7,13
2223,16/04/2023,Sassuolo,Juventus,0,0,D,1,0,H,10,13,23
2223,30/04/2023,Sassuolo,Empoli,0,1,A,2,1,H,7,5,12
2223,08/05/2023,Sassuolo,Bologna,1,1,D,1,1,D,4,4,8
2223,19/05/2023,Sassuolo,Monza,1,0,H,1,2,A,6,3,9
2223,02/06/2023,Sassuolo,Fiorentina,0,0,D,1,3,A,2,4,6
2324,20/08/2023,Sassuolo,Atalanta,0,0,D,0,2,A,7,7,14
2324,01/09/2023,Sassuolo,Verona,1,0,H,3,1,H,10,1,11
2324,23/09/2023,Sassuolo,Juventus,2,1,H,4,2,H,6,3,9
2324,02/10/2023,Sassuolo,Monza,0,0,D,0,1,A,7,4,11
2324,21/10/2023,Sassuolo,Lazio,0,2,A,0,2,A,5,7,12
2324,28/10/2023,Sassuolo,Bologna,1,1,D,1,1,D,6,2,8
2324,10/11/2023,Sassuolo,Salernitana,1,2,A,2,2,D,11,0,11
2324,03/12/2023,Sassuolo,Roma,1,0,H,1,2,A,1,11,12
2324,22/12/2023,Sassuolo,Genoa,1,0,H,1,2,A,3,6,9
2324,06/01/2024,Sassuolo,Fiorentina,1,0,H,1,0,H,1,8,9
2324,10/02/2024,Sassuolo,Torino,1,1,D,1,1,D,5,4,9
2324,24/02/2024,Sassuolo,Empoli,0,1,A,2,3,A,4,1,5
2324,28/02/2024,Sassuolo,Napoli,1,3,A,1,6,A,5,10,15
2324,09/03/2024,Sassuolo,Frosinone,0,0,D,1,0,H,1,2,3
2324,01/04/2024,Sassuolo,Udinese,1,1,D,1,1,D,10,1,11
2324,14/04/2024,Sassuolo,Milan,2,1,H,3,3,D,2,6,8
2324,21/04/2024,Sassuolo,Lecce,0,2,A,0,3,A,9,4,13
2324,04/05/2024,Sassuolo,Inter,1,0,H,1,0,H,2,5,7
2324,19/05/2024,Sassuolo,Cagliari,0,0,D,0,2,A,5,6,11
