Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,27/09/2020,Spezia,Sassuolo,1,1,D,1,4,A,3,5,8
2021,18/10/2020,Spezia,Fiorentina,1,2,A,2,2,D,5,5,10
2021,01/11/2020,Spezia,Juventus,1,1,D,1,4,A,4,3,7
2021,21/11/2020,Spezia,Atalanta,0,0,D,0,0,D,1,2,3
2021,05/12/2020,Spezia,Lazio,0,2,A,1,2,A,7,0,7
2021,16/12/2020,Spezia,Bologna,1,0,H,2,2,D,3,4,7
2021,23/12/2020,Spezia,Genoa,1,1,D,1,2,A,4,2,6
2021,03/01/2021,Spezia,Verona,0,0,D,0,1,A,3,5,8
2021,11/01/2021,Spezia,Sampdoria,1,1,D,2,1,H,4,2,6
2021,31/01/2021,Spezia,Udinese,0,0,D,0,1,A,2,2,4
2021,13/02/2021,Spezia,Milan,0,0,D,2,0,H,5,2,7
2021,27/02/2021,Spezia,Parma,0,2,A,2,2,D,8,2,10
2021,06/03/2021,Spezia,Benevento,0,1,A,1,1,D,3,1,4
2021,20/03/2021,Spezia,Cagliari,0,0,D,2,1,H,4,4,8
2021,10/04/2021,Spezia,Crotone,0,1,A,3,2,H,3,4,7
2021,21/04/2021,Spezia,Inter,1,1,D,1,1,D,0,8,8
2021,08/05/2021,Spezia,Napoli,0,3,A,1,4,A,1,2,3
2021,15/05/2021,Spezia,Torino,2,0,H,4,1,H,3,6,9
2021,23/05/2021,Spezia,Roma,2,0,H,2,2,D,5,2,7
2122,12/09/2021,Spezia,Udinese,0,0,D,0,1,A,4,5,9
2122,22/09/2021,Spezia,Juventus,1,1,D,2,3,A,5,15,20
2122,25/09/2021,Spezia,Milan,0,0,D,1,2,A,2,4,6
2122,16/10/2021,Spezia,Salernitana,0,1,A,2,1,H,10,2,12
2122,26/10/2021,Spezia,Genoa,0,0,D,1,1,D,3,3,6
2122,06/11/2021,Spezia,Torino,0,0,D,1,0,H,2,3,5
2122,28/11/2021,Spezia,Bologna,0,0,D,0,1,A,3,6,9
2122,05/12/2021,Spezia,Sassuolo,1,0,H,2,2,D,2,5,7
2122,19/12/2021,Spezia,Empoli,0,0,D,1,1,D,3,5,8
2122,06/01/2022,Spezia,Verona,0,0,D,1,2,A,6,7,13
2122,23/01/2022,Spezia,Sampdoria,0,0,D,1,0,H,2,4,6
2122,14/02/2022,Spezia,Fiorentina,0,1,A,1,2,A,4,8,12
2122,27/02/2022,Spezia,Roma,0,0,D,0,1,A,1,8,9
2122,12/03/2022,Spezia,Cagliari,0,0,D,2,0,H,8,7,15
2122,02/04/2022,Spezia,Venezia,0,0,D,1,0,H,5,2,7
2122,15/04/2022,Spezia,Inter,0,1,A,1,3,A,6,7,13
2122,30/04/2022,Spezia,Lazio,2,1,H,3,4,A,4,5,9
2122,08/05/2022,Spezia,Atalanta,1,1,D,1,3,A,0,3,3
2122,22/05/2022,Spezia,Napoli,0,3,A,0,3,A,4,2,6
2223,14/08/2022,Spezia,Empoli,1,0,H,1,0,H,6,4,10
2223,27/08/2022,Spezia,Sassuolo,2,1,H,2,2,D,2,6,8
2223,04/09/2022,Spezia,Bologna,1,1,D,2,2,D,7,2,9
2223,17/09/2022,Spezia,Sampdoria,1,1,D,2,1,H,3,6,9
2223,16/10/2022,Spezia,Cremonese,2,1,H,2,2,D,6,8,14
2223,30/10/2022,Spezia,Fiorentina,1,1,D,1,2,A,5,5,10
2223,08/11/2022,Spezia,Udinese,1,1,D,1,1,D,9,0,9
2223,04/01/2023,Spezia,Atalanta,2,0,H,2,2,D,3,8,11
2223,08/01/2023,Spezia,Lecce,0,0,D,0,0,D,5,7,12
2223,22/01/2023,Spezia,Roma,0,1,A,0,2,A,4,0,4
2223,05/02/2023,Spezia,Napoli,0,0,D,0,3,A,3,6,9
2223,19/02/2023,Spezia,Juventus,0,1,A,0,2,A,7,4,11
2223,05/03/2023,Spezia,Verona,0,0,D,0,0,D,9,5,14
2223,10/03/2023,Spezia,Inter,0,0,D,2,1,H,1,13,14
2223,02/04/2023,Spezia,Salernitana,0,1,A,1,1,D,9,5,14
2223,14/04/2023,Spezia,Lazio,0,1,A,0,3,A,2,3,5
2223,28/04/2023,Spezia,Monza,0,1,A,0,2,A,3,3,6
2223,13/05/2023,Spezia,Milan,0,0,D,2,0,H,6,9,15
2223,27/05/2023,Spezia,Torino,0,1,A,0,4,A,5,2,7
2021,27/09/2020,Spezia,Sassuolo,1,1,D,1,4,A,3,5,8
2021,18/10/2020,Spezia,Fiorentina,1,2,A,2,2,D,5,5,10
2021,01/11/2020,Spezia,Juventus,1,1,D,1,4,A,4,3,7
2021,21/11/2020,Spezia,Atalanta,0,0,D,0,0,D,1,2,3
2021,05/12/2020,Spezia,Lazio,0,2,A,1,2,A,7,0,7
2021,16/12/2020,Spezia,Bologna,1,0,H,2,2,D,3,4,7
2021,23/12/2020,Spezia,Genoa,1,1,D,1,2,A,4,2,6
2021,03/01/2021,Spezia,Verona,0,0,D,0,1,A,3,5,8
2021,11/01/2021,Spezia,Sampdoria,1,1,D,2,1,H,4,2,6
2021,31/01/2021,Spezia,Udinese,0,0,D,0,1,A,2,2,4
2021,13/02/2021,Spezia,Milan,0,0,D,2,0,H,5,2,7
2021,27/02/2021,Spezia,Parma,0,2,A,2,2,D,8,2,10
2021,06/03/2021,Spezia,Benevento,0,1,A,1,1,D,3,1,4
2021,20/03/2021,Spezia,Cagliari,0,0,D,2,1,H,4,4,8
2021,10/04/2021,Spezia,Crotone,0,1,A,3,2,H,3,4,7
2021,21/04/2021,Spezia,Inter,1,1,D,1,1,D,0,8,8
2021,08/05/2021,Spezia,Napoli,0,3,A,1,4,A,1,2,3
2021,15/05/2021,Spezia,Torino,2,0,H,4,1,H,3,6,9
2021,23/05/2021,Spezia,Roma,2,0,H,2,2,D,5,2,7
2122,12/09/2021,Spezia,Udinese,0,0,D,0,1,A,4,5,9
2122,22/09/2021,Spezia,Juventus,1,1,D,2,3,A,5,15,20
2122,25/09/2021,Spezia,Milan,0,0,D,1,2,A,2,4,6
2122,16/10/2021,Spezia,Salernitana,0,1,A,2,1,H,10,2,12
2122,26/10/2021,Spezia,Genoa,0,0,D,1,1,D,3,3,6
2122,06/11/2021,Spezia,Torino,0,0,D,1,0,H,2,3,5
2122,28/11/2021,Spezia,Bologna,0,0,D,0,1,A,3,6,9
2122,05/12/2021,Spezia,Sassuolo,1,0,H,2,2,D,2,5,7
2122,19/12/2021,Spezia,Empoli,0,0,D,1,1,D,3,5,8
2122,06/01/2022,Spezia,Verona,0,0,D,1,2,A,6,7,13
2122,23/01/2022,Spezia,Sampdoria,0,0,D,1,0,H,2,4,6
2122,14/02/2022,Spezia,Fiorentina,0,1,A,1,2,A,4,8,12
2122,27/02/2022,Spezia,Roma,0,0,D,0,1,A,1,8,9
2122,12/03/2022,Spezia,Cagliari,0,0,D,2,0,H,8,7,15
2122,02/04/2022,Spezia,Venezia,0,0,D,1,0,H,5,2,7
2122,15/04/2022,Spezia,Inter,0,1,A,1,3,A,6,7,13
2122,30/04/2022,Spezia,Lazio,2,1,H,3,4,A,4,5,9
2122,08/05/2022,Spezia,Atalanta,1,1,D,1,3,A,0,3,3
2122,22/05/2022,Spezia,Napoli,0,3,A,0,3,A,4,2,6
2223,14/08/2022,Spezia,Empoli,1,0,H,1,0,H,6,4,10
2223,27/08/2022,Spezia,Sassuolo,2,1,H,2,2,D,2,6,8
2223,04/09/2022,Spezia,Bologna,1,1,D,2,2,D,7,2,9
2223,17/09/2022,Spezia,Sampdoria,1,1,D,2,1,H,3,6,9
2223,16/10/2022,Spezia,Cremonese,2,1,H,2,2,D,6,8,14
2223,30/10/2022,Spezia,Fiorentina,1,1,D,1,2,A,5,5,10
2223,08/11/2022,Spezia,Udinese,1,1,D,1,1,D,9,0,9
2223,04/01/2023,Spezia,Atalanta,2,0,H,2,2,D,3,8,11
2223,08/01/2023,Spezia,Lecce,0,0,D,0,0,D,5,7,12
2223,22/01/2023,Spezia,Roma,0,1,A,0,2,A,4,0,4
2223,05/02/2023,Spezia,Napoli,0,0,D,0,3,A,3,6,9
2223,19/02/2023,Spezia,Juventus,0,1,A,0,2,A,7,4,11
2223,05/03/2023,Spezia,Verona,0,0,D,0,0,D,9,5,14
2223,10/03/2023,Spezia,Inter,0,0,D,2,1,H,1,13,14
2223,02/04/2023,Spezia,Salernitana,0,1,A,1,1,D,9,5,14
2223,14/04/2023,Spezia,Lazio,0,1,A,0,3,A,2,3,5
2223,28/04/2023,Spezia,Monza,0,1,A,0,2,A,3,3,6
2223,13/05/2023,Spezia,Milan,0,0,D,2,0,H,6,9,15
2223,27/05/2023,Spezia,Torino,0,1,A,0,4,A,5,2,7
