Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,26/09/2020,Torino,Atalanta,2,3,A,2,4,A,2,6,8
2021,18/10/2020,Torino,Cagliari,1,2,A,2,3,A,2,4,6
2021,01/11/2020,Torino,Lazio,2,1,H,3,4,A,7,1,8
2021,08/11/2020,Torino,Crotone,0,0,D,0,0,D,6,3,9
2021,30/11/2020,Torino,Sampdoria,1,0,H,2,2,D,6,2,8
2021,12/12/2020,Torino,Udinese,0,1,A,2,3,A,2,2,4
2021,20/12/2020,Torino,Bologna,0,0,D,1,1,D,4,8,12
2021,06/01/2021,Torino,Verona,0,0,D,1,1,D,9,3,12
2021,16/01/2021,Torino,Spezia,0,0,D,0,0,D,6,2,8
2021,29/01/2021,Torino,Fiorentina,0,0,D,1,1,D,7,2,9
2021,13/02/2021,Torino,Genoa,0,0,D,0,0,D,3,5,8
2021,14/03/2021,Torino,Inter,0,0,D,1,2,A,1,8,9
2021,17/03/2021,Torino,Sassuolo,0,2,A,3,2,H,6,3,9
2021,03/04/2021,Torino,Juventus,1,1,D,2,2,D,5,6,11
2021,18/04/2021,Torino,Roma,0,1,A,3,1,H,11,3,14
2021,26/04/2021,Torino,Napoli,0,2,A,0,2,A,8,11,19
2021,03/05/2021,Torino,Parma,0,0,D,1,0,H,5,2,7
2021,12/05/2021,Torino,Milan,0,2,A,0,7,A,2,3,5
2021,23/05/2021,Torino,Benevento,1,0,H,1,1,D,8,3,11
2122,21/08/2021,Torino,Atalanta,0,1,A,1,2,A,5,1,6
2122,12/09/2021,Torino,Salernitana,1,0,H,4,0,H,7,4,11
2122,23/09/2021,Torino,Lazio,0,0,D,1,1,D,6,5,11
2122,02/10/2021,Torino,Juventus,0,0,D,0,1,A,4,6,10
2122,22/10/2021,Torino,Genoa,2,0,H,3,2,H,2,4,6
2122,30/10/2021,Torino,Sampdoria,1,0,H,3,0,H,4,5,9
2122,22/11/2021,Torino,Udinese,1,0,H,2,1,H,4,7,11
2122,02/12/2021,Torino,Empoli,2,1,H,2,2,D,1,11,12
2122,12/12/2021,Torino,Bologna,1,0,H,2,1,H,5,0,5
2122,19/12/2021,Torino,Verona,1,0,H,1,0,H,5,3,8
2122,10/01/2022,Torino,Fiorentina,3,0,H,4,0,H,1,5,6
2122,23/01/2022,Torino,Sassuolo,1,0,H,1,1,D,4,3,7
2122,12/02/2022,Torino,Venezia,1,1,D,1,2,A,8,4,12
2122,27/02/2022,Torino,Cagliari,0,1,A,1,2,A,4,3,7
2122,13/03/2022,Torino,Inter,1,0,H,1,1,D,3,4,7
2122,10/04/2022,Torino,Milan,0,0,D,0,0,D,6,5,11
2122,23/04/2022,Torino,Spezia,1,0,H,2,1,H,5,6,11
2122,07/05/2022,Torino,Napoli,0,0,D,0,1,A,6,4,10
2122,20/05/2022,Torino,Roma,0,2,A,0,3,A,5,6,11
2223,20/08/2022,Torino,Lazio,0,0,D,0,0,D,6,4,10
2223,05/09/2022,Torino,Lecce,1,0,H,1,0,H,4,4,8
2223,17/09/2022,Torino,Sassuolo,0,0,D,0,1,A,4,3,7
2223,09/10/2022,Torino,Empoli,0,0,D,1,1,D,6,1,7
2223,15/10/2022,Torino,Juventus,0,0,D,0,1,A,3,6,9
2223,30/10/2022,Torino,Milan,2,0,H,2,1,H,6,1,7
2223,09/11/2022,Torino,Sampdoria,1,0,H,2,0,H,4,3,7
2223,04/01/2023,Torino,Verona,0,1,A,1,1,D,6,3,9
2223,15/01/2023,Torino,Spezia,0,1,A,0,1,A,7,2,9
2223,05/02/2023,Torino,Udinese,0,0,D,1,0,H,6,5,11
2223,20/02/2023,Torino,Cremonese,1,0,H,2,2,D,5,1,6
2223,06/03/2023,Torino,Bologna,1,0,H,1,0,H,3,3,6
2223,19/03/2023,Torino,Napoli,0,2,A,0,4,A,5,4,9
2223,08/04/2023,Torino,Roma,0,1,A,0,1,A,7,4,11
2223,16/04/2023,Torino,Salernitana,0,1,A,1,1,D,4,2,6
2223,29/04/2023,Torino,Atalanta,0,1,A,1,2,A,3,3,6
2223,07/05/2023,Torino,Monza,0,0,D,1,1,D,7,4,11
2223,21/05/2023,Torino,Fiorentina,0,0,D,1,1,D,3,3,6
2223,03/06/2023,Torino,Inter,0,1,A,0,1,A,6,4,10
2324,21/08/2023,Torino,Cagliari,0,0,D,0,0,D,8,3,11
2324,03/09/2023,Torino,Genoa,0,0,D,1,0,H,4,0,4
2324,24/09/2023,Torino,Roma,0,0,D,1,1,D,7,1,8
2324,02/10/2023,Torino,Verona,0,0,D,0,0,D,10,1,11
2324,21/10/2023,Torino,Inter,0,0,D,0,3,A,2,4,6
