Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,30/09/2020,Udinese,Spezia,0,1,A,0,2,A,2,2,4
2021,03/10/2020,Udinese,Roma,0,0,D,0,1,A,4,1,5
2021,18/10/2020,Udinese,Parma,1,1,D,3,2,H,11,2,13
2021,01/11/2020,Udinese,Milan,0,1,A,1,2,A,2,4,6
2021,22/11/2020,Udinese,Genoa,1,0,H,1,0,H,4,8,12
2021,15/12/2020,Udinese,Crotone,0,0,D,0,0,D,9,1,10
2021,23/12/2020,Udinese,Benevento,0,1,A,0,2,A,7,1,8
2021,10/01/2021,Udinese,Napoli,1,1,D,1,2,A,2,7,9
2021,20/01/2021,Udinese,Atalanta,1,1,D,1,1,D,2,7,9
2021,23/01/2021,Udinese,Inter,0,0,D,0,0,D,3,4,7
2021,07/02/2021,Udinese,Verona,0,0,D,2,0,H,10,8,18
2021,28/02/2021,Udinese,Fiorentina,0,0,D,1,0,H,3,9,12
2021,06/03/2021,Udinese,Sassuolo,1,0,H,2,0,H,5,6,11
2021,21/03/2021,Udinese,Lazio,0,1,A,0,1,A,6,11,17
2021,10/04/2021,Udinese,Torino,0,0,D,0,1,A,5,4,9
2021,21/04/2021,Udinese,Cagliari,0,0,D,0,1,A,2,5,7
2021,02/05/2021,Udinese,Juventus,1,0,H,1,2,A,2,6,8
2021,08/05/2021,Udinese,Bologna,1,0,H,1,1,D,5,10,15
2021,16/05/2021,Udinese,Sampdoria,0,0,D,0,1,A,6,3,9
2122,22/08/2021,Udinese,Juventus,0,2,A,2,2,D,3,3,6
2122,27/08/2021,Udinese,Venezia,1,0,H,3,0,H,7,2,9
2122,20/09/2021,Udinese,Napoli,0,2,A,0,4,A,2,5,7
2122,26/09/2021,Udinese,Fiorentina,0,1,A,0,1,A,4,1,5
2122,17/10/2021,Udinese,Bologna,0,0,D,1,1,D,2,8,10
2122,27/10/2021,Udinese,Verona,1,0,H,1,1,D,7,4,11
2122,07/11/2021,Udinese,Sassuolo,2,2,D,3,2,H,1,5,6
2122,28/11/2021,Udinese,Genoa,0,0,D,0,0,D,8,1,9
2122,11/12/2021,Udinese,Milan,1,0,H,1,1,D,3,5,8
2122,09/01/2022,Udinese,Atalanta,0,3,A,2,6,A,2,5,7
2122,06/02/2022,Udinese,Torino,0,0,D,2,0,H,8,3,11
2122,20/02/2022,Udinese,Lazio,1,1,D,1,1,D,2,12,14
2122,05/03/2022,Udinese,Sampdoria,2,1,H,2,1,H,11,4,15
2122,13/03/2022,Udinese,Roma,1,0,H,1,1,D,6,4,10
2122,03/04/2022,Udinese,Cagliari,2,1,H,5,1,H,2,2,4
2122,16/04/2022,Udinese,Empoli,1,0,H,4,1,H,4,7,11
2122,20/04/2022,Udinese,Salernitana,0,0,D,0,1,A,9,3,12
2122,01/05/2022,Udinese,Inter,0,2,A,1,2,A,5,11,16
2122,14/05/2022,Udinese,Spezia,1,2,A,2,3,A,4,2,6
2223,20/08/2022,Udinese,Salernitana,0,0,D,0,0,D,6,6,12
2223,31/08/2022,Udinese,Fiorentina,1,0,H,1,0,H,3,7,10
2223,04/09/2022,Udinese,Roma,1,0,H,4,0,H,3,7,10
2223,18/09/2022,Udinese,Inter,1,1,D,3,1,H,7,4,11
2223,09/10/2022,Udinese,Atalanta,0,1,A,2,2,D,5,3,8
2223,23/10/2022,Udinese,Torino,1,1,D,1,2,A,7,4,11
2223,04/11/2022,Udinese,Lecce,0,1,A,1,1,D,3,2,5
2223,04/01/2023,Udinese,Empoli,0,1,A,1,1,D,8,1,9
2223,15/01/2023,Udinese,Bologna,1,0,H,1,2,A,6,4,10
2223,30/01/2023,Udinese,Verona,1,1,D,1,1,D,14,6,20
2223,12/02/2023,Udinese,Sassuolo,2,2,D,2,2,D,10,7,17
2223,26/02/2023,Udinese,Spezia,1,1,D,2,2,D,5,2,7
2223,18/03/2023,Udinese,Milan,2,1,H,3,1,H,5,6,11
2223,08/04/2023,Udinese,Monza,1,0,H,2,2,D,4,2,6
2223,23/04/2023,Udinese,Cremonese,3,0,H,3,0,H,3,8,11
2223,04/05/2023,Udinese,Napoli,1,0,H,1,1,D,2,6,8
2223,08/05/2023,Udinese,Sampdoria,2,0,H,2,0,H,7,3,10
2223,21/05/2023,Udinese,Lazio,0,0,D,0,1,A,3,8,11
2223,04/06/2023,Udinese,Juventus,0,0,D,0,1,A,6,14,20
2324,20/08/2023,Udinese,Juventus,0,3,A,0,3,A,7,3,10
2324,02/09/2023,Udinese,Frosinone,0,0,D,0,0,D,3,5,8
2324,24/09/2023,Udinese,Fiorentina,0,1,A,0,2,A,10,3,13
2324,01/10/2023,Udinese,Genoa,1,2,A,2,2,D,5,0,5
2324,23/10/2023,Udinese,Lecce,0,0,D,1,1,D,2,7,9
2324,12/11/2023,Udinese,Atalanta,1,0,H,1,1,D,7,7,14
2324,03/12/2023,Udinese,Verona,2,1,H,3,3,D,5,3,8
2324,17/12/2023,Udinese,Sassuolo,1,0,H,2,2,D,1,13,14
2324,30/12/2023,Udinese,Bologna,1,0,H,3,0,H,7,7,14
2324,07/01/2024,Udinese,Lazio,0,1,A,1,2,A,4,4,8
2324,20/01/2024,Udinese,Milan,1,1,D,2,3,A,5,7,12
2324,03/02/2024,Udinese,Monza,0,0,D,0,0,D,7,4,11
2324,18/02/2024,Udinese,Cagliari,1,1,D,1,1,D,3,4,7
