Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,19/09/2021,Venezia,Spezia,0,1,A,1,2,A,3,10,13
2122,27/09/2021,Venezia,Torino,0,0,D,1,1,D,4,1,5
2122,18/10/2021,Venezia,Fiorentina,1,0,H,1,0,H,2,5,7
2122,26/10/2021,Venezia,Salernitana,1,0,H,1,2,A,4,5,9
2122,07/11/2021,Venezia,Roma,1,2,A,3,2,H,4,11,15
2122,27/11/2021,Venezia,Inter,0,1,A,0,2,A,3,9,12
2122,05/12/2021,Venezia,Verona,3,0,H,3,4,A,1,6,7
2122,11/12/2021,Venezia,Juventus,0,1,A,1,1,D,3,11,14
2122,22/12/2021,Venezia,Lazio,1,1,D,1,3,A,4,4,8
2122,09/01/2022,Venezia,Milan,0,1,A,0,3,A,1,7,8
2122,16/01/2022,Venezia,Empoli,0,1,A,1,1,D,6,5,11
2122,06/02/2022,Venezia,Napoli,0,0,D,0,2,A,2,6,8
2122,20/02/2022,Venezia,Genoa,1,1,D,1,1,D,6,5,11
2122,06/03/2022,Venezia,Sassuolo,1,3,A,1,4,A,8,6,14
2122,20/03/2022,Venezia,Sampdoria,0,2,A,0,2,A,3,4,7
2122,10/04/2022,Venezia,Udinese,0,1,A,1,2,A,7,11,18
2122,23/04/2022,Venezia,Atalanta,0,1,A,1,3,A,0,7,7
2122,08/05/2022,Venezia,Bologna,2,1,H,4,3,H,4,8,12
2122,22/05/2022,Venezia,Cagliari,0,0,D,0,0,D,6,11,17
2425,30/08/2024,Venezia,Torino,0,0,D,0,1,A,3,3,6
2425,21/09/2024,Venezia,Genoa,0,0,D,2,0,H,3,4,7
2425,20/10/2024,Venezia,Atalanta,0,1,A,0,2,A,2,5,7
2425,30/10/2024,Venezia,Udinese,1,2,A,3,2,H,2,6,8
2122,19/09/2021,Venezia,Spezia,0,1,A,1,2,A,3,10,13
2122,27/09/2021,Venezia,Torino,0,0,D,1,1,D,4,1,5
2122,18/10/2021,Venezia,Fiorentina,1,0,H,1,0,H,2,5,7
2122,26/10/2021,Venezia,Salernitana,1,0,H,1,2,A,4,5,9
2122,07/11/2021,Venezia,Roma,1,2,A,3,2,H,4,11,15
2122,27/11/2021,Venezia,Inter,0,1,A,0,2,A,3,9,12
2122,05/12/2021,Venezia,Verona,3,0,H,3,4,A,1,6,7
2122,11/12/2021,Venezia,Juventus,0,1,A,1,1,D,3,11,14
2122,22/12/2021,Venezia,Lazio,1,1,D,1,3,A,4,4,8
2122,09/01/2022,Venezia,Milan,0,1,A,0,3,A,1,7,8
2122,16/01/2022,Venezia,Empoli,0,1,A,1,1,D,6,5,11
2122,06/02/2022,Venezia,Napoli,0,0,D,0,2,A,2,6,8
2122,20/02/2022,Venezia,Genoa,1,1,D,1,1,D,6,5,11
2122,06/03/2022,Venezia,Sassuolo,1,3,A,1,4,A,8,6,14
2122,20/03/2022,Venezia,Sampdoria,0,2,A,0,2,A,3,4,7
2122,10/04/2022,Venezia,Udinese,0,1,A,1,2,A,7,11,18
2122,23/04/2022,Venezia,Atalanta,0,1,A,1,3,A,0,7,7
2122,08/05/2022,Venezia,Bologna,2,1,H,4,3,H,4,8,12
2122,22/05/2022,Venezia,Cagliari,0,0,D,0,0,D,6,11,17
2425,30/08/2024,Venezia,Torino,0,0,D,0,1,A,3,3,6
2425,21/09/2024,Venezia,Genoa,0,0,D,2,0,H,3,4,7
2425,20/10/2024,Venezia,Atalanta,0,1,A,0,2,A,2,5,7
2425,30/10/2024,Venezia,Udinese,1,2,A,3,2,H,2,6,8
