Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,19/09/2020,Verona,Roma,0,0,D,0,0,D,0,6,6
2021,27/09/2020,Verona,Udinese,0,0,D,1,0,H,1,9,10
2021,19/10/2020,Verona,Genoa,0,0,D,0,0,D,14,2,16
2021,02/11/2020,Verona,Benevento,1,0,H,3,1,H,4,5,9
2021,22/11/2020,Verona,Sassuolo,0,1,A,0,2,A,6,1,7
2021,06/12/2020,Verona,Cagliari,1,0,H,1,1,D,7,5,12
2021,16/12/2020,Verona,Sampdoria,0,1,A,1,2,A,6,3,9
2021,23/12/2020,Verona,Inter,0,0,D,1,2,A,2,8,10
2021,10/01/2021,Verona,Crotone,2,0,H,2,1,H,6,4,10
2021,24/01/2021,Verona,Napoli,1,1,D,3,1,H,3,3,6
2021,15/02/2021,Verona,Parma,1,1,D,2,1,H,4,4,8
2021,27/02/2021,Verona,Juventus,0,0,D,1,1,D,8,5,13
2021,07/03/2021,Verona,Milan,0,1,A,0,2,A,8,1,9
2021,21/03/2021,Verona,Atalanta,0,2,A,0,2,A,4,7,11
2021,11/04/2021,Verona,Lazio,0,0,D,0,1,A,5,4,9
2021,20/04/2021,Verona,Fiorentina,0,1,A,1,2,A,5,3,8
2021,01/05/2021,Verona,Spezia,0,0,D,1,1,D,5,5,10
2021,09/05/2021,Verona,Torino,0,0,D,1,1,D,9,3,12
2021,17/05/2021,Verona,Bologna,1,1,D,2,2,D,4,4,8
2122,21/08/2021,Verona,Sassuolo,0,1,A,2,3,A,7,4,11
2122,27/08/2021,Verona,Inter,1,0,H,1,3,A,6,4,10
2122,19/09/2021,Verona,Roma,0,1,A,3,2,H,3,8,11
2122,03/10/2021,Verona,Spezia,3,0,H,4,0,H,1,5,6
2122,24/10/2021,Verona,Lazio,2,0,H,4,1,H,3,4,7
2122,30/10/2021,Verona,Juventus,2,0,H,2,1,H,4,1,5
2122,22/11/2021,Verona,Empoli,0,0,D,2,1,H,1,3,4
2122,30/11/2021,Verona,Cagliari,0,0,D,0,0,D,11,1,12
2122,12/12/2021,Verona,Atalanta,1,1,D,1,2,A,6,6,12
2122,22/12/2021,Verona,Fiorentina,1,0,H,1,1,D,3,8,11
2122,09/01/2022,Verona,Salernitana,0,1,A,1,2,A,17,4,21
2122,21/01/2022,Verona,Bologna,1,1,D,2,1,H,7,2,9
2122,13/02/2022,Verona,Udinese,2,0,H,4,0,H,2,7,9
2122,27/02/2022,Verona,Venezia,0,0,D,3,1,H,5,5,10
2122,13/03/2022,Verona,Napoli,0,1,A,1,2,A,3,5,8
2122,04/04/2022,Verona,Genoa,1,0,H,1,0,H,2,5,7
2122,23/04/2022,Verona,Sampdoria,0,1,A,1,1,D,4,5,9
2122,08/05/2022,Verona,Milan,1,1,D,1,3,A,5,8,13
2122,14/05/2022,Verona,Torino,0,1,A,0,1,A,4,4,8
2223,15/08/2022,Verona,Napoli,1,2,A,2,5,A,4,8,12
2223,28/08/2022,Verona,Atalanta,0,0,D,0,1,A,7,6,13
2223,04/09/2022,Verona,Sampdoria,2,1,H,2,1,H,7,2,9
2223,03/10/2022,Verona,Udinese,1,0,H,1,2,A,4,9,13
2223,16/10/2022,Verona,Milan,1,1,D,1,2,A,9,3,12
2223,31/10/2022,Verona,Roma,1,1,D,1,3,A,2,4,6
2223,10/11/2022,Verona,Juventus,0,0,D,0,1,A,5,4,9
2223,13/11/2022,Verona,Spezia,1,0,H,1,2,A,2,10,12
2223,09/01/2023,Verona,Cremonese,2,0,H,2,0,H,3,5,8
2223,21/01/2023,Verona,Lecce,1,0,H,2,0,H,5,4,9
2223,06/02/2023,Verona,Lazio,0,1,A,1,1,D,6,5,11
2223,13/02/2023,Verona,Salernitana,1,0,H,1,0,H,5,1,6
2223,27/02/2023,Verona,Fiorentina,0,2,A,0,3,A,4,2,6
2223,12/03/2023,Verona,Monza,0,0,D,1,1,D,7,2,9
2223,08/04/2023,Verona,Sassuolo,0,1,A,2,1,H,4,10,14
2223,21/04/2023,Verona,Bologna,1,0,H,2,1,H,4,2,6
2223,03/05/2023,Verona,Inter,0,3,A,0,6,A,2,7,9
2223,14/05/2023,Verona,Torino,0,1,A,0,1,A,3,4,7
2223,28/05/2023,Verona,Empoli,0,0,D,1,1,D,3,3,6
2324,26/08/2023,Verona,Roma,2,0,H,2,1,H,1,12,13
2324,18/09/2023,Verona,Bologna,0,0,D,0,0,D,3,4,7
2324,27/09/2023,Verona,Atalanta,0,1,A,0,1,A,4,1,5
2324,21/10/2023,Verona,Napoli,0,2,A,1,3,A,5,8,13
2324,05/11/2023,Verona,Monza,0,1,A,1,3,A,2,6,8
2324,27/11/2023,Verona,Lecce,1,1,D,2,2,D,4,2,6
2324,09/12/2023,Verona,Lazio,0,1,A,1,1,D,1,7,8
2324,23/12/2023,Verona,Cagliari,0,0,D,2,0,H,11,7,18
2324,30/12/2023,Verona,Salernitana,0,0,D,0,1,A,7,6,13
2324,13/01/2024,Verona,Empoli,1,0,H,2,1,H,5,9,14
2324,28/01/2024,Verona,Frosinone,1,0,H,1,1,D,1,9,10
2324,17/02/2024,Verona,Juventus,1,1,D,2,2,D,5,4,9
2324,03/03/2024,Verona,Sassuolo,0,0,D,1,0,H,2,10,12
2324,17/03/2024,Verona,Milan,0,1,A,1,3,A,3,5,8
2324,07/04/2024,Verona,Genoa,1,1,D,1,2,A,5,3,8
2324,20/04/2024,Verona,Udinese,0,0,D,1,0,H,10,6,16
2324,05/05/2024,Verona,Fiorentina,1,1,D,2,1,H,1,2,3
2324,12/05/2024,Verona,Torino,0,0,D,1,2,A,7,4,11
2324,26/05/2024,Verona,Inter,2,2,D,2,2,D,9,3,12
2425,18/08/2024,Verona,Napoli,0,0,D,3,0,H,1,5,6
2425,26/08/2024,Verona,Juventus,0,2,A,0,3,A,4,1,5
2425,20/09/2024,Verona,Torino,1,2,A,2,3,A,5,6,11
2425,04/10/2024,Verona,Venezia,1,1,D,2,1,H,13,6,19
2425,21/10/2024,Verona,Monza,0,1,A,0,3,A,9,6,15
2425,03/11/2024,Verona,Roma,2,1,H,3,2,H,2,2,4
2021,19/09/2020,Verona,Roma,0,0,D,0,0,D,0,6,6
2021,27/09/2020,Verona,Udinese,0,0,D,1,0,H,1,9,10
2021,19/10/2020,Verona,Genoa,0,0,D,0,0,D,14,2,16
2021,02/11/2020,Verona,Benevento,1,0,H,3,1,H,4,5,9
2021,22/11/2020,Verona,Sassuolo,0,1,A,0,2,A,6,1,7
2021,06/12/2020,Verona,Cagliari,1,0,H,1,1,D,7,5,12
2021,16/12/2020,Verona,Sampdoria,0,1,A,1,2,A,6,3,9
2021,23/12/2020,Verona,Inter,0,0,D,1,2,A,2,8,10
2021,10/01/2021,Verona,Crotone,2,0,H,2,1,H,6,4,10
2021,24/01/2021,Verona,Napoli,1,1,D,3,1,H,3,3,6
2021,15/02/2021,Verona,Parma,1,1,D,2,1,H,4,4,8
2021,27/02/2021,Verona,Juventus,0,0,D,1,1,D,8,5,13
