Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,26/09/2020,Burnley,Southampton,0,1,A,0,1,A,8,2,10
2021,26/10/2020,Burnley,Tottenham,0,0,D,0,1,A,4,5,9
2021,31/10/2020,Burnley,Chelsea,0,1,A,0,3,A,3,4,7
2021,23/11/2020,Burnley,Crystal Palace,1,0,H,1,0,H,4,7,11
2021,05/12/2020,Burnley,Everton,1,1,D,1,1,D,8,4,12
2021,21/12/2020,Burnley,Wolves,1,0,H,2,1,H,1,7,8
2021,29/12/2020,Burnley,Sheffield United,1,0,H,1,0,H,3,5,8
2021,12/01/2021,Burnley,Man United,0,0,D,0,1,A,3,4,7
2021,27/01/2021,Burnley,Aston Villa,0,1,A,3,2,H,2,4,6
2021,03/02/2021,Burnley,Man City,0,2,A,0,2,A,1,3,4
2021,06/02/2021,Burnley,Brighton,0,1,A,1,1,D,8,7,15
2021,17/02/2021,Burnley,Fulham,0,0,D,1,1,D,5,5,10
2021,20/02/2021,Burnley,West Brom,0,0,D,0,0,D,5,5,10
2021,03/03/2021,Burnley,Leicester,1,1,D,1,1,D,5,8,13
2021,06/03/2021,Burnley,Arsenal,1,1,D,1,1,D,2,4,6
2021,11/04/2021,Burnley,Newcastle,1,0,H,1,2,A,13,3,16
2021,03/05/2021,Burnley,West Ham,1,2,A,1,2,A,5,4,9
2021,15/05/2021,Burnley,Leeds,0,1,A,0,4,A,6,8,14
2021,19/05/2021,Burnley,Liverpool,0,1,A,0,3,A,6,7,13
2122,14/08/2021,Burnley,Brighton,1,0,H,1,2,A,7,6,13
2122,29/08/2021,Burnley,Leeds,0,0,D,1,1,D,5,5,10
2122,18/09/2021,Burnley,Arsenal,0,1,A,0,1,A,8,3,11
2122,02/10/2021,Burnley,Norwich,0,0,D,0,0,D,9,5,14
2122,30/10/2021,Burnley,Brentford,3,0,H,3,1,H,4,2,6
2122,20/11/2021,Burnley,Crystal Palace,2,3,A,3,3,D,3,6,9
2122,12/12/2021,Burnley,West Ham,0,0,D,0,0,D,6,4,10
2122,05/02/2022,Burnley,Watford,0,0,D,0,0,D,4,7,11
2122,08/02/2022,Burnley,Man United,0,1,A,1,1,D,2,10,12
2122,13/02/2022,Burnley,Liverpool,0,1,A,0,1,A,5,8,13
2122,23/02/2022,Burnley,Tottenham,0,0,D,1,0,H,3,7,10
2122,01/03/2022,Burnley,Leicester,0,0,D,0,2,A,6,8,14
2122,05/03/2022,Burnley,Chelsea,0,0,D,0,4,A,5,2,7
2122,02/04/2022,Burnley,Man City,0,2,A,0,2,A,1,8,9
2122,06/04/2022,Burnley,Everton,1,2,A,3,2,H,9,6,15
2122,21/04/2022,Burnley,Southampton,2,0,H,2,0,H,10,10,20
2122,24/04/2022,Burnley,Wolves,0,0,D,1,0,H,3,6,9
2122,07/05/2022,Burnley,Aston Villa,0,2,A,1,3,A,4,5,9
2122,22/05/2022,Burnley,Newcastle,0,1,A,1,2,A,8,2,10
2324,11/08/2023,Burnley,Man City,0,2,A,0,3,A,6,5,11
2324,27/08/2023,Burnley,Aston Villa,0,2,A,1,3,A,4,6,10
2324,02/09/2023,Burnley,Tottenham,1,2,A,2,5,A,7,4,11
2324,23/09/2023,Burnley,Man United,0,1,A,0,1,A,9,5,14
2324,07/10/2023,Burnley,Chelsea,1,1,D,1,4,A,7,3,10
2324,04/11/2023,Burnley,Crystal Palace,0,1,A,0,2,A,12,1,13
2324,25/11/2023,Burnley,West Ham,0,0,D,1,2,A,4,5,9
2324,02/12/2023,Burnley,Sheffield United,2,0,H,5,0,H,6,1,7
2324,16/12/2023,Burnley,Everton,0,2,A,0,2,A,8,6,14
2324,26/12/2023,Burnley,Liverpool,0,1,A,0,2,A,4,4,8
2324,12/01/2024,Burnley,Luton,1,0,H,1,1,D,2,8,10
2324,03/02/2024,Burnley,Fulham,0,2,A,2,2,D,2,13,15
2324,17/02/2024,Burnley,Arsenal,0,2,A,0,5,A,4,6,10
2324,03/03/2024,Burnley,Bournemouth,0,1,A,0,2,A,7,2,9
2324,16/03/2024,Burnley,Brentford,1,0,H,2,1,H,5,4,9
2324,02/04/2024,Burnley,Wolves,1,1,D,1,1,D,7,4,11
2324,13/04/2024,Burnley,Brighton,0,0,D,1,1,D,4,5,9
2324,04/05/2024,Burnley,Newcastle,0,3,A,1,4,A,4,11,15
2324,19/05/2024,Burnley,Nott'm Forest,0,2,A,1,2,A,4,3,7
