Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2122,14/08/2021,Norwich,Liverpool,0,1,A,0,3,A,3,11,14
2122,28/08/2021,Norwich,Leicester,1,1,D,1,2,A,9,9,18
2122,18/09/2021,Norwich,Watford,1,1,D,1,3,A,4,8,12
2122,16/10/2021,Norwich,Brighton,0,0,D,0,0,D,8,4,12
2122,31/10/2021,Norwich,Leeds,0,0,D,1,2,A,5,0,5
2122,20/11/2021,Norwich,Southampton,1,1,D,2,1,H,5,7,12
2122,27/11/2021,Norwich,Wolves,0,0,D,0,0,D,4,3,7
2122,11/12/2021,Norwich,Man United,0,0,D,0,1,A,8,6,14
2122,14/12/2021,Norwich,Aston Villa,0,1,A,0,2,A,7,10,17
2122,26/12/2021,Norwich,Arsenal,0,2,A,0,5,A,3,5,8
2122,15/01/2022,Norwich,Everton,2,0,H,2,1,H,8,8,16
2122,09/02/2022,Norwich,Crystal Palace,1,0,H,1,1,D,4,6,10
2122,12/02/2022,Norwich,Man City,0,1,A,0,4,A,4,12,16
2122,05/03/2022,Norwich,Brentford,0,1,A,1,3,A,5,5,10
2122,10/03/2022,Norwich,Chelsea,0,2,A,1,3,A,3,8,11
2122,10/04/2022,Norwich,Burnley,1,0,H,2,0,H,6,7,13
2122,23/04/2022,Norwich,Newcastle,0,2,A,0,3,A,2,3,5
2122,08/05/2022,Norwich,West Ham,0,3,A,0,4,A,9,5,14
2122,22/05/2022,Norwich,Tottenham,0,2,A,0,5,A,3,2,5
