Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Southampton,Tottenham,1,1,D,2,5,A,3,2,5
2021,04/10/2020,Southampton,West Brom,1,0,H,2,0,H,5,1,6
2021,25/10/2020,Southampton,Everton,2,0,H,2,0,H,4,5,9
2021,06/11/2020,Southampton,Newcastle,1,0,H,2,0,H,8,3,11
2021,29/11/2020,Southampton,Man United,2,0,H,2,3,A,5,9,14
2021,13/12/2020,Southampton,Sheffield United,1,0,H,3,0,H,8,4,12
2021,19/12/2020,Southampton,Man City,0,1,A,0,1,A,6,6,12
2021,29/12/2020,Southampton,West Ham,0,0,D,0,0,D,4,3,7
2021,04/01/2021,Southampton,Liverpool,1,0,H,1,0,H,1,10,11
2021,26/01/2021,Southampton,Arsenal,1,2,A,1,3,A,4,5,9
2021,30/01/2021,Southampton,Aston Villa,0,1,A,0,1,A,7,1,8
2021,14/02/2021,Southampton,Wolves,1,0,H,1,2,A,4,6,10
2021,20/02/2021,Southampton,Chelsea,1,0,H,1,1,D,3,6,9
2021,14/03/2021,Southampton,Brighton,1,1,D,1,2,A,4,5,9
2021,04/04/2021,Southampton,Burnley,2,2,D,3,2,H,6,7,13
2021,30/04/2021,Southampton,Leicester,0,0,D,1,1,D,0,10,10
2021,11/05/2021,Southampton,Crystal Palace,1,1,D,3,1,H,12,8,20
2021,15/05/2021,Southampton,Fulham,1,0,H,3,1,H,6,5,11
2021,18/05/2021,Southampton,Leeds,0,0,D,0,2,A,4,5,9
2122,22/08/2021,Southampton,Man United,1,0,H,1,1,D,7,7,14
2122,11/09/2021,Southampton,West Ham,0,0,D,0,0,D,5,4,9
2122,26/09/2021,Southampton,Wolves,0,0,D,0,1,A,5,5,10
2122,16/10/2021,Southampton,Leeds,0,0,D,1,0,H,8,1,9
2122,23/10/2021,Southampton,Burnley,1,1,D,2,2,D,6,2,8
2122,05/11/2021,Southampton,Aston Villa,1,0,H,1,0,H,10,8,18
2122,01/12/2021,Southampton,Leicester,2,1,H,2,2,D,2,4,6
2122,04/12/2021,Southampton,Brighton,1,0,H,1,1,D,6,2,8
2122,28/12/2021,Southampton,Tottenham,1,1,D,1,1,D,3,7,10
2122,11/01/2022,Southampton,Brentford,2,1,H,4,1,H,5,2,7
2122,22/01/2022,Southampton,Man City,1,0,H,1,1,D,2,11,13
2122,19/02/2022,Southampton,Everton,0,0,D,2,0,H,4,4,8
2122,25/02/2022,Southampton,Norwich,1,0,H,2,0,H,13,6,19
2122,10/03/2022,Southampton,Newcastle,1,1,D,1,2,A,12,5,17
2122,13/03/2022,Southampton,Watford,1,2,A,1,2,A,11,3,14
2122,09/04/2022,Southampton,Chelsea,0,4,A,0,6,A,3,3,6
2122,16/04/2022,Southampton,Arsenal,1,0,H,1,0,H,6,8,14
2122,30/04/2022,Southampton,Crystal Palace,1,0,H,1,2,A,6,7,13
2122,17/05/2022,Southampton,Liverpool,1,1,D,1,2,A,1,9,10
2223,13/08/2022,Southampton,Leeds,0,0,D,2,2,D,2,5,7
2223,27/08/2022,Southampton,Man United,0,0,D,0,1,A,5,3,8
2223,30/08/2022,Southampton,Chelsea,2,1,H,2,1,H,5,3,8
2223,01/10/2022,Southampton,Everton,0,0,D,1,2,A,7,6,13
2223,16/10/2022,Southampton,West Ham,1,0,H,1,1,D,4,14,18
2223,23/10/2022,Southampton,Arsenal,0,1,A,1,1,D,9,4,13
2223,06/11/2022,Southampton,Newcastle,0,1,A,1,4,A,8,2,10
2223,26/12/2022,Southampton,Brighton,0,2,A,1,3,A,4,2,6
2223,04/01/2023,Southampton,Nott'm Forest,0,1,A,0,1,A,6,2,8
2223,21/01/2023,Southampton,Aston Villa,0,0,D,0,1,A,2,2,4
2223,11/02/2023,Southampton,Wolves,1,0,H,1,2,A,5,2,7
2223,04/03/2023,Southampton,Leicester,1,0,H,1,0,H,3,4,7
2223,15/03/2023,Southampton,Brentford,0,1,A,0,2,A,3,3,6
2223,18/03/2023,Southampton,Tottenham,0,1,A,3,3,D,10,3,13
2223,08/04/2023,Southampton,Man City,0,1,A,1,4,A,0,10,10
2223,15/04/2023,Southampton,Crystal Palace,0,0,D,0,2,A,6,2,8
2223,27/04/2023,Southampton,Bournemouth,0,0,D,0,1,A,6,4,10
2223,13/05/2023,Southampton,Fulham,0,0,D,0,2,A,1,8,9
2223,28/05/2023,Southampton,Liverpool,2,2,D,4,4,D,2,9,11
2425,24/08/2024,Southampton,Nott'm Forest,0,0,D,0,1,A,4,10,14
2425,14/09/2024,Southampton,Man United,0,2,A,0,3,A,0,7,7
2425,21/09/2024,Southampton,Ipswich,1,0,H,1,1,D,2,10,12
2425,19/10/2024,Southampton,Leicester,2,0,H,2,3,A,10,6,16
