Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,13/09/2020,West Brom,Leicester,0,0,D,0,3,A,2,5,7
2021,26/09/2020,West Brom,Chelsea,3,0,H,3,3,D,3,9,12
2021,19/10/2020,West Brom,Burnley,0,0,D,0,0,D,8,2,10
2021,08/11/2020,West Brom,Tottenham,0,0,D,0,1,A,9,6,15
2021,28/11/2020,West Brom,Sheffield United,1,0,H,1,0,H,14,9,23
2021,06/12/2020,West Brom,Crystal Palace,1,1,D,1,5,A,4,6,10
2021,20/12/2020,West Brom,Aston Villa,0,1,A,0,3,A,1,7,8
2021,29/12/2020,West Brom,Leeds,0,4,A,0,5,A,3,10,13
2021,02/01/2021,West Brom,Arsenal,0,2,A,0,4,A,3,5,8
2021,26/01/2021,West Brom,Man City,0,4,A,0,5,A,3,8,11
2021,30/01/2021,West Brom,Fulham,0,1,A,2,2,D,2,3,5
2021,14/02/2021,West Brom,Man United,1,1,D,1,1,D,4,5,9
2021,27/02/2021,West Brom,Brighton,1,0,H,1,0,H,7,4,11
2021,04/03/2021,West Brom,Everton,0,0,D,0,1,A,3,3,6
2021,07/03/2021,West Brom,Newcastle,0,0,D,0,0,D,9,7,16
2021,12/04/2021,West Brom,Southampton,2,0,H,3,0,H,5,10,15
2021,03/05/2021,West Brom,Wolves,0,1,A,1,1,D,5,6,11
2021,16/05/2021,West Brom,Liverpool,1,1,D,1,2,A,9,13,22
2021,19/05/2021,West Brom,West Ham,1,1,D,1,3,A,6,8,14
