Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,12/09/2020,West Ham,Newcastle,0,0,D,0,2,A,8,7,15
2021,27/09/2020,West Ham,Wolves,1,0,H,4,0,H,1,3,4
2021,24/10/2020,West Ham,Man City,1,0,H,1,1,D,2,10,12
2021,07/11/2020,West Ham,Fulham,0,0,D,1,0,H,9,5,14
2021,30/11/2020,West Ham,Aston Villa,1,1,D,2,1,H,3,7,10
2021,05/12/2020,West Ham,Man United,1,0,H,1,3,A,5,4,9
2021,16/12/2020,West Ham,Crystal Palace,0,1,A,1,1,D,5,3,8
2021,27/12/2020,West Ham,Brighton,0,1,A,2,2,D,5,4,9
2021,16/01/2021,West Ham,Burnley,1,0,H,1,0,H,7,4,11
2021,19/01/2021,West Ham,West Brom,1,0,H,2,1,H,3,1,4
2021,31/01/2021,West Ham,Liverpool,0,0,D,1,3,A,6,5,11
2021,15/02/2021,West Ham,Sheffield United,1,0,H,3,0,H,7,7,14
2021,21/02/2021,West Ham,Tottenham,1,0,H,2,1,H,5,7,12
2021,08/03/2021,West Ham,Leeds,2,0,H,2,0,H,6,6,12
2021,21/03/2021,West Ham,Arsenal,3,1,H,3,3,D,3,5,8
2021,11/04/2021,West Ham,Leicester,2,0,H,3,2,H,1,9,10
2021,24/04/2021,West Ham,Chelsea,0,1,A,0,1,A,4,2,6
2021,09/05/2021,West Ham,Everton,0,1,A,0,1,A,5,6,11
2021,23/05/2021,West Ham,Southampton,2,0,H,3,0,H,2,3,5
2122,23/08/2021,West Ham,Leicester,1,0,H,4,1,H,10,0,10
2122,28/08/2021,West Ham,Crystal Palace,1,0,H,2,2,D,5,3,8
2122,19/09/2021,West Ham,Man United,1,1,D,1,2,A,2,11,13
2122,03/10/2021,West Ham,Brentford,0,1,A,1,2,A,11,6,17
2122,24/10/2021,West Ham,Tottenham,0,0,D,1,0,H,2,4,6
2122,07/11/2021,West Ham,Liverpool,1,1,D,3,2,H,3,2,5
2122,01/12/2021,West Ham,Brighton,1,0,H,1,1,D,9,5,14
2122,04/12/2021,West Ham,Chelsea,1,2,A,3,2,H,1,9,10
2122,26/12/2021,West Ham,Southampton,0,1,A,2,3,A,10,2,12
2122,12/01/2022,West Ham,Norwich,1,0,H,2,0,H,11,2,13
2122,16/01/2022,West Ham,Leeds,1,2,A,2,3,A,4,3,7
2122,08/02/2022,West Ham,Watford,0,0,D,1,0,H,5,6,11
2122,19/02/2022,West Ham,Newcastle,1,1,D,1,1,D,3,7,10
2122,27/02/2022,West Ham,Wolves,0,0,D,1,0,H,3,5,8
2122,13/03/2022,West Ham,Aston Villa,0,0,D,2,1,H,5,7,12
2122,03/04/2022,West Ham,Everton,1,0,H,2,1,H,2,4,6
2122,17/04/2022,West Ham,Burnley,0,1,A,1,1,D,13,4,17
2122,01/05/2022,West Ham,Arsenal,1,1,D,1,2,A,3,7,10
2122,15/05/2022,West Ham,Man City,2,0,H,2,2,D,4,9,13
2223,07/08/2022,West Ham,Man City,0,1,A,0,2,A,1,4,5
2223,21/08/2022,West Ham,Brighton,0,1,A,0,2,A,5,4,9
2223,31/08/2022,West Ham,Tottenham,0,1,A,1,1,D,3,4,7
2223,01/10/2022,West Ham,Wolves,1,0,H,2,0,H,1,6,7
2223,09/10/2022,West Ham,Fulham,1,1,D,3,1,H,4,2,6
2223,24/10/2022,West Ham,Bournemouth,1,0,H,2,0,H,5,0,5
2223,06/11/2022,West Ham,Crystal Palace,1,1,D,1,2,A,2,5,7
2223,12/11/2022,West Ham,Leicester,0,1,A,0,2,A,7,2,9
2223,30/12/2022,West Ham,Brentford,0,2,A,0,2,A,8,1,9
2223,21/01/2023,West Ham,Everton,2,0,H,2,0,H,4,9,13
2223,11/02/2023,West Ham,Chelsea,1,1,D,1,1,D,5,6,11
2223,25/02/2023,West Ham,Nott'm Forest,0,0,D,4,0,H,12,3,15
2223,12/03/2023,West Ham,Aston Villa,1,1,D,1,1,D,13,2,15
2223,02/04/2023,West Ham,Southampton,1,0,H,1,0,H,5,3,8
2223,05/04/2023,West Ham,Newcastle,1,2,A,1,5,A,7,6,13
2223,16/04/2023,West Ham,Arsenal,1,2,A,2,2,D,7,2,9
2223,26/04/2023,West Ham,Liverpool,1,1,D,1,2,A,3,6,9
2223,07/05/2023,West Ham,Man United,1,0,H,1,0,H,5,6,11
2223,21/05/2023,West Ham,Leeds,1,1,D,3,1,H,9,5,14
2324,20/08/2023,West Ham,Chelsea,1,1,D,3,1,H,3,9,12
2324,16/09/2023,West Ham,Man City,1,0,H,1,3,A,4,11,15
2324,30/09/2023,West Ham,Sheffield United,2,0,H,2,0,H,7,4,11
2324,08/10/2023,West Ham,Newcastle,1,0,H,2,2,D,4,2,6
2324,29/10/2023,West Ham,Everton,0,0,D,0,1,A,4,3,7
2324,12/11/2023,West Ham,Nott'm Forest,1,1,D,3,2,H,9,4,13
2324,03/12/2023,West Ham,Crystal Palace,1,0,H,1,1,D,2,3,5
2324,17/12/2023,West Ham,Wolves,2,0,H,3,0,H,6,6,12
2324,23/12/2023,West Ham,Man United,0,0,D,2,0,H,4,4,8
2324,02/01/2024,West Ham,Brighton,0,0,D,0,0,D,2,0,2
2324,01/02/2024,West Ham,Bournemouth,0,1,A,1,1,D,1,5,6
2324,11/02/2024,West Ham,Arsenal,0,4,A,0,6,A,2,6,8
2324,26/02/2024,West Ham,Brentford,2,1,H,4,2,H,1,7,8
2324,10/03/2024,West Ham,Burnley,0,2,A,2,2,D,4,4,8
2324,17/03/2024,West Ham,Aston Villa,1,0,H,1,1,D,7,11,18
2324,02/04/2024,West Ham,Tottenham,1,1,D,1,1,D,9,5,14
2324,14/04/2024,West Ham,Fulham,0,1,A,0,2,A,8,3,11
2324,27/04/2024,West Ham,Liverpool,1,0,H,2,2,D,5,8,13
2324,11/05/2024,West Ham,Luton,0,1,A,3,1,H,7,6,13
2425,17/08/2024,West Ham,Aston Villa,1,1,D,1,2,A,5,3,8
2425,31/08/2024,West Ham,Man City,1,2,A,1,3,A,3,11,14
2425,21/09/2024,West Ham,Chelsea,0,2,A,0,3,A,6,5,11
2425,05/10/2024,West Ham,Ipswich,2,1,H,4,1,H,5,5,10
2425,27/10/2024,West Ham,Man United,0,0,D,2,1,H,6,5,11
